"ADDRESS","COL01","COL03","COL04","COL05","COL06","COL07","COL08","COL09","COL10"
"000011002","01",1,1,"41",1,2,"21",1,1
"000011002","02",2,2,"40",1,2,"04",5,1
"000011002","03",3,1,"14",1,2,"23",1,4
"000011002","04",3,2,"13",1,1,"22",4,4
"000011002","05",3,2,"11",1,1,"15",4,4
"000011003","01",1,2,"29",1,2,"16",3,1
"000011003","02",3,2,"09",1,1,"13",NA,NA
"000011003","03",3,1,"02",NA,NA,NA,NA,NA
"000011005","01",1,1,"85",2,NA,NA,3,1
"000011005","02",2,2,"73",2,NA,NA,5,1
"000011007","01",1,1,"48",2,NA,NA,1,1
"000011007","02",2,2,"38",2,NA,NA,5,1
"000011007","03",3,1,"17",1,2,"14",1,4
"000011007","04",3,2,"15",1,2,"16",5,4
"000011007","05",3,2,"14",1,1,"22",4,4
"000011007","06",3,2,"10",1,1,"13",4,4
"000011007","07",3,1,"03",NA,NA,NA,NA,NA
"000011008","01",1,1,"77",2,NA,NA,3,1
"000011008","02",2,2,"65",2,NA,NA,5,1
"000011008","03",3,1,"27",1,2,"16",1,4
"000011008","04",3,1,"25",1,2,"42",1,4
"000011006","01",1,1,"46",2,NA,NA,1,1
"000011006","02",2,2,"43",2,NA,NA,5,1
"000011006","03",3,1,"21",1,2,"16",1,4
"000011006","04",3,2,"18",1,2,"23",5,1
"000011006","05",3,2,"23",1,2,"16",5,4
"000011006","06",3,1,"16",1,2,"22",2,4
"000011006","07",3,1,"10",1,1,"14",4,4
"000011011","01",1,2,"20",1,2,"16",3,1
"000011011","02",3,2,"01",NA,NA,NA,NA,NA
"000091111","01",1,1,"63",1,2,"16",1,1
"000091111","02",2,2,"56",1,2,"91",5,1
"000091111","03",3,2,"15",1,2,"23",5,4
"000011009","01",1,1,"82",2,NA,NA,3,1
"000011001","01",1,1,"75",1,2,"91",6,1
"000011001","02",2,2,"61",2,NA,NA,5,1
"000011001","03",3,1,"25",2,2,NA,1,3
"000011001","04",3,1,"24",1,2,"16",1,4
"000011001","05",3,1,"17",1,1,"42",4,4
"000011001","06",3,2,"30",1,2,"05",5,4
"000011004","01",1,1,"70",1,2,"91",1,1
"000011004","02",2,2,"36",2,NA,NA,5,1
"000011004","03",3,1,"14",1,1,"23",4,4
"000011004","04",3,2,"11",1,1,"21",4,4
"000011004","05",3,1,"07",1,1,"11",NA,NA
"000011009","02",2,2,"56",2,NA,NA,5,1
"000071106","01",1,1,"39",1,1,"39",1,1
"000071106","02",2,2,"33",1,2,"23",5,1
"000071106","03",3,1,"10",1,1,"14",4,4
"000071106","04",3,1,"07",1,1,"11",NA,NA
"000071106","05",3,2,"04",NA,NA,NA,NA,NA
"000011009","03",3,2,"20",1,2,"16",5,1
"000011009","04",3,1,"17",1,2,"22",2,4
"000011010","01",1,1,"76",2,NA,NA,3,1
"000011010","02",2,2,"76",2,NA,NA,5,1
"000011016","01",1,1,"79",1,2,"91",1,1
"000011016","02",2,2,"63",2,NA,NA,5,1
"000011019","01",1,1,"73",2,NA,NA,1,1
"000011019","02",2,2,"35",2,NA,NA,5,1
"000011019","03",3,2,"06",1,1,"11",NA,NA
"000011019","04",3,1,"05",NA,NA,NA,NA,NA
"000011022","01",1,1,"44",1,2,"16",1,1
"000011022","02",2,2,"35",2,NA,NA,5,1
"000011022","03",3,2,"17",1,1,"16",5,4
"000011022","04",3,2,"14",1,1,"16",4,4
"000011022","05",3,2,"13",1,1,"16",4,4
"000011022","06",3,2,"10",1,1,"16",4,4
"000011022","07",3,2,"05",NA,NA,NA,NA,NA
"000011022","08",3,1,"02",NA,NA,NA,NA,NA
"000011026","01",1,1,"32",1,2,"23",1,1
"000011026","02",2,2,"32",1,2,"14",5,1
"000011026","03",3,1,"11",1,1,"14",4,4
"000011026","04",3,2,"06",2,NA,NA,NA,NA
"000011027","01",1,1,"30",1,2,"16",1,1
"000011027","02",2,2,"23",1,2,"23",5,1
"000011030","01",1,1,"34",1,2,"23",1,1
"000011012","01",1,1,"45",1,2,"16",1,1
"000011012","02",2,2,"37",1,2,"12",1,1
"000011012","03",3,1,"25",1,2,"43",1,1
"000011012","04",3,1,"22",1,2,"42",1,4
"000011012","05",3,2,"13",1,1,"21",4,4
"000011012","06",4,2,"15",1,2,"23",5,1
"000011013","01",1,1,"83",2,NA,NA,3,1
"000011015","01",1,1,"54",1,2,"16",1,1
"000011015","02",2,2,"43",1,2,"13",5,1
"000011015","03",3,2,"28",2,NA,NA,6,4
"000011015","04",3,2,"20",2,NA,NA,6,4
"000011015","05",3,2,"14",1,1,"23",4,4
"000011018","01",1,1,"40",1,2,"16",1,1
"000011018","02",2,2,"42",1,2,"16",5,1
"000011018","03",3,1,"11",1,1,"15",4,4
"000011021","01",1,1,"29",1,2,"16",1,1
"000011021","02",2,2,"18",1,2,"16",5,1
"000011021","03",3,2,"02",NA,NA,NA,NA,NA
"000011021","04",3,2,NA,NA,NA,NA,NA,NA
"000011023","01",1,1,"31",2,NA,NA,1,1
"000011031","01",1,1,"56",1,2,"91",1,1
"000011031","02",2,2,"45",2,NA,NA,5,1
"000011017","01",1,2,"73",2,NA,NA,5,2
"000011020","01",1,2,"70",2,NA,NA,3,2
"000011031","03",3,1,"17",1,2,"23",1,4
"000011031","04",3,2,"11",1,1,"14",4,4
"000011035","01",1,1,"68",1,2,"16",3,1
"000011035","02",2,2,"57",2,NA,NA,5,1
"000011035","03",3,2,"27",1,2,"62",2,4
"000011027","03",3,2,"03",NA,NA,NA,NA,NA
"000011029","01",1,1,"32",1,2,"23",1,1
"000011029","02",2,2,"29",1,2,"23",5,1
"000011029","03",3,2,"08",1,1,"12",NA,NA
"000011029","04",3,2,"05",NA,NA,NA,NA,NA
"000011030","02",2,2,"31",1,2,"16",5,1
"000011030","03",3,1,"11",1,1,"15",4,4
"000011030","04",3,1,"03",NA,NA,NA,NA,NA
"000011039","01",1,1,"36",2,NA,NA,1,1
"000011039","02",2,2,"33",1,2,"16",5,1
"000011038","01",1,1,"36",1,2,"16",1,1
"000011038","02",2,2,"31",1,2,"16",5,1
"000011038","03",3,2,"11",1,1,"14",4,4
"000011036","01",1,1,"30",1,2,"22",1,1
"000011036","02",2,2,"28",1,2,"16",1,1
"000011036","03",3,1,"10",1,1,"13",4,4
"000011036","04",3,1,"06",2,NA,NA,NA,NA
"000011037","01",1,1,"63",2,NA,NA,1,1
"000011037","02",2,2,"51",2,NA,NA,5,1
"000011037","03",6,2,"84",2,NA,NA,3,2
"000011040","01",1,2,"63",2,NA,NA,1,2
"000011035","04",3,2,"20",1,1,"48",4,4
"000011001","07",5,1,"05",NA,NA,NA,NA,NA
"000011023","02",2,2,"29",2,NA,NA,5,1
"000011033","01",1,1,"42",1,2,"33",1,1
"000011033","02",2,2,"33",1,2,"16",5,1
"000011033","03",3,2,"16",1,1,"42",4,4
"000011033","04",3,2,"13",1,1,"21",4,4
"000011034","01",1,1,"32",1,2,"23",1,1
"000011034","02",2,2,"21",1,2,"23",5,1
"000011034","03",3,2,"05",NA,NA,NA,NA,NA
"000011034","04",3,2,"02",NA,NA,NA,NA,NA
"000011034","05",8,1,"26",1,2,"23",1,4
"000021042","01",1,1,"25",1,2,"45",1,1
"000011039","03",3,1,"05",NA,NA,NA,NA,NA
"000011032","01",1,1,"41",1,2,"22",1,1
"000011032","02",2,2,"34",1,2,"03",5,1
"000011032","03",3,2,"17",1,1,"42",4,4
"000011032","04",3,2,"10",1,1,"14",4,4
"000011028","01",1,1,"47",1,2,"16",1,1
"000011028","02",2,2,"46",2,NA,NA,5,1
"000011028","03",3,1,"23",1,2,"45",1,4
"000011028","04",3,1,"19",1,1,"44",4,4
"000011028","05",3,2,"24",1,2,"23",5,4
"000021043","01",1,1,"58",1,2,"16",1,1
"000021043","02",2,2,"50",2,NA,NA,5,1
"000021044","01",1,1,"65",2,NA,NA,1,1
"000021044","02",2,2,"62",2,NA,NA,5,1
"000021045","01",1,2,"76",2,NA,NA,3,2
"000031046","01",1,1,"52",1,2,"91",1,1
"000031046","02",2,2,"43",2,NA,NA,5,1
"000031046","03",3,1,"16",1,1,"41",4,4
"000031046","04",3,1,"13",1,1,"21",4,4
"000031048","01",1,1,"69",1,2,"91",1,1
"000031048","02",2,2,"65",2,NA,NA,5,1
"000031049","01",1,1,"34",2,NA,NA,1,1
"000031049","02",2,2,"30",1,2,"13",5,1
"000031049","03",3,1,"12",1,1,"15",4,4
"000031049","04",3,2,"10",1,1,"14",4,4
"000031050","01",1,1,"39",1,2,"33",1,1
"000031050","02",2,2,"29",1,2,"16",1,1
"000031050","03",3,2,"11",1,1,"15",4,4
"000031050","04",3,1,"05",NA,NA,NA,NA,NA
"000041059","01",1,1,"38",1,2,"16",1,1
"000021042","02",2,2,"20",1,2,"23",5,1
"000021042","03",3,1,NA,NA,NA,NA,NA,NA
"000031047","01",1,1,"75",2,NA,NA,1,1
"000031047","02",2,2,"50",2,NA,NA,5,1
"000031047","03",3,2,"20",1,2,"16",1,4
"000031047","04",3,1,"16",1,1,"41",4,4
"000031047","05",3,2,"23",1,2,"16",5,1
"000031051","01",1,1,"80",2,NA,NA,1,1
"000031053","01",1,2,"60",2,NA,NA,3,2
"000031053","02",3,1,"29",1,2,"16",1,4
"000031054","01",1,1,"67",1,2,"91",1,1
"000031054","02",2,2,"56",1,2,"03",5,1
"000031054","03",3,2,"15",1,1,"42",4,4
"000031054","04",3,2,"17",1,2,"16",5,1
"000031055","01",1,1,"68",2,NA,NA,1,1
"000031055","02",2,2,"54",1,2,"12",5,1
"000031055","03",3,1,"18",1,2,"23",1,4
"000031055","04",3,2,"16",1,2,"16",5,4
"000041056","01",1,1,"37",2,NA,NA,1,1
"000041059","02",2,2,"33",1,2,"16",5,1
"000041059","03",3,2,"13",1,1,"22",4,4
"000041059","04",3,2,"06",2,NA,NA,NA,NA
"000041058","01",1,1,"48",1,2,"16",1,1
"000041058","02",2,2,"45",1,2,"12",5,1
"000021041","01",1,1,"51",1,2,"33",1,1
"000021041","02",2,2,"39",1,2,"33",1,1
"000021041","03",3,1,"18",1,1,"48",4,4
"000021041","04",3,2,"17",1,1,"42",4,4
"000031052","01",1,1,"80",1,2,"91",3,1
"000031052","02",2,2,"70",2,NA,NA,5,1
"000021043","03",3,1,"23",1,2,"23",2,4
"000041058","03",3,2,"23",1,2,"23",1,4
"000041058","04",3,1,"23",1,2,"43",1,4
"000041058","05",3,2,"16",1,1,"42",4,4
"000041063","01",1,1,"66",2,NA,NA,1,1
"000041063","02",2,2,"67",2,NA,NA,5,1
"000041064","01",1,1,"60",1,2,"91",1,1
"000041064","02",2,2,"58",2,NA,NA,5,1
"000041064","03",3,2,"21",1,2,"16",5,4
"000041064","04",3,1,"17",1,2,"23",1,4
"000041064","05",3,2,"15",1,1,"42",4,4
"000041065","01",1,1,"53",2,NA,NA,1,1
"000041065","02",2,2,"52",2,NA,NA,5,1
"000041065","03",3,2,"22",1,2,"16",5,4
"000041065","04",3,2,"19",1,1,"42",4,4
"000041065","05",3,1,"13",1,1,"21",4,4
"000051067","01",1,2,"84",2,NA,NA,3,2
"000051068","01",1,1,"73",2,NA,NA,1,1
"000051068","02",2,2,"65",2,NA,NA,5,1
"000051069","01",1,1,"76",1,2,"91",3,1
"000051069","02",2,2,"70",2,NA,NA,5,1
"000051070","01",1,1,"75",2,NA,NA,3,1
"000051070","02",2,2,"69",2,NA,NA,5,1
"000061071","01",1,1,"42",1,2,"23",1,1
"000041056","02",2,2,"34",1,2,"04",5,1
"000041056","03",3,1,"12",1,1,"22",4,4
"000041056","04",3,2,"05",NA,NA,NA,NA,NA
"000041057","01",1,1,"67",1,2,"91",1,1
"000041057","02",2,2,"64",2,NA,NA,1,1
"000041057","03",3,1,"37",1,2,"23",1,4
"000041060","01",1,1,"43",1,2,"16",1,1
"000041060","02",2,2,"36",1,2,"16",5,1
"000041060","03",3,2,"13",1,1,"22",4,4
"000041060","04",3,1,"10",1,1,"13",4,4
"000041061","01",1,1,"33",1,2,"16",2,1
"000041061","02",2,2,"27",1,2,"16",5,1
"000041061","03",3,1,"01",NA,NA,NA,NA,NA
"000041062","01",1,1,"67",2,NA,NA,1,2
"000041062","02",3,1,"23",1,2,"23",1,1
"000041062","03",3,2,"18",1,2,"16",5,1
"000041062","04",4,2,"18",1,2,"16",5,1
"000051066","01",1,1,"45",1,2,"16",1,1
"000051066","02",2,2,"42",1,2,"13",5,1
"000051066","03",3,2,"13",1,1,"22",4,4
"000051066","04",3,2,"10",1,1,"14",4,4
"000061071","02",2,2,"37",1,2,"16",5,1
"000061071","03",3,1,"18",1,1,"44",4,4
"000061071","04",3,1,"15",1,1,"23",4,4
"000061071","05",3,1,"14",1,1,"41",4,4
"000061071","06",3,2,NA,NA,NA,NA,NA,NA
"000061072","01",1,1,"38",1,2,"16",1,1
"000061072","02",2,2,"37",1,2,"16",5,1
"000061072","03",3,2,"15",1,1,"23",4,4
"000061072","04",3,2,"14",1,1,"12",4,4
"000061072","05",3,2,"06",2,NA,NA,NA,NA
"000061074","01",1,1,"70",2,NA,NA,1,1
"000061074","02",2,2,"64",2,NA,NA,5,1
"000061076","01",1,1,"32",1,2,"16",1,1
"000061076","02",2,2,"38",1,2,"16",1,1
"000061076","03",3,2,"08",1,1,"12",NA,NA
"000061076","04",3,1,"07",2,NA,NA,NA,NA
"000061078","01",1,1,"75",2,NA,NA,1,1
"000061078","02",2,2,"29",1,2,"16",5,1
"000061078","03",3,1,"01",NA,NA,NA,NA,NA
"000061084","01",1,1,"34",2,NA,NA,1,1
"000071091","01",1,1,"32",1,2,"16",1,1
"000071091","02",2,2,"30",1,2,"14",5,1
"000071091","03",3,1,"07",1,1,"11",NA,NA
"000071091","04",3,1,"01",NA,NA,NA,NA,NA
"000071092","01",1,1,"45",1,2,"35",1,1
"000061075","01",1,1,"70",2,NA,NA,1,1
"000061075","02",2,2,"62",2,NA,NA,5,1
"000061077","01",1,1,"35",1,2,"39",1,1
"000061077","02",2,2,"30",1,2,"12",5,1
"000061077","03",3,1,"03",NA,NA,NA,NA,NA
"000061079","01",1,2,"65",2,NA,NA,5,2
"000061079","02",3,1,"32",1,2,"16",1,1
"000061079","03",3,1,"26",1,2,"23",1,4
"000061079","04",3,1,"20",1,2,"16",1,4
"000061079","05",3,2,"31",1,2,"16",5,4
"000061080","01",1,1,"76",2,NA,NA,1,1
"000061080","02",2,2,"78",2,NA,NA,6,1
"000061080","03",3,1,"37",1,2,"16",1,1
"000061080","04",4,2,"35",1,2,"16",5,1
"000061080","05",5,1,"08",1,1,"12",NA,NA
"000061080","06",5,1,"01",NA,NA,NA,NA,NA
"000061081","01",1,1,"40",1,2,"16",1,1
"000061081","02",2,2,"41",2,NA,NA,5,1
"000061081","03",3,2,"20",1,2,"22",5,4
"000061081","04",3,1,"14",1,1,"22",4,4
"000071098","01",1,2,"19",1,2,"23",3,1
"000071098","02",3,2,"01",NA,NA,NA,NA,NA
"000071092","02",2,2,"44",1,2,"16",5,1
"000071092","03",3,1,"14",1,1,"23",4,4
"000061073","01",1,1,"42",1,2,"16",1,1
"000061073","02",2,2,"40",1,2,"16",5,1
"000061073","03",3,1,"20",1,1,"48",4,4
"000061073","04",3,2,"18",1,1,"48",4,4
