"ADDRESS","COL1","COL3","COL4","COL5","COL6","COL7"
"000011035","0231",NA,NA,NA,NA,450000
"000071103","0231",NA,NA,NA,NA,720000
"000012002","022111",1,NA,600,50,30000
"000042065","022111",1,NA,750,150,112500
"000042061","022111",1,NA,250,125,31250
"000072092","022112",1,NA,700,100,70000
"000012016","022111",1,NA,750,75,56250
"000012019","022111",1,NA,600,75,45000
"000072108","022113",1,NA,600,150,90000
"000012005","022111",1,NA,500,150,75000
"000012003","022111",1,NA,500,150,75000
"000062078","022111",1,NA,600,75,45000
"000062078","022113",1,NA,200,125,25000
"000062080","022113",1,NA,100,350,35000
"000062070","022111",1,NA,200,90,18000
"000062082","022111",1,NA,150,75,11250
"000072099","022111",1,NA,600,70,42000
"000042051","022111",1,NA,300,125,37500
"000012010","022111",1,NA,1800,75,135000
"000012039","022111",1,NA,90,110,9900
"000062066","022111",1,NA,200,125,25000
"000012028","022111",1,NA,120,150,18000
"000042060","022112",1,NA,600,125,75000
"000072089","022113",1,NA,600,150,90000
"000012011","022111",1,NA,600,75,45000
"000072087","022112",1,NA,250,125,31250
"000072090","022111",1,NA,600,120,72000
"000072105","022111",1,NA,300,125,37500
"000012029","022111",1,NA,300,90,27000
"000012030","022111",1,NA,300,85,25500
"000072086","022112",1,NA,300,200,60000
"000072091","022111",1,NA,300,140,42000
"000072104","022111",1,NA,600,120,72000
"000072107","022113",1,NA,600,150,90000
"000062072","022111",1,NA,450,90,40500
"000062077","022111",1,NA,600,140,84000
"000073094","022111",1,NA,100,150,15000
"000013032","022111",1,NA,600,100,60000
"000013033","022111",1,NA,60,150,9000
"000063076","022111",1,NA,650,115,74750
"000013016","022111",1,NA,600,75,45000
"000013009","022111",1,NA,600,100,60000
"000043063","022111",1,NA,900,125,112500
"000043065","022111",1,NA,500,140,70000
"000073099","022111",1,NA,300,135,40500
"000073098","022111",1,NA,300,110,33000
"000013018","022111",1,NA,300,120,36000
"000013021","022111",1,NA,600,115,69000
"000063077","022111",1,NA,600,120,72000
"000013005","022111",1,NA,600,125,75000
"000013002","022111",1,NA,600,175,105000
"000033043","022111",1,NA,600,100,60000
"000013011","022113",1,NA,250,175,43750
"000013028","022111",1,NA,900,105,94500
"000011002","022112",1,NA,600,100,60000
"000011006","022111",1,NA,60,100,6000
"000011006","022113",1,NA,1200,100,120000
"000011022","022113",1,NA,700,175,122500
"000011035","022112",1,NA,600,135,81000
"000011026","022111",1,NA,1200,150,180000
"000011029","022111",1,NA,200,150,30000
"000011030","022113",1,NA,90,150,13500
"000011038","022111",1,NA,300,100,30000
"000011039","022111",1,NA,800,100,80000
"000011001","022111",1,NA,400,100,40000
"000011024","022111",1,NA,600,150,90000
"000011033","022111",1,NA,600,100,60000
"000011034","022111",1,NA,400,135,54000
"000011036","022111",1,NA,600,100,60000
"000011032","022111",1,NA,90,125,11250
"000071106","022111",1,NA,8,200,1600
"000071106","022112",1,NA,40,200,8000
"000021043","022111",1,NA,90,150,13500
"000031046","022111",1,NA,30,125,3750
"000031049","022112",1,NA,600,125,75000
"000041059","022111",1,NA,300,125,37500
"000041058","022111",1,NA,150,75,11250
"000061076","022113",1,NA,600,175,105000
"000061078","022112",1,NA,600,100,60000
"000061084","022113",1,NA,250,120,30000
"000011014","022113",1,NA,700,125,87500
"000031047","022111",1,NA,600,50,30000
"000031053","022113",1,NA,600,125,75000
"000041056","022112",1,NA,200,150,30000
"000041060","022114",1,NA,600,350,210000
"000061077","022113",1,NA,600,400,240000
"000071097","022111",1,NA,300,150,45000
"000071103","022111",1,NA,1200,125,150000
"000071096","022113",1,NA,600,130,78000
"000061082","022111",1,NA,300,100,30000
"000061089","022111",1,NA,600,70,42000
"000061086","022111",1,NA,600,100,60000
"000071094","022111",1,NA,1200,140,168000
"000011025","022111",1,NA,600,75,45000
"000071104","022111",1,NA,120,100,12000
"000091113","022111",1,NA,300,100,30000
"000091114","022111",1,NA,600,110,66000
"000041063","022111",1,NA,600,75,45000
"000031051","022111",1,NA,600,100,60000
"000021041","022113",1,NA,300,300,90000
"000071107","022114",1,NA,600,150,90000
"000041061","022111",1,NA,1200,100,120000
"000051066","022112",1,NA,600,175,105000
"000061080","022111",1,NA,700,100,70000
"000061080","022113",1,NA,600,175,105000
"000061081","022112",1,NA,600,75,45000
"000071105","022113",1,NA,600,150,90000
"000071110","022112",1,NA,300,100,30000
"000013029","022111",1,NA,1200,115,138000
"000073096","022111",1,NA,250,95,23750
"000013037","022111",1,NA,900,100,90000
"000013030","022111",1,NA,900,110,99000
"000033044","022113",7,NA,145,130,18850
"000063068","022115",1,NA,NA,NA,5000
"000063069","022111",1,NA,300,115,34500
"000073089","022111",1,NA,600,115,69000
"000073090","022111",1,NA,160,150,24000
"000073101","022111",1,NA,600,100,60000
"000073109","022113",1,NA,400,250,1e+05
"000063073","022111",7,NA,450,125,56250
"000063073","022113",7,NA,300,225,67500
"000073108","022113",1,NA,80,350,28000
"000013006","022111",1,NA,600,125,75000
"000073107","022113",1,NA,900,350,315000
"000073102","022113",1,NA,600,200,120000
"000073097","022111",1,NA,300,115,34500
"000063067","022115",1,NA,NA,NA,3000
"000064080","022113",1,NA,450,155,69750
"000014035","022111",3,NA,600,125,75000
"000014003","022111",1,NA,210,125,26250
"000014004","022111",1,NA,300,115,34500
"000044051","022112",1,NA,300,150,45000
"000044055","022111",1,NA,600,125,75000
"000014024","022112",1,NA,120,135,16200
"000064076","022111",1,NA,800,135,108000
"000064079","022111",1,NA,250,118,29500
"000074094","022111",1,NA,600,100,60000
"000054061","022111",1,NA,1800,125,225000
"000014027","022111",1,NA,400,115,46000
"000074087","022112",1,NA,1800,125,225000
