"ADDRESS","COL1","COL3","COL4","COL5"
"000012008",34192,1,3e+07,0
"000012009",33190,1,3e+06,0
"000022044",33190,1,4e+06,0
"000062071",34181,1,3600000,0
"000012027",33190,1,5e+06,0
"000012006",34170,1,1e+05,0
"000032048",34170,1,1e+05,0
"000042061",34239,1,70000,0
"000072088",34170,1,50000,0
"000072088",34181,1,6e+06,0
"000062075",33190,1,2e+06,0
"000062077",34170,1,250000,0
"000073091",34170,1,50000,0
"000073092",34170,1,60000,0
"000073093",33190,1,6e+06,0
"000073093",34170,1,1e+05,0
"000013020",34170,1,50000,0
"000013008",33190,1,3e+06,0
"000013008",33214,1,950000,0
"000013009",34170,1,70000,0
"000013010",33190,1,1800000,0
"000013010",33214,1,1200000,0
"000033047",33418,1,250000,0
"000033047",34170,1,2e+05,0
"000013040",33190,1,1800000,0
"000013018",34170,1,20000,0
"000033046",34170,1,50000,0
"000033048",33214,1,550000,0
"000043053",33190,1,2e+06,0
"000043053",33214,1,1e+06,0
"000043053",33236,1,2e+05,0
"000073099",34170,1,120000,0
"000073098",34170,1,450000,0
"000013012",34170,1,40000,0
"000013011",34170,1,1e+05,0
"000013015",33214,1,1200000,0
"000013015",34170,1,120000,0
"000013014",34170,1,50000,0
"000013014",34239,1,30000,0
"000033045",34170,1,80000,0
"000043059",33134,1,1.3e+07,0
"000043059",33190,1,1e+07,0
"000043057",34170,1,50000,0
"000043057",34239,1,60000,0
"000043058",34170,1,30000,0
"000013030",34192,1,3e+07,0
"000013027",33112,1,2.5e+07,0
"000063075",33258,1,4550000,0
"000013004",34170,1,80000,0
"000013024",34170,1,70000,0
"000063071",33258,1,2550000,0
"000063072",33214,1,1250000,0
"000063072",33258,1,2300000,0
"000063072",34239,1,60000,0
"000013027",33214,1,1150000,0
"000073102",33190,1,2500000,0
"000073102",33214,1,1e+06,0
"000063073",33258,1,3650000,0
"000073097",34192,1,9500000,0
"000073108",34272,1,4e+06,0
"000074092",34181,1,1e+07,0
"000014033",33190,1,2200000,0
"000014033",33214,1,1250000,0
"000074098",33258,1,1670000,0
"000074097",33258,1,1960000,0
"000074100",34170,1,50000,0
"000094108",33214,1,950000,0
"000054065",33258,1,2e+06,0
"000054062",34148,1,11500000,0
"000064066",33258,1,4e+06,0
"000074099",33258,1,1800000,0
"000054063",33258,1,2e+06,0
"000094109",34170,1,5e+05,0
"000044051",34170,1,1600000,0
"000054061",33258,1,2180000,0
"000054061",34170,1,350000,0
"000044055",34170,1,20000,0
"000014024",33258,1,850000,0
"000014025",33214,1,9e+05,0
"000014025",33258,1,2500000,0
"000074098",34170,1,140000,0
"000064084",34170,1,60000,0
"000064083",34148,NA,0,7648000
"000014009",34170,1,9e+05,0
"000014009",34239,1,60000,0
"000014023",33190,1,2e+06,0
"000044052",34170,1,40000,0
"000064066",34148,1,2.4e+07,0
"000064085",33214,1,1150000,0
"000064069",33190,1,1.6e+07,0
"000014019",33258,1,2600000,0
"000074087",34170,1,8e+05,0
"000014005",34170,1,1e+05,0
"000034049",34170,1,1e+05,0
"000064077",34170,1,150000,0
"000014016",33258,2,2100000,0
"000014016",34170,1,8e+05,0
"000014016",34181,1,1e+07,0
"000014007",33214,1,650000,0
"000014034",33190,1,3500000,0
"000014017",33258,1,2400000,0
"000064085",34170,1,75000,0
"000014017",34170,1,8e+05,0
"000064072",34170,1,5e+05,0
"000064074",33214,1,1350000,0
"000014017",34240,1,350000,0
"000094106",33214,1,3200000,0
"000094106",34170,1,250000,0
"000014007",34170,1,250000,0
"000014022",33258,1,3e+06,0
"000054065",34170,1,350000,0
"000034043",33112,1,2.4e+07,0
"000014030",34170,1,50000,0
"000074103",34170,1,60000,0
"000034041",33214,1,1e+06,0
"000044058",34239,1,45000,0
"000064067",34170,1,5e+05,0
"000074096",33258,1,2e+06,0
"000064074",34170,1,50000,0
"000014013",33214,1,960000,0
"000014015",33190,1,5e+06,0
"000074101",33214,1,1200000,0
"000074101",34148,1,4500000,0
"000074101",34170,1,180000,0
"000054063",34170,1,450000,0
"000014021",33258,1,5500000,0
"000014018",33258,1,3e+06,0
"001051043",33112,1,4.5e+07,0
"001061055",33236,1,110000,0
"001081066",33190,1,1500000,0
"001081066",33258,1,2148000,0
"001081066",33258,8,450000,0
"001051029",33258,1,9e+05,0
"001041021",33190,1,2e+06,0
"001041021",33190,8,5e+05,0
"001141107",33112,1,4.9e+07,0
"001091079",33190,1,1e+07,0
"001051030",33190,1,4e+06,0
"001111094",33258,1,620000,0
"001081069",33451,8,1e+06,0
"001081067",33190,1,1.2e+07,0
"001141108",33145,NA,0,6e+07
"001111091",33316,1,1.3e+07,0
"001041019",33145,1,2e+07,0
"001041019",33167,1,2e+05,0
"001071062",33145,1,3.5e+07,0
"001071062",33156,1,6e+05,0
"001101085",34115,1,4e+06,0
"001121100",33190,1,9e+05,0
