"ADDRESS","COL01","COL02","COL03","COL04","COL05","COL06","COL07","COL08","COL09","COL10","COL11","COL12","COL13"
"000043054","07",1,"9314","4521",3,1650000,13200000,1650000,13200000,0,0,1650000,13200000
"000013039","01",1,"9211","0130",3,360000,4e+06,360000,4e+06,0,0,360000,4e+06
"000073099","01",1,"9211","0130",3,1200000,3500000,1200000,3500000,0,0,1200000,3500000
"000073098","04",1,"9314","4521",3,0,1300000,0,1300000,0,0,0,1300000
"000013038","03",2,"9314","4521",3,0,5400000,0,5400000,0,0,0,5400000
"000013024","01",1,"9211","0124",3,0,1e+07,0,1e+07,0,0,0,1e+07
"000073100","01",1,"5122","7498",1,2200526,29306312,2062650,24751800,0,2900000,2062650,27651800
"000073097","03",1,"9314","4521",3,1375000,1.1e+07,1375000,1.1e+07,0,0,1375000,1.1e+07
"000073097","06",1,"9314","4521",3,1248000,9984000,1248000,9984000,0,0,1248000,9984000
"000063070","03",1,"9211","0130",3,450000,4e+06,450000,4e+06,0,0,450000,4e+06
"000063070","04",1,"9211","0130",3,450000,4300000,450000,4300000,0,0,450000,4300000
"000013002","05",1,"9314","4521",3,1265000,8250000,1265000,8250000,0,0,1265000,8250000
"000063069","01",2,"9211","0130",3,0,2700000,0,2700000,0,0,0,2700000
"000063083","02",2,"9211","0130",3,0,2500000,0,2500000,0,0,0,2500000
"000063083","03",2,"9211","0130",3,0,1500000,0,1500000,0,0,0,1500000
"000033043","01",1,"9314","4521",3,850000,5e+06,850000,5e+06,0,0,850000,5e+06
"000013014","01",2,"9211","0130",3,0,3500000,0,3500000,0,0,0,3500000
"000013028","01",1,"9314","4521",3,1350000,9450000,1350000,9450000,0,0,1350000,9450000
"000013026","01",1,"8113","4524",3,1200000,5400000,1200000,5400000,0,0,1200000,5400000
"000013026","01",2,"9314","4521",3,0,2e+06,0,2e+06,0,0,0,2e+06
"000033041","01",1,"8324","7522",1,1060000,2120000,1060000,2120000,0,0,1060000,2120000
"000043060","01",1,"9211","0130",3,0,3e+06,0,3e+06,0,0,0,3e+06
"000043059","01",2,"9211","0130",3,0,3500000,0,3500000,0,0,0,3500000
"000043057","01",2,"9314","4521",3,0,1500000,0,1500000,0,0,0,1500000
"000013029","01",1,"9314","4521",3,1350000,6750000,1350000,6750000,0,0,1350000,6750000
"000033044","05",1,"4113","1711",3,980000,980000,980000,980000,0,0,980000,980000
"000013027","01",1,"8113","4524",3,1250000,5500000,1250000,5500000,0,0,1250000,5500000
"000073089","01",1,"9314","4521",3,1800000,19800000,1800000,19800000,0,0,1800000,19800000
"000073086","01",1,"2331","8010",1,2437700,30852400,2251700,27020400,0,1600000,2251700,28620400
"000073086","01",2,"7137","4532",3,0,6e+06,0,6e+06,0,0,0,6e+06
"000013007","01",2,"7141","4540",3,0,3600000,0,3600000,0,0,0,3600000
"000013007","01",2,"9314","4521",3,0,3e+06,0,3e+06,0,0,0,3e+06
"000013018","01",1,"9314","4521",3,330000,6500000,330000,6500000,0,0,330000,6500000
"000073101","03",1,"9211","0124",3,0,6e+06,0,6e+06,0,0,0,6e+06
"000073102","02",1,"7501","1724",3,80000,840000,80000,840000,0,0,80000,840000
"000064080","05",1,"9333","2611",3,1758860,27206320,1705000,20460000,0,6100000,1705000,26560000
"000014035","02",2,"8331","0140",3,0,1750000,0,1750000,0,0,0,1750000
"000014035","02",2,"7224","2892",3,0,4900000,0,4900000,0,0,0,4900000
"000014025","01",1,"6121","0123",3,2148000,27776000,2047760,24573120,0,2e+06,2047760,26573120
"000074097","01",1,"7325","2697",3,1350000,16200000,1350000,16200000,0,0,1350000,16200000
"000074100","04",2,"9211","0130",3,0,9e+05,0,9e+05,0,0,0,9e+05
"000014040","01",1,"5220","5211",3,9e+05,10800000,9e+05,10800000,0,0,9e+05,10800000
"000014039","01",1,"9314","4521",3,750000,7200000,750000,7200000,0,0,750000,7200000
"000014039","04",1,"9211","0124",3,687500,5500000,687500,5500000,0,0,687500,5500000
"000074099","01",1,"5123","6519",1,3155800,24619600,1498499,17981988,1500000,3250000,2998499,21231988
"000014021","01",1,"3231","8513",1,1677950,24285400,1549308,18591696,0,4150000,1549308,22741696
"000014006","01",1,"9333","5126",3,1350000,6776000,1350000,6776000,0,0,1350000,6776000
"000014006","03",1,"9333","5126",3,920000,5383000,920000,5383000,0,0,920000,5383000
"000044055","02",1,"9314","4521",3,850000,8e+06,850000,8e+06,0,0,850000,8e+06
"000014024","01",1,"9314","4521",3,1100000,11550000,1100000,11550000,0,0,1100000,11550000
"000014022","05",1,"7501","1724",3,3e+05,1200000,3e+05,1200000,0,0,3e+05,1200000
"000014022","06",1,"7501","1724",3,3e+05,1200000,3e+05,1200000,0,0,3e+05,1200000
"000014034","01",1,"2320","8021",1,2127900,28034800,1894213,22730556,0,2500000,1894213,25230556
"000044053","01",1,"0111","7522",1,2821195,37304340,2460169,29522028,0,3450000,2460169,32972028
"000044052","01",1,"9211","0130",3,0,4e+06,0,4e+06,0,0,0,4e+06
"000044052","03",1,"5141","9302",3,70000,2e+05,70000,2e+05,0,0,70000,2e+05
"000064070","01",1,"8132","2697",3,1450000,8700000,1450000,8700000,0,0,1450000,8700000
"000064070","01",2,"9211","0130",3,0,2700000,0,2700000,0,0,0,2700000
"000064070","05",1,"8132","2697",3,1250000,7500000,1250000,7500000,0,0,1250000,7500000
"000064070","06",1,"9314","4521",3,1410000,7755000,1410000,7755000,0,0,1410000,7755000
"000064070","07",1,"9314","4521",3,1050000,5775000,1050000,5775000,0,0,1050000,5775000
"000064081","01",1,"3480","9191",3,80000,4e+05,80000,4e+05,0,0,80000,4e+05
"000071092","01",1,"8162","2812",1,2983450,44251400,2656793,31881516,0,8450000,2656793,40331516
"000071093","01",1,"9160","9000",3,1557205,20186460,1488385,17860620,0,1500000,1488385,19360620
"000071094","01",1,"7418","1542",3,1855642,23767704,1678563,20142756,0,1500000,1678563,21642756
"000071095","02",1,"4190","0111",3,350000,4500000,350000,4500000,0,0,350000,4500000
"000011026","01",1,"7224","2892",3,1647000,12529000,1581180,11068260,0,1e+06,1581180,12068260
"000011027","01",1,"1222","2732",3,1958870,25256440,1866370,22396440,0,1750000,1866370,24146440
"000011029","01",1,"7212","2899",3,650000,1750000,650000,1750000,0,0,650000,1750000
"000011029","01",2,"7222","2811",3,0,10800000,0,10800000,0,0,0,10800000
"000011038","01",1,"9211","0124",3,0,5e+06,0,5e+06,0,0,0,5e+06
"000011036","02",1,"7501","1724",3,0,6e+05,0,6e+05,0,0,0,6e+05
"000011037","01",1,"9211","0130",3,0,3e+06,0,3e+06,0,0,0,3e+06
"000071103","01",1,"5149","9304",3,550000,6600000,550000,6600000,0,0,550000,6600000
"000011001","03",1,"9211","0130",3,1050000,8400000,1050000,8400000,0,0,1050000,8400000
"000011024","01",1,"9314","4521",3,6e+05,3e+06,6e+05,3e+06,0,0,6e+05,3e+06
"000071108","01",1,"2146","7498",3,4863725,80455875,4412497,52949964,0,7500000,4412497,60449964
"000071109","01",1,"3115","2411",3,3848902,50686824,3558682,42704184,0,4500000,3558682,47204184
"000071106","01",1,"3119","2411",3,3997020,51914240,3625860,43510320,0,3950000,3625860,47460320
"000071107","01",1,"7311","7498",3,3654290,48501480,3396036,40752432,0,4650000,3396036,45402432
"000011039","01",1,"9314","4521",3,1350000,10800000,1350000,10800000,0,0,1350000,10800000
"000031046","03",2,"7442","1920",3,0,5250000,0,5250000,0,0,0,5250000
"000031049","01",1,"7442","5260",3,250000,3e+06,250000,3e+06,0,0,250000,3e+06
"000031050","01",1,"3231","8518",1,1536640,22139680,1417235,17006820,0,3700000,1417235,20706820
"000031050","02",1,"3231","8518",1,1363200,17558400,1246387,14956644,0,1200000,1246387,16156644
"000021042","01",1,"4134","6309",3,650000,1.1e+07,650000,1.1e+07,0,0,650000,1.1e+07
"000031047","03",1,"7438","1711",3,210000,210000,210000,210000,0,0,210000,210000
"000031047","04",2,"9314","4521",3,0,4800000,0,4800000,0,0,0,4800000
"000021041","01",1,"4223","6420",3,1e+06,1.5e+07,1e+06,14250000,0,750000,1e+06,1.5e+07
"000021041","02",1,"2331","8010",1,1803430,23241160,1648051,19776612,0,1600000,1648051,21376612
"000011032","01",1,"8161","4010",1,2898177,36628124,2724673,32696076,0,1850000,2724673,34546076
"000011028","01",1,"8324","4522",3,3834104,50509248,3509469,42113628,0,4500000,3509469,46613628
"000011028","03",1,"9314","4521",3,1250000,4800000,1250000,4800000,0,0,1250000,4800000
"000054064","01",1,"5149","9304",2,1e+06,8e+06,1e+06,8e+06,0,0,1e+06,8e+06
"000074089","01",1,"9314","4521",3,1200000,14400000,1200000,14400000,0,0,1200000,14400000
"000074089","02",1,"7501","1724",3,0,1300000,0,1300000,0,0,0,1300000
"000074089","04",1,"3231","8513",1,116666,1399999,116666,1399999,0,0,116666,1399999
"000064069","01",1,"8231","2511",3,2387000,32244000,2275607,27307284,0,3600000,2275607,30907284
"000074090","01",1,"7133","4540",3,2100000,16800000,2100000,16800000,0,0,2100000,16800000
"000054063","04",1,"0111","7522",1,1983197,26248364,1820688,21848256,0,2450000,1820688,24298256
