"ADDRESS","COL01","COL03","COL04","COL05","COL06","COL07","COL08"
"001053035","01",0,0,15600000,0,0,0
"001053050","01",13960000,1.1e+07,0,0,0,0
"001083065","04",0,0,0,960000,0,0
"001083066","01",0,2280000,0,0,0,0
"001123097","01",0,0,0,2250000,0,0
"001123097","08",0,0,0,0,960000,0
"001163111","01",0,1700000,0,1200000,0,0
"001163111","02",0,0,0,1200000,0,0
"001163112","01",0,3700000,0,1e+06,150000,0
"001163114","01",0,1.2e+07,0,1200000,0,0
"001053045","01",0,0,0,0,0,5e+06
"001043013","01",0,9360000,0,0,0,0
"001043013","04",0,0,0,0,8e+05,0
"001023006","02",0,0,0,0,150000,0
"001023006","07",0,2500000,0,1e+06,0,0
"001043016","01",0,0,0,8400000,0,0
"001043017","01",0,0,0,1400000,0,0
"001053041","01",19500000,9120000,0,0,0,0
"001053048","02",11600000,6e+05,0,0,0,0
"001063052","01",0,0,0,1200000,0,1600000
"001083061","01",0,0,0,1500000,0,1e+06
"001083063","01",0,2e+06,0,0,0,1500000
"001113093","02",0,0,0,0,2e+05,0
"001113095","01",0,0,0,11600000,0,0
"001123099","01",0,0,0,2e+06,0,0
"001073058","01",0,0,0,440000,0,0
"001113090","01",12700000,0,0,0,0,0
"001103083","01",0,0,0,1750000,0,0
"001113089","01",14200000,0,0,1800000,0,0
"001083069","01",0,2700000,0,0,0,0
"001053043","01",0,6900000,0,0,0,0
"001063051","01",0,0,0,920000,0,1600000
"001063053","01",0,3300000,0,0,0,0
"001063054","01",0,4e+05,0,1e+06,0,0
"001073057","01",0,0,0,350000,0,0
"001073059","01",0,0,0,420000,0,0
"001073059","05",0,0,0,880000,0,0
"001083068","01",0,0,0,0,0,8e+05
"001083068","02",0,0,0,0,6e+05,0
"001063055","02",0,0,0,0,1e+06,0
"001113088","01",15400000,0,0,0,0,0
"001113092","04",0,0,0,960000,0,0
"001123099","03",0,0,0,8e+05,0,0
"001133103","01",0,1080000,0,0,0,0
