"ADDRESS","COL01","COL03","COL04","COL05","COL06","COL07","COL08","COL09","COL10"
101053047,"03",3,2,"03",NA,NA,NA,NA,NA
101053047,"04",3,2,NA,NA,NA,NA,NA,NA
101063065,"01",1,1,"34",1,2,"23",1,1
101063065,"02",2,2,"29",1,2,"16",5,1
101093076,"01",1,1,"37",1,2,"33",1,1
101093076,"02",2,2,"33",1,2,"33",1,1
101103085,"01",1,1,"35",1,2,"34",1,1
101103085,"02",2,2,"33",1,2,"62",5,1
101103085,"03",3,1,"03",NA,NA,NA,NA,NA
101053050,"01",1,1,"23",1,2,"22",1,1
101053050,"02",2,2,"21",1,2,"15",5,1
101053050,"03",3,2,"04",NA,NA,NA,NA,NA
101053050,"04",3,1,NA,NA,NA,NA,NA,NA
101043016,"01",1,1,"32",1,2,"14",1,1
101043016,"02",2,2,"31",2,NA,NA,5,1
101043016,"03",3,1,"06",1,1,"11",NA,NA
101043020,"01",1,1,"72",1,2,"16",1,1
101043020,"02",2,2,"70",2,NA,NA,5,1
101043020,"03",3,1,"35",1,2,"62",2,3
101053036,"01",1,1,"25",1,2,"23",1,1
101053031,"01",1,1,"38",1,2,"52",1,1
101053031,"02",2,2,"33",1,2,"23",5,1
101053038,"01",1,1,"44",1,2,"33",1,1
101053038,"02",2,2,"44",1,2,"12",5,1
101103082,"01",1,1,"47",1,2,"62",1,1
101103082,"02",2,2,"34",1,2,"33",5,1
101103082,"03",3,2,"15",1,1,"42",4,4
101043018,"01",1,2,"32",1,2,"15",1,2
101043018,"02",3,2,"13",1,1,"23",4,4
101043018,"03",3,2,"12",1,1,"22",4,4
101043018,"04",3,2,"10",1,1,"14",4,4
101053036,"02",2,2,"26",1,2,"41",5,1
101053039,"01",1,1,"33",1,2,"33",1,1
101053039,"02",2,2,"32",1,2,"15",5,1
101053037,"01",1,1,"40",1,2,"15",1,1
101053037,"02",2,2,"38",1,2,"33",5,1
101053037,"03",3,1,"18",1,1,"48",4,4
101053037,"04",3,2,"12",1,1,"21",4,4
101053040,"01",1,1,"32",1,2,"15",1,1
101053040,"02",2,2,"26",1,2,"15",5,1
101053040,"03",3,2,"09",1,1,"14",NA,NA
101053039,"03",3,2,"08",1,1,"12",NA,NA
101113090,"01",1,1,"33",1,2,"13",1,1
101053039,"04",3,1,"02",NA,NA,NA,NA,NA
101033009,"01",1,1,"64",1,2,"15",1,2
101033009,"02",3,1,"36",1,2,"21",1,2
101073067,"01",1,2,"18",1,1,"48",3,4
101033009,"03",3,1,"35",1,2,"15",2,4
101033009,"04",3,2,"24",1,2,"23",1,4
101033009,"05",5,2,"08",1,1,"12",NA,NA
101053030,"01",1,1,"32",1,2,"33",1,1
101113089,"01",1,2,"55",2,NA,NA,3,2
101053053,"01",1,1,"49",1,2,"33",1,1
101053053,"02",2,2,"47",1,2,"33",1,1
101053053,"03",3,2,"21",1,2,"52",2,4
101053053,"04",3,1,"17",1,1,"48",4,4
101053053,"05",3,2,"11",1,1,"21",4,4
101053054,"01",1,1,"73",1,2,"33",1,1
100011001,"01",1,1,"70",1,2,"91",1,1
100011001,"02",2,2,"62",2,NA,NA,5,1
100011001,"03",3,1,"24",1,2,"43",1,4
100011001,"04",3,2,"20",1,2,"45",2,4
100011003,"01",1,1,"40",1,2,"62",1,1
100011002,"01",1,1,"32",1,2,"52",1,1
100011002,"02",2,2,"25",1,2,"43",5,1
100011004,"01",1,1,"44",1,2,"52",1,1
100011004,"02",2,2,"38",1,2,"33",5,1
100011004,"03",3,2,"16",1,1,"42",4,4
100011004,"04",3,2,"11",1,1,"15",4,4
100011005,"01",1,1,"28",1,2,"62",1,1
100011005,"02",2,2,"27",1,1,"61",4,1
100011006,"01",1,1,"45",1,2,"16",1,1
100011006,"02",2,2,"46",1,2,"13",5,1
100011006,"03",3,2,"24",1,2,"43",1,4
100011006,"04",3,2,"22",1,1,"61",4,4
100011006,"05",3,2,"13",1,1,"23",4,4
100011007,"01",1,1,"24",1,1,"71",1,4
100011007,"02",9,1,"21",1,1,"61",3,4
100011007,"03",9,1,"21",1,1,"61",3,4
100011008,"01",1,1,"33",1,1,"61",1,1
100011008,"02",2,2,"28",1,2,"33",5,1
100011008,"03",3,2,"09",1,1,"13",NA,NA
100011010,"01",1,1,"37",1,2,"16",1,1
100011010,"02",2,2,"35",1,2,"16",5,1
