"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10","DYCOL11","DYCOL12","DYCOL13","DYCOL14","DYCOL15","DYCOL16","DYCOL17","DYCOL18","DYCOL19","DYCOL20","DYCOL21","DYCOL22","DYCOL23","DYCOL24","DYCOL25","DYCOL26","DYCOL27","DYCOL28","DYCOL29","DYCOL30","DYCOL31","DYCOL32","DYCOL33","DYCOL34","DYCOL35","DYCOL36"
100011004,5,"04","110",2,NA,1,NA,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,"03","10"
100011005,5,"05","120",3,"01",NA,NA,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,"03","10"
100011001,1,"04","120",3,"01",1,NA,NA,1,1,NA,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100011003,5,"04","110",2,NA,NA,NA,NA,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,"03","10"
100011002,5,"04","096",2,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10"
100011031,4,"02","070",3,"01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100011033,3,"03","075",3,"01",NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,"03","10"
100011032,1,"04","100",3,"01",NA,NA,1,1,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,"03","10"
100011034,3,"03","075",3,"01",NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,"03","10"
100011040,1,"06","265",1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10"
100041048,1,"03","040",3,"01",1,NA,NA,1,1,NA,1,1,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,"03","10"
100041049,3,"02","045",2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,"03","10"
100011006,1,"03","080",3,"01",NA,NA,NA,1,1,NA,1,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100011007,3,"03","085",3,"01",NA,NA,NA,1,1,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,"03","10"
100011008,4,"03","075",3,"01",1,NA,NA,1,1,NA,1,1,NA,NA,NA,1,1,NA,1,1,1,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10"
100011010,3,"02","065",3,"01",1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,"03","10"
100011016,1,"03","100",3,"01",NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100011017,1,"04","190",3,"01",NA,NA,1,1,1,NA,1,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,NA,"03","10"
100011019,1,"05","230",3,"01",1,NA,NA,1,1,NA,1,NA,1,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,"03","10"
100011020,1,"04","220",3,"01",1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100011009,1,"03","115",3,"01",NA,NA,1,1,1,NA,1,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100011018,2,"04","084",3,"01",NA,NA,NA,1,1,NA,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100041046,1,"02","065",2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,"03","10"
100041047,1,"03","100",3,"01",NA,1,NA,1,1,NA,1,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100011035,1,"03","070",3,"01",1,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100011037,1,"03","085",3,"01",1,NA,NA,1,1,NA,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10"
100011039,3,"03","120",1,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100041050,1,"02","040",2,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10"
100011024,1,"03","114",1,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100011023,1,"03","110",1,NA,NA,NA,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,NA,"03","10"
100011022,1,"03","120",3,"01",NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10"
100011025,1,"03","125",3,"01",NA,NA,NA,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100011021,1,"04","100",3,"01",1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,NA,"03","10"
100011014,1,"03","075",1,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100011027,6,"03","060",3,"01",NA,1,NA,1,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100011029,1,"02","065",3,"01",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10"
100011030,1,"03","075",3,"01",NA,NA,NA,1,1,NA,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10"
100011012,1,"04","117",3,"01",1,NA,1,1,1,NA,1,NA,1,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,"03","10"
100011013,3,"03","086",3,"01",NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10"
100011015,1,"06","240",3,"01",NA,NA,1,1,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100011026,1,"03","085",3,"01",1,NA,1,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100011028,1,"04","200",3,"01",1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100011038,1,"04","096",3,"01",NA,NA,NA,1,1,NA,1,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100011011,1,"04","170",3,"01",1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,NA,"03","10"
100011036,1,"03","096",3,"01",NA,1,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100051051,6,"01","013",3,"06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"01","08"
100051052,1,"04","080",3,"01",NA,1,NA,1,1,NA,1,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10"
100051054,1,"02","025",3,"06",NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,"03","10"
