"ADDRESS","COL1","COL3","COL4","COL5","COL6","COL7"
100012033,"022111",1,NA,600,75,45000
100042049,"022111",1,NA,600,125,75000
100012001,"022111",1,NA,75,700,52500
100013004,"022111",1,NA,600,125,75000
100043047,"022112",1,NA,350,150,52500
100013022,"022111",1,NA,200,125,25000
100013038,"022111",1,NA,300,125,37500
100073067,"022112",7,NA,200,140,28000
100013028,"022111",1,NA,600,75,45000
100013011,"022113",1,NA,300,350,105000
100073068,"022112",1,NA,200,130,26000
100063055,"022112",1,NA,600,150,90000
100063056,"022112",1,NA,600,150,90000
100093074,"022111",1,NA,350,115,40250
100063061,"022112",1,NA,300,150,45000
100013031,"022111",7,NA,150,125,18750
100063060,"022113",1,NA,120,145,17400
100013019,"022112",1,NA,600,150,90000
100013032,"022111",1,NA,600,135,81000
100063064,"022112",1,NA,800,125,1e+05
100043046,"022111",1,NA,600,120,72000
100013014,"022111",1,NA,120,115,13800
100013030,"022113",7,NA,450,320,144000
100013033,"022111",7,NA,600,125,75000
100043049,"022112",1,NA,400,225,90000
100093071,"022111",1,NA,80,150,12000
100063059,"022111",1,NA,300,135,40500
100013021,"022111",1,NA,400,136,54400
100043047,"0231",NA,NA,NA,NA,30000
100014002,"022111",1,NA,600,145,87000
100074070,"022111",1,NA,300,100,30000
100014038,"022111",1,NA,600,75,45000
100014021,"022113",1,NA,600,150,90000
100014031,"022111",1,NA,300,200,60000
100014037,"022111",1,NA,600,125,75000
100064058,"022113",1,NA,600,150,90000
100094072,"022111",1,NA,600,125,75000
100094074,"022111",1,NA,400,135,54000
100054046,"022113",1,NA,300,255,76500
100014010,"022113",1,NA,600,200,120000
100014024,"022111",1,NA,90,135,12150
100014015,"022113",1,NA,600,225,135000
100054048,"022111",1,NA,300,135,40500
100014023,"022111",1,NA,300,125,37500
100054050,"022113",1,NA,120,150,18000
100014017,"022113",1,NA,300,300,90000
100014035,"022111",1,NA,400,115,46000
100014011,"022111",1,NA,300,120,36000
100044045,"022111",1,NA,600,150,90000
100014036,"022111",1,NA,750,125,93750
100014013,"022111",1,NA,900,125,112500
100064056,"022111",1,NA,300,150,45000
100064060,"022111",1,NA,900,75,67500
100094075,"022111",1,NA,900,125,112500
101051036,"022111",1,NA,600,75,45000
101011005,"022113",1,NA,600,150,90000
101011001,"022111",1,NA,600,175,105000
101021006,"022111",1,NA,600,150,90000
101021010,"022114",1,NA,600,300,180000
101051035,"022111",1,NA,240,75,18000
101081078,"022113",1,NA,300,150,45000
101051038,"022114",1,NA,600,300,180000
101051053,"022113",1,NA,300,150,45000
101021007,"022111",1,NA,150,125,18750
101051021,"022112",1,NA,30,150,4500
101051028,"022114",1,NA,60,350,21000
101051052,"022113",1,NA,600,300,180000
101051046,"022114",1,NA,300,250,75000
101051061,"022111",1,NA,600,100,60000
101051040,"022113",1,NA,300,150,45000
101111095,"022113",1,NA,300,300,90000
101051022,"022111",1,NA,60,125,7500
101031016,"022114",1,NA,600,300,180000
101051024,"022113",1,NA,600,150,90000
101051045,"022111",7,NA,600,150,90000
101051043,"022112",1,NA,600,250,150000
101101083,"022114",1,NA,150,300,45000
101081077,"022111",1,NA,600,173,103800
101051023,"022113",1,NA,600,150,90000
101101085,"022113",1,NA,120,200,24000
101071073,"022113",1,NA,150,200,30000
101061067,"022111",1,NA,600,75,45000
101022006,"022112",1,NA,150,250,37500
101052023,"022113",1,NA,90,150,13500
101112091,"022113",1,NA,600,200,120000
101022010,"022111",1,NA,1200,75,90000
101082076,"022111",1,NA,90,150,13500
101012002,"022113",1,NA,600,175,105000
101052034,"022111",1,NA,600,125,75000
101052046,"022112",1,NA,300,150,45000
101112094,"022112",1,NA,300,120,36000
101012003,"022112",1,NA,600,200,120000
101012004,"022114",1,NA,700,500,350000
101012005,"022111",1,NA,1200,70,84000
101042019,"022113",1,NA,90,300,27000
101052021,"022111",1,NA,150,150,22500
101052035,"022113",1,NA,120,150,18000
101102082,"022112",1,NA,400,200,80000
101102082,"022113",1,NA,300,200,60000
101042018,"022111",1,NA,90,200,18000
101052057,"022113",1,NA,450,150,67500
101042016,"022113",1,NA,600,175,105000
101052059,"022113",1,NA,150,150,22500
101082080,"022112",1,NA,600,225,135000
101052064,"022112",1,NA,210,150,31500
101062070,"022113",1,NA,150,200,30000
101102081,"022113",1,NA,600,100,60000
101053025,"022111",1,NA,600,125,75000
101053051,"022113",1,NA,60,150,9000
101053054,"022113",1,NA,600,150,90000
101093076,"022112",1,NA,180,250,45000
101113086,"022114",1,NA,120,300,36000
101053056,"022111",1,NA,240,125,30000
101053043,"022113",1,NA,600,100,60000
101053045,"022113",1,NA,600,125,75000
101033007,"022113",1,NA,90,200,18000
101073071,"022112",1,NA,300,150,45000
101033006,"022112",1,NA,60,150,9000
101043016,"022113",1,NA,300,175,52500
101053021,"022114",1,NA,600,300,180000
101053034,"022112",1,NA,300,150,45000
101053057,"022113",1,NA,210,150,31500
101063062,"022113",1,NA,10,200,2000
101063063,"022113",1,NA,600,150,90000
101073066,"022113",1,NA,150,400,60000
101133093,"022111",1,NA,600,75,45000
101024002,"022113",1,NA,150,150,22500
101024003,"022111",1,NA,80,125,10000
101024001,"022112",1,NA,60,250,15000
101144091,"022113",1,NA,600,200,120000
101144092,"022113",1,NA,120,500,60000
101054022,"022114",1,NA,300,400,120000
101044017,"022112",1,NA,1200,200,240000
101034011,"022113",1,NA,60,125,7500
101054038,"022114",1,NA,1200,250,3e+05
101064063,"022113",1,NA,30,200,6000
101044016,"022113",1,NA,600,350,210000
101104082,"022113",1,NA,90,150,13500
101034013,"022113",1,NA,600,150,90000
101054021,"022112",1,NA,600,150,90000
101054023,"022112",1,NA,600,150,90000
101054024,"022113",1,NA,600,125,75000
101054025,"022113",1,NA,150,500,75000
101054028,"022113",1,NA,60,500,30000
101054043,"022113",1,NA,300,150,45000
101054045,"022113",1,NA,300,150,45000
101054051,"022112",1,NA,60,250,15000
101054058,"022113",1,NA,300,250,75000
101054060,"022113",1,NA,300,250,75000
101074066,"022112",1,NA,600,200,120000
101074067,"022112",1,NA,210,175,36750
101074069,"022112",1,NA,600,150,90000
101074070,"022112",7,NA,60,200,12000
101084073,"022114",1,NA,600,350,210000
101104084,"022112",1,NA,450,125,56250
101114088,"022112",1,NA,600,150,90000
102071048,"022113",1,NA,600,175,105000
102011003,"022111",7,NA,600,150,90000
102011011,"022113",1,NA,600,175,105000
102201081,"022111",1,NA,700,120,84000
102201082,"022114",1,NA,600,300,180000
102201084,"022113",1,NA,600,175,105000
102021023,"022113",1,NA,150,175,26250
102041027,"022113",1,NA,400,170,68000
102041028,"022111",1,NA,300,125,37500
102161071,"022111",1,NA,600,125,75000
102161073,"022111",1,NA,600,125,75000
102181076,"022111",1,NA,600,75,45000
102011015,"022112",1,NA,600,175,105000
102021021,"022111",1,NA,200,200,40000
102071046,"022113",1,NA,200,300,60000
102071053,"022113",1,NA,200,225,45000
102101057,"022115",1,NA,NA,NA,3000
102071055,"022111",1,NA,600,100,60000
102011012,"022112",1,NA,300,125,37500
102021025,"022114",1,NA,240,275,66000
102051038,"022112",1,NA,300,125,37500
102071054,"022112",1,NA,300,125,37500
102101060,"022112",1,NA,600,175,105000
102141070,"022112",1,NA,600,125,75000
102051037,"022111",1,NA,300,125,37500
102012001,"022114",1,NA,600,175,105000
102012004,"022112",1,NA,400,175,70000
102022011,"022113",1,NA,600,125,75000
102162075,"022111",1,NA,600,125,75000
102192080,"022115",1,NA,NA,NA,8000
102072052,"022112",1,NA,600,125,75000
102102061,"022113",1,NA,600,125,75000
102012010,"022112",1,NA,200,175,35000
102042029,"022112",1,NA,150,150,22500
102192077,"022111",1,NA,120,125,15000
102042030,"022113",1,NA,150,200,30000
102102060,"022113",1,NA,600,175,105000
102192076,"022111",1,NA,600,150,90000
