"ADDRESS","COL1","COL3","COL4"
100011001,"042111",NA,670000
100011001,"044111",1,25000
100011001,"045111",1,38500
100011001,"045211",1,88000
100011003,"042213",3,750000
100011003,"044111",1,20000
100011003,"045111",1,30000
100011004,"042213",3,8e+05
100011002,"042213",3,850000
100011002,"044111",1,26500
100011002,"045111",1,38700
100011004,"044111",1,90000
100011004,"044415",1,20000
100011004,"045111",1,190000
100011005,"042213",3,850000
100011006,"042111",NA,850000
100011007,"041111",1,450000
100011007,"042212",1,150000
100011007,"044111",1,114000
100011007,"045111",1,65000
100011007,"045211",1,121500
100011010,"041111",1,3e+05
100011010,"042212",1,6e+05
100011010,"044111",1,26800
100011010,"045111",1,34000
100011010,"045211",1,86500
100011016,"042111",NA,850000
100011017,"042111",NA,1500000
100011017,"044111",1,40000
100011009,"042111",NA,750000
100011009,"044111",1,61600
100011009,"045111",1,45000
100011009,"045211",1,69300
100011017,"045211",1,120000
100011019,"042111",NA,950000
100011019,"044111",1,38500
100011019,"045111",1,42000
100011019,"045211",1,56500
100011020,"042111",NA,1500000
100011020,"044111",1,38000
100011024,"042111",NA,950000
100011024,"044111",1,38000
100011024,"045111",1,33500
100011023,"042111",NA,1200000
100011023,"044111",1,40000
100011023,"044211",1,5000
100011023,"045111",1,35000
100011023,"045211",1,28000
100011022,"042111",NA,850000
100011022,"044111",1,22000
100011022,"044211",1,5000
100011022,"044311",1,18000
100011022,"045111",1,32300
100011025,"042111",NA,850000
100011025,"044111",1,16000
100011018,"042111",NA,1100000
100011018,"044111",1,10000
100011018,"044311",1,56000
100011018,"045111",1,31000
100011025,"045111",1,28000
100011025,"045212",1,114000
100011022,"045211",1,61800
100011037,"042111",NA,480000
100011037,"044111",1,28500
100011020,"044211",1,5000
100011020,"045111",1,108000
100011037,"045111",1,13500
100011039,"041111",1,2e+05
100011039,"042212",1,3e+05
100011039,"044111",1,16000
100041050,"042111",NA,4e+05
100041050,"045111",1,31000
100011034,"041111",1,3e+05
100011034,"042212",1,6e+05
100011034,"044111",1,4500
100011034,"045111",1,14000
100011015,"042111",NA,1350000
100011015,"044111",1,2e+05
100011015,"045111",1,70000
100011038,"042111",NA,550000
100011038,"044111",1,22000
100011038,"045111",1,15000
100011038,"045211",1,41800
