"ADDRESS","COL1","COL3","COL4","COL5"
101042016,33134,1,2.5e+07,0
101042016,33167,1,2e+05,0
101112094,33190,1,24010000,0
101112094,33258,1,4990000,0
101072075,33112,1,1e+08,0
101072075,33258,1,8e+06,0
101042019,33112,1,4e+06,0
101072072,33349,1,8.5e+07,0
101072073,33190,1,12400000,0
101112095,33190,1,6e+06,0
101102082,33190,1,4e+06,0
101112093,33112,1,2.5e+07,0
101042018,33190,1,1250000,0
101042016,33418,1,3300000,3500000
101052045,33134,1,2.5e+08,0
101052045,33190,1,4e+06,0
101052045,33214,1,3200000,0
101072072,33350,1,2e+05,0
101072073,33258,1,3500000,0
101072073,33269,1,2800000,0
101082076,33112,1,2e+07,0
101082078,33134,NA,0,1.2e+08
101082078,33167,1,480000,0
101082078,33338,1,1.1e+08,0
101112092,33190,1,2e+06,0
101093079,33190,1,3e+07,0
101053025,33258,1,3300000,0
101063064,33112,1,5e+07,0
101033007,33190,1,1.5e+07,0
101073072,33145,NA,0,1e+08
101073072,33190,1,6450000,0
101053040,33145,NA,0,5.5e+07
101053040,33190,1,1700000,0
101073075,33190,1,3e+06,0
101113090,34192,1,450000,0
101133094,33190,1,6e+06,0
101133094,33236,1,1500000,0
101063065,33236,1,3500000,0
101093077,33190,1,2e+07,0
101074067,33145,NA,0,9e+07
101074067,33145,1,5e+07,0
101094077,33112,1,8.5e+07,0
101114089,33112,1,3e+07,0
101034008,33214,1,1500000,0
101044020,33190,1,6.5e+07,0
101074067,33338,1,9e+06,0
102071051,34170,1,1e+05,0
102071055,33362,1,4e+06,0
102021022,33190,1,150000,0
102071053,34170,1,50000,0
102161075,33258,1,2e+06,0
102021016,33145,1,4.8e+07,0
102101056,34170,1,2e+05,0
102101060,34170,1,5e+05,0
102141068,33190,1,5e+05,0
102161071,33258,1,2200000,0
102201081,33112,1,6e+07,0
102051036,33190,1,1e+06,0
102051036,33247,1,4e+05,0
102011009,33190,1,1300000,0
102011002,33258,1,1800000,0
102011002,33451,1,1200000,0
102011003,33214,1,1950000,0
102011005,33214,1,1600000,0
102051039,33134,1,1.2e+08,1.55e+08
102051039,33145,1,8e+07,8e+07
102051039,33179,1,390000,0
102051039,33190,1,1e+07,0
102201081,33258,1,2400000,0
102021023,34170,1,1e+06,0
102021016,33247,1,1800000,0
102161072,33258,1,1900000,0
102201083,33190,1,12500000,0
102041033,33190,1,1e+06,0
102051036,34170,1,4e+05,0
102071052,33190,1,2e+06,0
102011002,34170,1,1e+05,0
102011003,33258,1,2100000,0
102041031,33190,1,7e+06,0
102051039,34170,7,5e+05,0
102071044,34170,1,150000,0
102101057,34170,1,5e+05,0
102101057,34261,1,3e+06,0
102161074,33190,1,3e+06,0
102161074,33258,1,2400000,0
102021020,33190,1,8e+06,0
102041035,33190,1,1e+07,0
102071054,34170,7,2e+05,0
102011001,33258,1,2100000,0
102011004,33214,1,2050000,0
102011004,33258,1,2400000,0
102011005,33258,1,2800000,0
102041030,33190,1,7e+06,0
102041032,33190,1,3e+05,0
102101064,33190,1,7e+06,0
102161073,33258,1,2500000,0
102012003,33190,1,2e+07,0
102022023,33258,1,1250000,0
102192078,34170,1,2e+05,0
102192080,33190,1,3e+06,0
102012001,33190,1,6500000,0
102072043,34170,1,1e+06,0
102102064,33190,1,750000,0
102022021,33258,1,1850000,0
102022025,33190,1,3e+07,0
102022025,33258,1,1800000,0
102072044,33190,1,2e+07,0
102212081,33123,1,5150000,0
102212081,33190,1,4.5e+07,0
102212083,33190,1,8e+05,0
102072042,33134,NA,0,1.2e+08
102072042,33145,NA,0,7e+07
102072042,33156,1,2e+06,0
