"ADDRESS","COL01","COL02","COL03","COL04","COL05","COL06","COL07","COL08","COL09","COL10","COL11","COL12","COL13"
100092072,"03",1,6113,"0112",3,1,0,0,0,0,0,0,0
100012020,"01",1,9112,"5259",2,2,0,31750000,0,2640000,0,53590000,19200000
100062065,"03",1,5220,"5211",1,2,2640000,6.5e+07,1370000,8100000,1150000,120260000,4.2e+07
100012004,"03",1,5220,"5223",2,2,0,4.4e+07,2550000,350000,0,55400000,8500000
100012032,"01",1,7141,"4540",1,2,9450000,8150000,120000,0,0,43370000,25650000
100042050,"01",1,7218,"5020",2,2,0,3e+06,120000,180000,360000,23410000,19750000
100042049,"01",1,8322,"6021",2,2,0,1100000,0,0,0,8e+06,6900000
100012002,"01",1,5220,"5145",2,2,0,58500000,65000,1128000,1150000,151563000,90720000
100062066,"01",1,8322,"6021",2,2,0,8500000,0,0,0,17500000,9e+06
100062052,"01",1,7136,"4531",2,2,0,350000,480000,0,0,4500000,3670000
100012036,"01",1,6112,"0113",2,1,1300000,3780000,0,1700000,0,3.5e+07,28220000
100012040,"01",1,8322,"6023",2,2,0,2150000,160000,0,0,6300000,3990000
100012023,"01",1,8324,"6023",2,2,0,3967500,4180000,550000,0,32697500,2.4e+07
100012010,"01",1,8322,"6021",2,2,0,385000,650000,0,0,2850000,1815000
100062069,"01",1,8322,"6022",2,2,0,8212500,1870000,250000,1530000,38262500,26400000
100012006,"01",1,5220,"5234",2,2,0,6.8e+07,0,0,0,8.3e+07,1.5e+07
100062051,"01",1,8324,"6023",2,2,0,5827500,9160000,2150000,780000,53917500,3.6e+07
100062053,"01",1,7501,"1724",2,2,0,420000,40000,0,0,1950000,1490000
100012027,"06",1,8322,"6023",2,2,0,196000,0,0,0,670000,474000
100062058,"04",1,5141,"9302",2,2,0,123000,41000,0,0,750000,586000
100032043,"01",1,7437,"1721",1,2,19476000,18500000,450000,9e+05,0,82826000,43500000
100032045,"01",1,6112,"0113",1,1,11550000,3650000,190000,850000,0,36790000,20550000
100013023,"01",1,5220,"5211",2,2,0,4500000,0,250000,0,5950000,1200000
100063051,"01",1,5220,"5211",2,2,0,3.4e+07,0,2e+06,0,47500000,11500000
100013010,"01",1,8322,"6021",2,2,0,1.2e+07,0,0,0,3.5e+07,2.3e+07
100073067,"01",1,5220,"5211",2,2,0,3.8e+07,1460000,530000,0,71015000,31025000
100013036,"01",1,6111,"0112",2,1,120000,88000,0,70000,0,4730000,4452000
100013007,"03",2,8322,"6021",2,2,0,4930000,1350000,170000,0,17935000,11485000
100013040,"01",1,5220,"5211",2,2,0,3500000,0,90000,0,8990000,5400000
100013040,"02",1,7442,"1920",2,2,0,160000,0,0,0,3e+06,2840000
100013001,"02",1,7501,"1724",2,2,0,360000,40000,0,0,1900000,1500000
