"ADDRESS","DYCOL01","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10"
"000011001","01",1,1,"32",1,2,"102",1,1
"000011001","02",2,2,"27",1,2,"106",5,1
"000011001","03",3,1,"10",1,1,"104",4,4
"000011001","04",3,2,"01",NA,NA,NA,NA,NA
"000011002","01",1,1,"32",1,2,"106",1,1
"000011002","02",2,2,"25",1,2,"106",5,1
"000011002","03",3,2,"07",1,1,"101",NA,NA
"000011002","04",3,2,"02",NA,NA,NA,NA,NA
"000011003","01",1,1,"42",1,2,"109",1,1
"000011003","02",2,2,"46",2,NA,NA,1,1
"000011003","03",3,2,"22",1,2,"106",5,4
"000011003","04",3,1,"17",1,2,"106",1,4
"000011003","05",3,2,"11",1,1,"105",4,4
"000011004","01",1,1,"24",1,2,"214",1,1
"000011004","02",2,2,"17",1,2,"214",5,1
"000011005","01",1,1,"68",2,NA,NA,1,1
"000011005","02",2,2,"44",2,NA,NA,5,1
"000011005","03",3,2,"22",1,2,"104",5,4
"000011005","04",3,2,"16",1,2,"106",5,4
"000011005","05",3,1,"14",1,1,"213",4,4
"000011006","01",1,1,"54",1,2,"901",1,1
"000011007","01",1,1,"64",2,NA,NA,1,1
"000011007","02",2,2,"53",2,NA,NA,1,1
"000011007","03",3,2,"21",1,2,"106",5,4
"000011007","04",3,1,"16",1,2,"106",1,4
"000011008","01",1,1,"31",1,2,"214",1,1
"000011008","02",2,2,"22",1,2,"106",5,1
"000011008","03",3,2,"07",1,1,"101",NA,NA
"000011008","04",3,1,"01",NA,NA,NA,NA,NA
"000011009","01",1,1,"65",2,NA,NA,1,1
"000011009","02",2,2,"62",2,NA,NA,5,1
"000011010","01",1,1,"34",1,2,"214",1,1
"000011010","02",2,2,"27",1,2,"106",5,1
"000011010","03",3,1,"09",1,1,"104",NA,NA
"000011010","04",3,2,"07",1,1,"101",NA,NA
"000011011","01",1,1,"48",1,2,"106",1,1
"000011011","02",2,2,"49",2,NA,NA,5,1
"000011011","03",3,1,"28",1,2,"104",1,1
"000011011","04",3,1,"22",1,2,"104",1,4
"000011011","05",3,1,"18",1,2,"106",1,4
"000011011","06",3,2,"14",1,2,"106",5,4
"000011011","07",3,1,"15",1,2,"106",1,4
"000011011","08",3,2,"07",1,1,"101",NA,NA
"000011011","09",4,2,"16",1,2,"106",5,1
"000011012","01",1,2,"62",2,NA,NA,3,2
"000011013","01",1,1,"75",2,NA,NA,3,1
"000011013","02",2,2,"71",2,NA,NA,5,1
"000011014","01",1,1,"54",2,NA,NA,1,1
"000011014","02",2,2,"57",2,NA,NA,5,1
"000011014","03",3,2,"22",1,2,"106",5,4
"000011014","04",3,2,"17",1,2,"106",5,4
"000011014","05",3,2,"26",1,2,"106",5,4
"000011014","06",3,1,"25",1,2,"106",1,4
"000011014","07",3,1,"29",1,2,"106",1,1
"000011014","08",3,2,"08",1,1,"103",NA,NA
"000011014","09",4,2,"21",1,2,"106",5,1
"000011014","10",5,2,"03",NA,NA,NA,NA,NA
"000011014","11",6,1,"82",2,NA,NA,6,2
"000011015","01",1,1,"34",1,2,"106",1,1
"000011015","02",2,2,"29",1,2,"104",5,1
"000011016","01",1,1,"42",2,NA,NA,1,1
"000011016","02",2,2,"40",2,NA,NA,5,1
"000011016","03",3,1,"23",1,2,"214",1,1
"000011016","04",3,2,"14",1,1,"213",4,4
"000011016","05",3,2,"10",1,1,"104",4,4
"000011016","06",4,2,"16",1,2,"106",5,1
"000011016","07",5,2,"00",NA,NA,NA,NA,NA
"000011017","01",1,1,"32",1,2,"106",1,1
"000011017","02",2,2,"32",2,NA,NA,5,1
"000011017","03",3,1,"10",1,1,"104",4,4
"000011017","04",3,2,"03",NA,NA,NA,NA,NA
"000011017","05",3,1,"01",NA,NA,NA,NA,NA
"000011018","01",1,1,"40",1,2,"106",1,1
"000011018","02",2,2,"33",1,2,"104",5,1
"000011018","03",3,2,"14",1,1,"311",4,1
"000011018","04",3,2,"12",1,1,"212",4,4
"000011018","05",3,1,"11",1,1,"104",4,4
"000011018","06",3,1,"04",NA,NA,NA,NA,NA
"000011018","07",6,1,"83",2,NA,NA,6,1
"000011018","08",6,2,"75",2,NA,NA,6,1
"000011019","01",1,1,"74",2,NA,NA,1,1
"000011019","02",2,2,"63",2,NA,NA,5,1
"000011019","03",3,2,"25",1,2,"106",5,3
"000011020","01",1,1,"33",1,2,"106",1,1
"000011020","02",2,2,"31",1,2,"104",5,1
"000011021","01",1,1,"48",2,NA,NA,1,1
"000011021","02",2,2,"45",2,NA,NA,5,1
"000011021","03",3,1,"14",1,1,"311",4,4
"000011021","04",6,2,"70",2,NA,NA,5,2
"000011022","01",1,1,"24",1,1,"511",1,4
"000011022","02",6,1,"45",2,NA,NA,6,1
"000011022","03",6,2,"42",2,NA,NA,5,1
"000011022","04",7,1,"17",1,1,"312",4,4
"000011023","01",1,1,"43",1,2,"106",1,1
"000011023","02",2,2,"31",1,2,"214",5,1
"000011023","03",3,2,"11",1,1,"106",4,4
"000011023","04",3,2,"07",1,1,"101",NA,NA
"000011024","01",1,2,"49",1,2,"106",3,2
"000011024","02",3,1,"27",1,2,"106",2,4
"000011024","03",3,1,"24",1,2,"313",1,4
"000011025","01",1,1,"48",1,2,"106",1,1
"000011025","02",2,2,"39",2,NA,NA,5,1
"000011025","03",3,1,"19",1,2,"313",1,4
"000011025","04",3,2,"18",1,2,"214",5,4
"000011025","05",3,1,"12",1,1,"211",4,4
"000011025","06",3,2,"10",1,1,"104",4,4
"000011025","07",6,2,"73",2,NA,NA,5,2
"000011026","01",1,2,"76",2,NA,NA,3,2
"000011027","01",1,1,"46",2,NA,NA,1,1
"000011027","02",2,2,"42",2,NA,NA,1,1
"000011027","03",3,2,"14",1,2,"106",5,4
"000011027","04",3,1,"11",1,1,"105",4,4
"000011027","05",3,1,"07",1,1,"101",NA,NA
"000011028","01",1,1,"44",1,2,"106",1,1
"000011028","02",2,2,"42",2,NA,NA,5,1
"000011028","03",3,1,"24",1,2,"315",1,1
"000011028","04",3,1,"14",1,1,"213",4,4
"000011028","05",3,1,"11",1,1,"211",4,4
"000011028","06",4,2,"21",1,2,"106",5,1
"000011029","01",1,1,"27",1,2,"106",1,1
"000011029","02",2,2,"26",1,2,"106",5,1
"000011030","01",1,1,"25",1,2,"214",1,1
"000011030","02",2,2,"25",1,2,"106",5,1
"000011030","03",3,2,"03",NA,NA,NA,NA,NA
"000011031","01",1,2,"72",2,NA,NA,3,2
"000011031","02",3,2,"35",2,NA,NA,5,4
"000011032","01",1,1,"36",2,NA,NA,1,1
"000011032","02",2,2,"36",2,NA,NA,5,1
"000011032","03",3,1,"17",1,2,"106",1,4
"000011032","04",3,1,"13",1,1,"211",4,4
"000011032","05",3,1,"08",1,1,"102",NA,NA
"000011033","01",1,1,"58",1,2,"901",1,1
"000011033","02",2,2,"57",2,NA,NA,1,1
"000011033","03",3,1,"14",1,1,"311",4,4
"000011033","04",3,1,"12",1,1,"211",4,4
"000011033","05",3,1,"23",1,2,"313",1,4
"000011033","06",6,2,"80",2,NA,NA,3,2
"000011034","01",1,1,"85",2,NA,NA,3,1
"000011034","02",2,2,"76",2,NA,NA,5,1
"000011035","01",1,2,"73",2,NA,NA,3,2
"000011036","01",1,1,"62",1,2,"901",1,2
"000011036","02",3,1,"27",1,2,"214",1,1
"000011036","03",3,2,"22",1,2,"106",5,4
"000011036","04",3,1,"14",1,1,"212",4,4
"000011037","01",1,1,"73",2,NA,NA,1,1
"000011037","02",2,2,"53",2,NA,NA,5,1
"000011037","03",3,1,"25",1,2,"522",1,4
"000011037","04",3,2,"14",1,1,"214",4,4
"000011038","01",1,1,"63",1,2,"107",1,1
"000011038","02",2,2,"35",1,2,"106",1,1
"000011038","03",3,1,"24",1,2,"313",1,4
"000011038","04",3,1,"20",1,2,"106",1,4
"000011038","05",3,2,"07",1,1,"101",NA,NA
"000011038","06",3,2,"07",1,1,"101",NA,NA
"000011038","07",3,2,"04",NA,NA,NA,NA,NA
"000011039","01",1,1,"52",1,2,"106",1,1
"000011039","02",2,2,"52",1,2,"107",1,1
"000011039","03",3,1,"33",1,2,"512",1,4
"000011039","04",3,2,"24",1,2,"322",2,4
"000011040","01",1,1,"30",1,2,"317",1,1
"000011040","02",2,2,"27",1,2,"214",5,1
"000011041","01",1,1,"32",2,NA,NA,1,1
"000011041","02",2,2,"27",1,2,"106",1,1
"000011041","03",3,2,"09",1,1,"103",NA,NA
"000011041","04",3,2,"08",1,1,"102",NA,NA
"000011041","05",3,2,"01",NA,NA,NA,NA,NA
"000011042","01",1,2,"68",2,NA,NA,3,2
"000011042","02",3,2,"37",2,NA,NA,3,4
"000011043","01",1,1,"53",2,NA,NA,1,4
"000011043","02",6,2,"77",2,NA,NA,3,2
"000011043","03",7,2,"31",1,2,"106",3,4
"000011044","01",1,2,"27",1,2,"103",3,3
"000011044","02",3,1,"03",NA,NA,NA,NA,NA
"000011044","03",3,2,"02",NA,NA,NA,NA,NA
"000011045","01",1,1,"53",1,2,"106",1,1
"000011045","02",2,2,"53",1,2,"106",5,1
"000011045","03",3,1,"17",1,2,"106",2,1
"000011046","01",1,2,"63",2,NA,NA,3,2
"000011047","01",1,2,"60",2,NA,NA,3,4
"000011048","01",1,1,"38",1,2,"214",1,1
"000011048","02",2,2,"36",1,2,"106",5,1
"000011048","03",3,2,"14",1,1,"311",4,4
"000011048","04",3,2,"07",1,1,"101",NA,NA
"000011049","01",1,1,"34",1,2,"106",1,1
"000011049","02",2,2,"30",1,2,"106",5,1
"000011049","03",3,1,"14",1,1,"213",4,4
"000011049","04",3,1,"05",NA,NA,NA,NA,NA
"000011050","01",1,1,"26",1,2,"106",2,1
"000011050","02",2,2,"22",1,2,"313",5,1
"000011051","01",1,1,"69",2,NA,NA,1,1
"000011051","02",2,2,"59",2,NA,NA,5,1
"000011051","03",7,2,"73",2,NA,NA,6,2
"000011052","01",1,1,"58",1,2,"214",1,1
"000011052","02",2,2,"46",2,NA,NA,5,1
"000011052","03",3,2,"11",1,1,"105",4,4
"000011052","04",3,1,"07",1,1,"101",NA,NA
"000011053","01",1,2,"70",2,NA,NA,1,2
"000011054","01",1,1,"72",2,NA,NA,6,1
"000011054","02",2,2,"74",2,NA,NA,5,1
"000011054","03",3,2,"42",2,NA,NA,1,4
"000011054","04",3,2,"38",2,NA,NA,1,4
"000011054","05",3,2,"33",1,2,"106",1,4
"000011054","06",3,2,"28",1,2,"214",1,4
"000011054","07",3,2,"26",1,2,"214",1,4
"000011055","01",1,1,"73",2,NA,NA,1,1
"000011055","02",2,2,"68",2,NA,NA,5,1
"000011056","01",1,1,"75",2,NA,NA,3,1
"000011056","02",2,2,"75",2,NA,NA,5,1
"000011057","01",1,1,"38",1,2,"106",1,1
"000011057","02",2,2,"36",1,2,"103",1,1
"000011057","03",3,1,"17",1,1,"312",4,4
"000011057","04",3,1,"12",1,1,"212",4,4
"000011057","05",3,2,"05",NA,NA,NA,NA,NA
"000011058","01",1,1,"75",2,NA,NA,1,1
"000011058","02",2,2,"55",2,NA,NA,1,1
"000011058","03",3,2,"40",2,NA,NA,1,4
"000011058","04",3,2,"24",1,2,"106",1,4
"000011058","05",3,2,"19",1,2,"106",1,4
"000011058","06",3,2,"16",1,2,"106",1,4
"000011058","07",3,2,"12",1,1,"212",4,4
"000011059","01",1,1,"95",2,NA,NA,3,2
"000011060","01",1,1,"35",1,2,"106",1,1
"000011060","02",2,2,"32",2,NA,NA,1,1
"000011060","03",3,1,"14",1,1,"213",4,4
"000011060","04",3,2,"11",1,1,"211",4,4
"000011061","01",1,1,"85",2,NA,NA,3,1
"000011061","02",2,2,"77",2,NA,NA,5,1
"000011062","01",1,1,"29",1,2,"214",1,1
"000011062","02",2,2,"18",1,2,"214",5,1
"000011062","03",6,2,"52",2,NA,NA,5,2
"000011062","04",7,2,"34",1,2,"107",5,4
"000011062","05",7,1,"27",1,2,"107",1,4
"000011062","06",7,1,"23",1,2,"214",1,4
"000011062","07",7,1,"19",1,2,"214",1,4
"000011062","08",7,1,"18",1,1,"213",4,4
"000011062","09",7,2,"15",1,1,"213",4,4
"000011063","01",1,1,"63",2,NA,NA,1,1
"000011063","02",2,2,"55",2,NA,NA,1,1
"000011063","03",3,2,"17",1,1,"312",4,4
