"ADDRESS","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10","DYCOL11","DYCOL12","DYCOL13","DYCOL14","DYCOL15","DYCOL16","DYCOL17","DYCOL18","DYCOL19","DYCOL20","DYCOL21","DYCOL22","DYCOL23","DYCOL24","DYCOL25","DYCOL26","DYCOL27","DYCOL28","DYCOL29","DYCOL30","DYCOL31","DYCOL32","DYCOL33","DYCOL34","DYCOL35","DYCOL36","DYCOL37","DYCOL38","DYCOL39","DYCOL40","DYCOL41","DYCOL42","DYCOL43","DYCOL44","DYCOL45","DYCOL46","DYCOL47","DYCOL48","DYCOL49","DYCOL50","DYCOL51","DYCOL52","DYCOL53","DYCOL54","DYCOL55"
"000091194",6,"01","013",3,"01",NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"01","02",NA,NA,NA,"06",NA,NA,NA,NA,NA,NA,"03","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"000011028",1,"03","075",3,"06",NA,1,NA,NA,1,NA,1,1,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,"01","02",NA,"04",NA,"06","07",NA,NA,NA,NA,NA,"03","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000061149",1,"02","035",3,"06",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,1,1,NA,NA,NA,NA,"01","02",NA,"04",NA,NA,NA,NA,NA,NA,NA,NA,"03","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000061147",1,"03","060",3,"06",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,1,1,NA,NA,NA,NA,"01","02",NA,"04",NA,NA,"07",NA,NA,NA,NA,NA,"03","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000031088",1,"03","040",3,"06",NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,"01","02",NA,NA,NA,"06","07",NA,NA,NA,NA,NA,"03","09",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"000011012",6,"01","011",3,"06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01","02",NA,NA,NA,"06",NA,NA,NA,NA,NA,NA,"01","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000041101",1,"02","060",3,"06",1,NA,NA,NA,1,NA,1,1,NA,1,1,1,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,"02",NA,NA,NA,"06","07",NA,NA,NA,NA,NA,"03","09",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"000031087",1,"03","040",3,"06",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01","02",NA,NA,NA,"06","07",NA,NA,NA,NA,NA,"03","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000011014",1,"03","050",3,"06",NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"01","02",NA,"04",NA,"06","07",NA,NA,NA,NA,NA,"03","09",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"000061121",1,"03","110",3,"01",1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,"01","02","03","04",NA,"06","07","08",NA,NA,NA,NA,"03","11",NA,2,NA,2,NA,2,NA,NA,NA,NA,1,NA,NA,NA
"000011029",1,"03","060",3,"06",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,"01","02",NA,"04",NA,"06","07",NA,NA,NA,NA,NA,"03","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000061150",1,"03","090",3,"01",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,"01","02",NA,"04",NA,"06","07",NA,NA,NA,NA,NA,"03","09",NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
