"ADDRESS","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06"
"000061122","022111",1,NA,"00600","0000000150","0000090000"
"000011008","022113",1,NA,"00400","0000000150","0000060000"
"000091193","022111",1,NA,"00600","0000000100","0000060000"
"000041115","022111",1,NA,"00600","0000000100","0000060000"
"000041115","023111",1,NA,NA,NA,"0000200000"
"000061147","022113",1,NA,"00200","0000000150","0000030000"
"000071176","022112",1,NA,"00600","0000000138","0000082800"
"000091194","022111",1,NA,"00300","0000000125","0000037500"
"000041101","022111",1,NA,"00600","0000000125","0000075000"
"000011022","022111",7,NA,"01200","0000000100","0000120000"
"000071156","022111",1,NA,"00060","0000000117","0000007020"
"000071177","022112",1,NA,"00600","0000000125","0000075000"
"000031089","022111",1,NA,"00600","0000000125","0000075000"
"000041102","022111",1,NA,"00090","0000000120","0000010800"
"000011050","022111",1,NA,"00300","0000000150","0000045000"
"000011016","022112",1,NA,"00600","0000000125","0000075000"
"000011001","022112",1,NA,"00600","0000000125","0000075000"
"000011003","022111",1,NA,"00200","0000000150","0000030000"
"000011064","022111",1,NA,"00600","0000000167","0000100200"
"000031087","022112",1,NA,"00070","0000000200","0000014000"
"000041103","022112",1,NA,"01200","0000000100","0000120000"
"000061141","022111",1,NA,"00135","0000000200","0000027000"
"000011033","022111",1,NA,"00600","0000000145","0000087000"
"000041108","022111",1,NA,"01200","0000000125","0000150000"
"000041108","022113",1,NA,"00400","0000000150","0000060000"
"000041110","022112",1,NA,"00600","0000000150","0000090000"
"000011018","022113",1,NA,"01200","0000000190","0000228000"
"000011002","022113",1,NA,"00600","0000000185","0000111000"
"000041107","022111",1,NA,"00800","0000000075","0000060000"
"000071181","022112",1,NA,"00600","0000000175","0000105000"
"000071183","022111",1,NA,"00100","0000000120","0000012000"
"000021071","022111",1,NA,"00080","0000000150","0000012000"
"000011020","022113",1,NA,"00090","0000000175","0000015750"
"000041097","022113",1,NA,"00600","0000000200","0000120000"
"000041109","022111",1,NA,"00600","0000000155","0000093000"
"000041109","022113",1,NA,"00400","0000000235","0000094000"
"000011069","022111",1,NA,"00600","0000000100","0000060000"
"000011015","022111",1,NA,"00600","0000000138","0000082800"
"000061129","022113",1,NA,"00120","0000000235","0000028200"
"000011021","022113",1,NA,"00600","0000000200","0000120000"
"000071154","022111",1,NA,"00900","0000000185","0000166500"
"000071173","022113",1,NA,"00600","0000000250","0000150000"
"000021072","022111",1,NA,"00600","0000000125","0000075000"
"000031078","022113",1,NA,"00060","0000000175","0000010500"
"000011023","022113",1,NA,"00300","0000000125","0000037500"
"000011066","022111",1,NA,"01800","0000000120","0000216000"
"000061124","022111",1,NA,"00300","0000000150","0000045000"
"000071168","022111",1,NA,"00090","0000000155","0000013950"
"000041095","022111",1,NA,"00090","0000000147","0000013230"
"000071174","022111",1,NA,"00800","0000000150","0000120000"
"000041093","022112",1,NA,"00450","0000000150","0000067500"
"000041093","022113",1,NA,"00300","0000000246","0000073800"
"000041093","023111",1,NA,NA,NA,"0000120000"
"000011068","022111",1,NA,"00150","0000000100","0000015000"
"000011057","022111",1,NA,"00260","0000000100","0000026000"
"000011043","022111",1,NA,"00300","0000000125","0000037500"
"000041092","022111",1,NA,"00600","0000000100","0000060000"
"000071165","022111",1,NA,"00200","0000000150","0000030000"
"000071166","022113",1,NA,"00300","0000000225","0000067500"
"000071163","022111",1,NA,"00300","0000000100","0000030000"
"000011025","022111",1,NA,"00600","0000000100","0000060000"
"000011032","022111",1,NA,"00600","0000000150","0000090000"
"000011037","022111",1,NA,"01200","0000000120","0000144000"
