"ADDRESS","DYCOL01","DYCOL02","DYCOL03","DYCOL04"
"000041107",34170,1,"0000150000",NA
"000031080",33258,1,"0003000000",NA
"000031076",33258,1,"0000500000",NA
"000031079",33258,8,"0000750000",NA
"000071182",34148,1,"0010000000",NA
"000071183",33112,1,"0012000000",NA
"000041091",33190,1,"0005000000",NA
"000011057",34170,1,"0000060000",NA
"000011058",34170,1,"0000070000",NA
"000011056",34170,1,"0000070000",NA
"000011032",33258,1,"0002800000",NA
"000041109",33112,1,"0080000000",NA
"000071167",34170,1,"0000160000",NA
"000011003",34170,1,"0000200000",NA
"000031078",33258,1,"0003000000",NA
"000051118",34170,1,"0000070000",NA
"000041097",33112,1,"0090000000",NA
"000051120",33214,1,"0001200000",NA
"000051120",33258,1,"0002000000",NA
"000051120",34170,1,"0000073600",NA
"000041104",34170,1,"0000200000",NA
"000011069",33190,1,"0010000000",NA
"000011069",34192,1,"0020000000",NA
"000061129",33134,1,"0100000000",NA
"000061129",33258,1,"0004000000",NA
"000061129",34170,1,"0000150000",NA
"000051116",33258,1,"0003000000",NA
"000011021",33258,1,"0002700000",NA
"000011066",33112,1,"0060000000",NA
"000071154",33190,1,"0030000000",NA
"000051119",34127,1,"0001200000",NA
"000051119",34170,1,"0000075000",NA
"000071174",34181,1,"0030000000",NA
"000031081",33145,1,"0030000000",NA
"000091191",34170,1,"0000080000",NA
"000091191",34192,1,"0015000000",NA
"000091191",34228,1,"0001850000",NA
"000091191",34239,1,"0000250000",NA
"000091192",34239,1,"0000320000",NA
"000091193",34170,1,"0000050000",NA
"000061149",34170,1,"0000020000",NA
"000061147",34170,1,"0000150000",NA
"000011023",33258,1,"0001340000",NA
"000061150",34170,1,"0000140000",NA
"000071176",34170,1,"0000030000",NA
"000071178",34170,1,"0000050000",NA
"000071179",34170,1,"0000060000",NA
"000091194",34115,1,"0012000000",NA
"000061150",34181,1,"0012000000",NA
"000011024",33258,1,"0002000000",NA
"000011065",34181,1,"0010000000",NA
"000011019",33190,1,"0004000000",NA
"000011062",34170,1,"0000075000",NA
"000011062",34239,1,"0000060000",NA
"000011033",34148,1,"0007000000",NA
"000041105",34170,1,"0000500000",NA
"000061148",34170,1,"0000160000",NA
"000041108",34170,1,"0000350000",NA
"000041110",34170,1,"0000240000",NA
"000011018",33112,1,"0100000000",NA
"000011018",34170,1,"0000100000",NA
"000011002",33134,1,"0060000000",NA
"000031090",34228,1,"0000700000",NA
"000011007",34181,1,"0006000000",NA
"000011032",34239,1,"0000370000",NA
"000011054",33258,1,"0000500000",NA
"000051119",34239,1,"0000120000",NA
"000061128",33112,1,"0250000000",NA
"000061130",33258,1,"0002450000",NA
"000061130",34170,1,"0000350000",NA
"000061141",33258,1,"0003050000",NA
"000061142",33258,1,"0002750000",NA
"000061144",33190,1,"0024000000",NA
"000061144",33258,1,"0004000000",NA
"000061144",34192,1,"0004000000",NA
"000071152",34192,1,"0070000000",NA
"000071152",34239,1,"0000038000",NA
"000071166",34170,1,"0000180000",NA
"000071180",34170,1,"0000060000",NA
"000011052",33258,NA,"0000500000",NA
"000011022",33258,2,"0002200000",NA
"000071153",34148,1,"0025000000",NA
"000011067",33190,1,"0003000000",NA
"000011010",34192,1,"0002800000",NA
"000011010",34228,1,"0000600000",NA
"000061143",33258,1,"0004000000",NA
"000061143",34170,1,"0000200000",NA
"000061143",34181,1,"0030000000",NA
"000072155",34170,1,"0000025000",NA
"000072151",34170,1,"0000050000",NA
"000012035",33190,1,"0003500000",NA
"000052115",33190,1,"0010000000",NA
"000062129",33190,1,"0005000000",NA
"000062129",33225,1,"0000650000",NA
"000062129",33236,1,"0001400000",NA
"000072182",34181,1,"0004000000",NA
"000072185",33258,1,"0001900000",NA
"000072185",33316,1,"0035000000",NA
"000012055",33190,1,"0010000000",NA
"000012004",34127,1,"0000660000",NA
"000072183",33112,1,"0025000000",NA
"000072167",34148,1,"0008500000",NA
"000072167",34192,1,"0000750000",NA
"000062149",33236,1,"0001430000",NA
"000062147",33214,1,"0001400000",NA
"000012009",33258,1,"0003300000",NA
"000012010",33214,1,"0001000000",NA
"000012041",33214,1,"0003500000",NA
"000062138",33112,1,"0200000000",NA
"000062138",33214,1,"0000900000",NA
"000022074",34170,1,"0000120000",NA
"000062128",33214,1,"0000750000",NA
"000012007",33258,1,"0004750000",NA
"000012031",33214,1,"0001450000",NA
"000072152",34170,1,"0000025000",NA
"000062126",33190,1,"0003000000",NA
"000072170",33190,1,"0010000000",NA
"000072176",33190,1,"0003500000",NA
"000072180",33190,1,"0005000000",NA
"000012010",33258,1,"0002800000",NA
"000032080",33214,1,"0000400000",NA
"000022071",33190,1,"0012000000",NA
"000062122",33214,1,"0001500000",NA
"000062128",33429,1,"0000650000",NA
"000062129",33258,1,"0002000000",NA
"000072153",34170,1,"0000025000",NA
"000072185",34170,1,"0000150000",NA
"000012006",33258,1,"0002140000",NA
"000012038",33190,1,"0002400000",NA
"000062130",33190,1,"0002500000",NA
"000032086",34192,1,"0023000000",NA
"000072154",34170,1,"0000025000",NA
"000072170",34148,1,"0006000000",NA
"000012051",34170,1,"0005000000",NA
"000023072",33258,1,"0002850000",NA
"000023071",33214,1,"0002100000",NA
"000023071",33258,1,"0001850000",NA
"000073186",33112,1,"0030000000",NA
"000073164",33258,1,"0004000000",NA
"000023075",33258,1,"0004850000",NA
"000073166",33112,1,"0005000000",NA
"000013007",33190,1,"0010000000",NA
"000013032",33189,1,"0010000000",NA
"000013036",33225,1,"0000603000",NA
"000033080",33214,1,"0001200000",NA
"000033080",34115,1,"0006800000",NA
"000033081",33112,1,"0040000000",NA
"000033081",33123,1,"0001000000",NA
"000073165",33258,1,"0003800000",NA
"000073165",34181,1,"0030000000",NA
"000073181",33190,1,"0015000000",NA
"000063119",34148,1,"0005000000",NA
"000073161",33258,1,"0001100000",NA
"000073162",33258,1,"0000870000",NA
"000073177",34170,1,"0000080000",NA
"000063121",33236,1,"0002700000",NA
"000063121",34170,1,"0000100000",NA
"000063125",34170,1,"0000185000",NA
"000043097",33112,1,"0040000000",NA
"000043097",33145,NA,NA,"0030000000"
"000043108",33190,1,"0003500000",NA
"000023074",33258,1,"0001380000",NA
"000043097",33258,1,"0003900000",NA
"000013029",33190,1,"0022000000",NA
"000013002",33190,1,"0006500000",NA
"000043098",33258,1,"0003000000",NA
"000013029",34115,1,"0055000000",NA
"000073176",33316,1,"0002000000",NA
"000013002",33214,1,"0001100000",NA
"000013056",33112,1,"0050000000",NA
"000013026",33190,1,"0006500000",NA
"000013059",33112,1,"0070000000",NA
"000043110",33190,1,"0025000000",NA
"000044099",33258,1,"0001500000",NA
"000014010",33214,1,"0001500000",NA
"000014036",33258,1,"0003000000",NA
"000074171",33112,1,"0050000000",NA
"000074171",33190,1,"0004000000",NA
"000014008",33214,1,"0001150000",NA
"000014008",34148,1,"0008000000",NA
"000014038",33258,1,"0001500000",NA
"000014016",33258,1,"2300000",NA
