"ADDRESS","DYCOL01","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08"
"000062148","01",NA,NA,NA,"0003240000",NA,"0001800000"
"000062149","01","0019980000",NA,NA,NA,NA,NA
"000062150","01",NA,"0005000000",NA,"0003530000",NA,NA
"000063116","01",NA,"0006500000",NA,"0002400000",NA,NA
"000063119","01",NA,NA,NA,"0003000000",NA,"0000600000"
"000063120","01",NA,NA,NA,"0007200000",NA,NA
"000063121","01",NA,"0004500000",NA,NA,NA,NA
"000063122","01",NA,"0001800000",NA,"0002500000",NA,"0000800000"
"000063123","01",NA,"0023000000",NA,NA,NA,NA
"000063125","01","0018500000",NA,NA,NA,NA,NA
"000063130","01","0021900000",NA,NA,NA,NA,NA
"000063138","01",NA,NA,NA,"0002600000",NA,NA
"000063141","01","0018500000",NA,NA,NA,NA,NA
"000063142","01",NA,NA,NA,"0004400000",NA,NA
"000063143","01",NA,NA,NA,"0004800000",NA,NA
"000063144","01",NA,NA,NA,"0003400000",NA,"0002000000"
"000063145","01",NA,NA,NA,"0003000000",NA,"0002000000"
"000063146","01",NA,NA,NA,"0002500000",NA,NA
"000063147","01",NA,NA,NA,"0002700000",NA,"0001500000"
"000063148","01",NA,NA,NA,"0002600000",NA,NA
"000063149","01",NA,NA,NA,"0003350000",NA,"0003000000"
"000064116","01",NA,NA,NA,"0007000000",NA,NA
"000064118","05",NA,NA,NA,"0002500000",NA,NA
"000064125","01",NA,"0028800000",NA,NA,NA,NA
"000064126","01",NA,NA,NA,NA,NA,"0006000000"
"000064127","01",NA,"0000200000",NA,"0005000000",NA,NA
"000064128","01","0014350000",NA,NA,NA,NA,NA
"000064131","01",NA,"0001000000",NA,NA,NA,NA
"000064136","01",NA,NA,NA,"0002400000",NA,NA
"000064137","01",NA,NA,NA,NA,NA,"0002000000"
"000064138","01","0018000000",NA,NA,NA,NA,NA
"000064141","01",NA,NA,NA,NA,"0002200000","0000850000"
"000064142","01",NA,NA,NA,NA,"0002500000",NA
"000064143","01",NA,NA,NA,"0002400000",NA,NA
"000064146","01",NA,NA,NA,NA,NA,"0008500000"
"000064147","01",NA,NA,NA,"0003800000",NA,NA
"000064148","01",NA,"0001000000",NA,NA,NA,"0009000000"
"000064149","01","0024854000",NA,NA,NA,NA,NA
"000064150","04",NA,NA,NA,"0003420000",NA,NA
"000071151","03",NA,NA,NA,NA,"0000450000",NA
"000071153","01",NA,NA,NA,"0006400000",NA,NA
"000071155","01",NA,NA,NA,"0004500000",NA,NA
"000071156","03",NA,NA,NA,"0002300000",NA,NA
"000071159","01",NA,NA,NA,"0020000000",NA,NA
"000071160","01",NA,NA,NA,"0005100000",NA,NA
"000071161","01",NA,NA,NA,"0002700000","0000025000",NA
"000071162","01","0021000000","0007200000",NA,NA,NA,NA
"000071165","01","0016500000",NA,NA,NA,NA,NA
"000071170","01",NA,"0007000000",NA,"0003550000",NA,NA
"000011002","01",NA,"0002500000",NA,NA,NA,NA
"000011005","01",NA,NA,NA,NA,NA,"0004000000"
"000011007","01",NA,NA,NA,"0002800000",NA,NA
"000011009","01",NA,NA,NA,NA,"0000300000",NA
"000011012","01",NA,NA,NA,"0003420000",NA,"0000800000"
"000011013","01",NA,NA,NA,NA,NA,"0004000000"
"000011016","01",NA,NA,NA,"0009500000",NA,NA
"000011024","01","0025500000",NA,NA,NA,NA,NA
"000011026","01",NA,NA,NA,NA,NA,"0000600000"
"000011027","01",NA,NA,"0008400000",NA,NA,NA
"000011031","01",NA,NA,NA,"0003300000",NA,"0000600000"
"000011033","01",NA,NA,NA,"0022500000",NA,NA
"000011033","06",NA,NA,NA,"0003000000",NA,NA
"000011034","01",NA,NA,NA,"0016750000",NA,NA
"000011035","01",NA,"0000720000",NA,"0002750000",NA,NA
"000011042","01",NA,NA,NA,"0002500000",NA,NA
"000011042","02",NA,NA,NA,"0001200000",NA,NA
"000011043","01",NA,NA,NA,"0001200000",NA,NA
"000011043","02",NA,NA,NA,"0002000000",NA,NA
"000011043","03",NA,NA,NA,"0002000000",NA,NA
