"ADDRESS","DYCOL01","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10"
100012026,"03",3,1,"02",NA,NA,NA,NA,NA
100012027,"01",1,1,"34",2,NA,NA,1,1
100012027,"02",2,2,"36",1,2,"106",5,1
100012027,"03",3,2,"14",1,1,"311",4,4
100012027,"04",3,1,"12",1,1,"211",4,4
100012028,"01",1,1,"28",1,2,"313",1,1
100012028,"02",2,2,"19",2,NA,NA,5,1
100012029,"01",1,1,"30",1,2,"106",1,1
100012029,"02",2,2,"24",1,2,"106",5,1
100012029,"03",3,1,"04",NA,NA,NA,NA,NA
100012030,"01",1,1,"39",1,2,"317",1,1
100012030,"02",2,2,"34",1,2,"317",5,1
100012030,"03",3,1,"13",1,1,"211",4,4
100012030,"04",3,1,"07",1,1,"101",NA,NA
100012031,"01",1,1,"33",1,2,"106",1,1
100012031,"02",2,2,"32",2,NA,NA,5,1
100012031,"03",3,2,"13",1,1,"212",4,4
100012031,"04",3,1,"12",1,1,"105",4,4
100012031,"05",3,2,"08",1,1,"102",NA,NA
100012032,"01",1,1,"28",1,2,"106",1,1
100012032,"02",2,2,"27",1,2,"106",5,1
100012032,"03",3,2,"04",NA,NA,NA,NA,NA
100012033,"01",1,1,"55",1,2,"106",1,1
100012033,"02",2,2,"46",2,NA,NA,5,1
100012033,"03",3,2,"21",1,1,"314",4,4
100012033,"04",3,1,"17",1,1,"313",4,4
100012034,"01",1,1,"34",1,2,"106",1,1
100012034,"02",2,2,"27",1,2,"214",5,1
100012034,"03",3,2,"01",NA,NA,NA,NA,NA
100012035,"01",1,1,"51",1,2,"901",1,1
100012035,"02",2,2,"48",2,NA,NA,5,1
100012035,"03",3,2,"25",1,2,"214",5,4
100012035,"04",3,1,"22",1,2,"106",2,4
100012035,"05",3,1,"16",1,2,"106",2,4
100012036,"01",1,1,"31",1,2,"313",1,1
100012036,"02",2,2,"23",1,2,"324",5,1
100012037,"01",1,1,"27",1,2,"214",1,1
100012037,"02",2,2,"26",1,2,"512",1,1
100012037,"03",3,2,"00",NA,NA,NA,NA,NA
100012038,"01",1,1,"43",2,NA,NA,1,1
100012038,"02",2,2,"40",1,2,"106",5,1
100012038,"03",3,1,"20",1,1,"313",4,4
100012038,"04",3,1,"19",1,2,"314",6,4
100012038,"05",3,1,"15",1,1,"213",4,4
100012039,"01",1,1,"30",1,2,"512",1,1
100012039,"02",2,2,"20",1,2,"313",5,1
100012039,"03",3,2,"01",NA,NA,NA,NA,NA
100012040,"01",1,1,"24",1,2,"322",1,1
100012040,"02",2,2,"20",1,2,"214",5,1
100012040,"03",3,1,"01",NA,NA,NA,NA,NA
100012041,"01",1,1,"33",1,2,"214",1,1
100012041,"02",2,2,"30",1,2,"313",5,1
100012041,"03",3,1,"09",1,1,"103",NA,NA
100012042,"01",1,1,"47",1,2,"106",3,1
100012042,"02",2,2,"41",1,2,"106",5,1
100012042,"03",3,1,"21",1,1,"311",4,4
100012042,"04",3,1,"16",1,1,"323",4,4
100012042,"05",3,2,"13",1,1,"212",4,4
100012043,"01",1,1,"77",2,NA,NA,3,1
100012043,"02",2,2,"76",2,NA,NA,5,1
100012044,"01",1,1,"37",1,2,"214",1,1
100012044,"02",2,2,"31",1,2,"214",5,1
100012044,"03",3,1,"12",1,1,"212",4,4
