"ADDRESS","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06"
100011010,"022112",1,NA,"00150","0000000182","0000027300"
100011037,"022111",1,NA,"00600","0000000150","0000090000"
100011001,"022111",1,NA,"00300","0000000145","0000043500"
100011048,"022112",1,NA,"00300","0000000145","0000043500"
100011002,"022111",1,NA,"00150","0000000175","0000026250"
100061080,"022112",1,NA,"00600","0000000145","0000087000"
100061077,"022113",1,NA,"00300","0000000237","0000071100"
100061079,"022113",1,NA,"00090","0000000225","0000020250"
100011030,"022114",1,NA,"00300","0000000500","0000150000"
100011036,"022111",1,NA,"00600","0000000150","0000090000"
100011038,"022111",1,NA,"00450","0000000118","0000053100"
100041065,"022111",1,NA,"00300","0000000125","0000037500"
100011027,"022113",1,NA,"00300","0000000200","0000060000"
100041063,"022112",1,NA,"00120","0000000157","0000018840"
100011032,"022111",1,NA,"00250","0000000125","0000031250"
100011032,"022113",1,NA,"00200","0000000150","0000030000"
100091093,"022112",1,NA,"01200","0000000125","0000150000"
100061089,"022112",1,NA,"00300","0000000125","0000037500"
100011047,"022113",1,NA,"00600","0000000225","0000135000"
100061081,"022113",1,NA,"00700","0000000225","0000157500"
100061088,"022114",1,NA,"00900","0000000400","0000360000"
100061090,"022111",1,NA,"00600","0000000175","0000105000"
100041060,"022111",1,NA,"01200","0000000163","0000195600"
100011011,"022113",1,NA,"00050","0000000200","0000010000"
100011051,"022113",1,NA,"00200","0000000225","0000045000"
100061075,"022113",1,NA,"00400","0000000150","0000060000"
100061085,"022113",1,NA,"00300","0000000217","0000065100"
100011023,"022111",1,NA,"00060","0000000200","0000012000"
100051067,"022113",1,NA,"01200","0000000450","0000540000"
100052065,"022111",1,NA,"00400","0000000125","0000050000"
100052061,"022111",1,NA,"00300","0000000150","0000045000"
100012017,"022113",1,NA,"00620","0000000200","0000124000"
100022054,"022111",1,NA,"00090","0000000175","0000015750"
100012027,"022111",1,NA,"00060","0000000250","0000015000"
100062086,"022113",1,NA,"00600","0000000175","0000105000"
100062072,"022111",1,NA,"00150","0000000200","0000030000"
100012029,"022113",1,NA,"00600","0000000225","0000135000"
100012041,"022112",1,NA,"00300","0000000150","0000045000"
100012045,"022113",1,NA,"00120","0000000500","0000060000"
100012043,"022112",1,NA,"00620","0000000200","0000124000"
100042060,"022112",1,NA,"00300","0000000125","0000037500"
100092094,"022111",1,NA,"00300","0000000165","0000049500"
100092095,"022114",1,NA,"00600","0000000400","0000240000"
100012011,"022114",1,NA,"00200","0000000500","0000100000"
100012014,"022114",1,NA,"00100","0000000500","0000050000"
100012022,"022113",1,NA,"00620","0000000500","0000310000"
100012046,"022111",1,NA,"00062","0000000200","0000012400"
100012047,"022111",1,NA,"00600","0000000200","0000120000"
100012048,"022111",1,NA,"01800","0000000200","0000360000"
100052064,"022111",1,NA,"00130","0000000175","0000022750"
100012026,"022113",1,NA,"00300","0000000250","0000075000"
100052064,"023111",1,NA,NA,NA,"0000350000"
100062068,"022112",1,NA,"01200","0000000150","0000180000"
100062071,"022113",1,NA,"00300","0000000200","0000060000"
100062081,"022111",1,NA,"00600","0000000200","0000120000"
100062083,"022111",1,NA,"00040","0000000200","0000008000"
100013028,"022111",1,NA,"00300","0000000145","0000043500"
100013027,"022113",1,NA,"00300","0000000200","0000060000"
100043056,"022113",1,NA,"00060","0000000250","0000015000"
100013030,"022111",1,NA,"00720","0000000125","0000090000"
100063081,"022111",1,NA,"00300","0000000150","0000045000"
100013026,"022113",1,NA,"00090","0000000225","0000020250"
100063067,"022113",1,NA,"00200","0000000185","0000037000"
100073086,"022111",1,NA,"00300","0000000157","0000047100"
100063076,"022114",1,NA,"00300","0000000400","0000120000"
100013042,"022111",1,NA,"00090","0000000175","0000015750"
100013045,"022111",1,NA,"00300","0000000100","0000030000"
100013037,"022112",1,NA,"00180","0000000175","0000031500"
100063071,"022113",1,NA,"00300","0000000225","0000067500"
100013014,"022114",1,NA,"00180","0000000450","0000081000"
100013036,"022112",1,NA,"00210","0000000125","0000026250"
100013034,"022111",1,NA,"00600","0000000200","0000120000"
100013043,"022112",1,NA,"00600","0000000175","0000105000"
100013046,"022113",1,NA,"00080","0000000250","0000020000"
100013049,"022113",1,NA,"00600","0000000225","0000135000"
100093091,"022111",1,NA,"00080","0000000375","0000030000"
100093093,"022112",1,NA,"00450","0000000145","0000065250"
100013013,"022112",1,NA,"00090","0000000175","0000015750"
100093094,"022112",1,NA,"00800","0000000135","0000108000"
100093094,"023111",1,NA,NA,NA,"0000450000"
100013044,"022114",1,NA,"00300","0000000225","0000067500"
100013041,"022113",1,NA,"00300","0000000225","0000067500"
100013041,"023111",1,NA,NA,NA,"0000120000"
100013031,"022111",1,NA,"00300","0000000200","0000060000"
100014048,"022113",1,NA,"600","0000000250","0000150000"
100014038,"022113",1,NA,"00300","0000000225","0000067500"
100014040,"022113",1,NA,"00060","0000000500","0000030000"
100034051,"022113",1,NA,"00300","0000000200","0000060000"
100034055,"022112",1,NA,"00800","0000000200","0000160000"
100014034,"022113",1,NA,"00150","0000000225","0000033750"
100054061,"022112",1,NA,"00600","0000000175","0000105000"
100064078,"022114",1,NA,"00210","0000000400","0000084000"
100064079,"022113",1,NA,"00600","0000000225","0000135000"
100014047,"022112",1,NA,"00600","0000000250","0000150000"
100014007,"022112",1,NA,"00030","0000000175","0000005250"
100014010,"022112",1,NA,"00600","0000000175","0000105000"
100014025,"022113",1,NA,"01350","0000000225","0000303750"
100054064,"022113",1,NA,"00180","0000000275","0000049500"
100014002,"022111",1,NA,NA,NA,"0000020250"
100014033,"022113",1,NA,NA,NA,"0000072000"
100034054,"022113",1,NA,"00200","0000000500","0000100000"
100044056,"022111",1,NA,"00600","0000000250","0000150000"
100064081,"022112",1,NA,"00400","0000000200","0000080000"
100064072,"022112",1,NA,"00600","0000000125","0000075000"
100014030,"022111",1,NA,"01200","0000000125","0000150000"
100014044,"022113",1,NA,"00600","0000000225","0000135000"
100074087,"022111",1,NA,"00300","0000000150","0000045000"
100044057,"022111",1,NA,"00300","0000000150","0000045000"
100064073,"022112",1,NA,"00600","0000000140","0000084000"
100074090,"022111",1,NA,"00600","0000000175","0000105000"
100014029,"022113",1,NA,"00300","0000000225","0000067500"
100014008,"022112",1,NA,"00300","0000000175","0000052500"
100074086,"022111",1,NA,"00700","0000000175","0000122500"
100014011,"022113",1,NA,"00600","0000000225","0000135000"
101051068,"022113",1,NA,"00200","0000000275","0000055000"
101051030,"022114",1,NA,"00155","0000000400","0000062000"
101101087,"022113",1,NA,"00600","0000000200","0000120000"
101101095,"022113",1,NA,"00600","0000000150","0000090000"
101141103,"022113",1,NA,"00020","0000000750","0000015000"
101101089,"022112",1,NA,"00620","0000000200","0000124000"
101101092,"022113",1,NA,"01200","0000000200","0000240000"
101051064,"022114",1,NA,"00600","0000000250","0000150000"
101051051,"022111",1,NA,"00620","0000000100","0000062000"
101081081,"022112",1,NA,"00450","0000000150","0000067500"
101031020,"022111",1,NA,"01200","0000000100","0000120000"
101051039,"022114",1,NA,"00600","0000000500","0000300000"
101051055,"022113",1,NA,"00620","0000000175","0000108500"
101101093,"022113",1,NA,"00030","0000000500","0000015000"
101051060,"022113",1,NA,"01200","0000000400","0000480000"
101061072,"022114",1,NA,"00510","0000000500","0000255000"
101021006,"022113",1,NA,"00020","0000000400","0000008000"
101031019,"022112",1,NA,"00620","0000000175","0000108500"
101041024,"022113",1,NA,"00600","0000000350","0000210000"
101071078,"022113",1,NA,"00060","0000000400","0000024000"
101011005,"022112",1,NA,"00600","0000000175","0000105000"
101051050,"022113",1,NA,"00620","0000000400","0000248000"
101051063,"022113",1,NA,"00150","0000000400","0000060000"
101051066,"022113",1,NA,"00600","0000000200","0000120000"
101141104,"022113",1,NA,"00020","0000000450","0000009000"
101081085,"022114",1,NA,"00620","0000000375","0000232500"
101051054,"022114",1,NA,"00620","0000000350","0000217000"
101011003,"022114",1,NA,"00600","0000000500","0000300000"
101051053,"022113",1,NA,"00310","0000000175","0000054250"
101051036,"022113",1,NA,"00150","0000000400","0000060000"
101102093,"022114",1,NA,"00120","0000000500","0000060000"
101052063,"022112",1,NA,"00300","0000000200","0000060000"
101072078,"022114",1,NA,"00080","0000000250","0000020000"
101052034,"022114",1,NA,"00620","0000000375","0000232500"
101032016,"022113",1,NA,"00400","0000000200","0000080000"
101052023,"022112",1,NA,"00120","0000000250","0000030000"
101052048,"022113",1,NA,"00150","0000000500","0000075000"
101052032,"021111",1,NA,"00003","0000096000","0000288000"
101052032,"022114",1,NA,"00620","0000000375","0000232500"
