"ADDRESS","DYCOL01","DYCOL02","DYCOL03","DYCOL04"
100011047,33134,1,"0260000000","0230000000"
100011047,33156,1,"0005000000",NA
100041057,33112,1,"0030000000",NA
100041057,33258,NA,"0001600000",NA
100061080,33190,1,"0070000000",NA
100011054,33112,1,"0032000000",NA
100011024,33190,1,"0041000000",NA
100011050,33134,1,"0400000000","0200000000"
100011050,33145,1,"0230000000","0170000000"
100011050,33190,1,"0018000000",NA
100011005,33258,1,"0002500000",NA
100011021,33214,1,"0001800000",NA
100011049,33112,1,"0023000000",NA
100011028,33112,1,"0050000000",NA
100011051,33214,1,"0001900000",NA
100061071,33112,1,"0170000000",NA
100061074,33190,1,"0100000000",NA
100061075,33190,1,"0004000000",NA
100061088,33214,1,"0000800000",NA
100022053,33190,1,"0005000000",NA
100062078,33145,1,"0021600000",NA
100062078,33214,1,"0000080000",NA
100062080,33393,1,"0020000000",NA
100062073,33247,1,"0000130000",NA
100092092,33214,1,"0001350000",NA
100013007,33338,1,"0110000000",NA
100013036,33214,1,"0002300000",NA
100013029,33393,1,"0120000000",NA
100013044,33134,1,"0115000000",NA
100063084,33214,1,"0001400000",NA
100094092,34192,NA,NA,"0016000000"
100014036,33338,1,"0060000000",NA
100014037,33190,1,"0007570000",NA
100014018,33316,1,"0070000000",NA
100014023,33316,1,"0035000000",NA
100034054,33214,1,"0001200000",NA
100034052,33190,1,"0026000000",NA
100034052,33214,1,"0002200000",NA
100044059,33214,1,"0001200000",NA
101021008,33214,1,"0000160000",NA
101031011,33236,1,"0002200000",NA
101101092,33190,1,"0002500000",NA
101081085,33134,1,"0243000000",NA
101081085,33156,1,"0001000000",NA
101081085,33225,1,"0000020000",NA
101111100,33236,1,"0002000000",NA
101111100,33440,1,"0002000000",NA
101101091,33225,1,"0000050000",NA
101101091,33236,1,"0001950000",NA
101051050,33451,1,"0004000000",NA
101101091,34228,1,"0002800000",NA
101051058,33236,1,"0000400000",NA
101021006,33236,1,"0000400000",NA
101081082,33316,1,"0070500000",NA
101081082,33440,1,"0005000000",NA
101051067,33236,1,"0000135000",NA
101031013,33214,NA,NA,"0000040000"
101031013,33214,1,"0000700000",NA
101141104,33349,NA,NA,"0078000000"
101141104,33350,1,"0000500000",NA
101101090,33190,1,"0004500000",NA
101051030,33349,1,"0005000000",NA
101051030,33371,1,"0000750000",NA
101051030,34250,1,"0000600000",NA
101141102,33190,1,"0005700000",NA
101141103,33134,1,"0270000000",NA
101141103,33167,1,"0002500000",NA
101141103,33178,1,"0003000000",NA
101031012,33236,1,"0000450000",NA
101021010,33190,1,"0010000000",NA
101031016,33145,NA,NA,"0150000000"
101031016,33167,1,"0001500000",NA
101041023,33420,1,"0002000000",NA
101041023,33440,1,"0004000000",NA
101041024,33190,1,"0017000000",NA
101051032,33134,1,"0160000000",NA
101051032,33156,1,"0000800000",NA
101051032,33167,1,"0000380000",NA
101071077,33178,1,"0003200000",NA
101071077,33338,1,"0145000000",NA
101071077,33350,1,"0001200000",NA
101081082,33451,1,"0004500000",NA
101051057,33247,1,"0000200000",NA
101102092,33236,1,"0000100000",NA
101052024,33236,1,"0000065000",NA
101052049,33247,1,"0000160000",NA
101022006,33190,1,"0030000000",NA
101022006,33236,1,"0002500000",NA
101032017,33190,1,"0011000000",NA
101032017,33236,1,"0001500000",NA
101052039,33190,1,"0004700000",NA
101072078,33190,1,"0007500000",NA
101102089,33145,1,"0025000000",NA
101102089,33167,1,"0000500000",NA
101022007,33338,1,"0255000000",NA
101052023,33338,1,"0240000000",NA
101052025,33236,1,"0001500000",NA
101052025,34181,1,"0003000000",NA
101102091,33236,1,"0001600000",NA
101052062,33190,1,"0003000000",NA
101052070,33190,1,"0004000000",NA
101102094,33214,1,"0001150000",NA
101052055,33190,1,"0012000000",NA
101102094,33236,1,"0000200000",NA
101032019,33190,1,"0003000000",NA
101052054,33190,1,"0007000000",NA
101052054,33236,1,"0001500000",NA
101062072,33214,1,"0000600000",NA
101052068,33190,1,"0012000000",NA
101052021,33247,1,"0000150000",NA
101022007,33350,1,"0002000000",NA
101052066,33190,1,"0003500000",NA
101062071,33190,1,"0017000000",NA
101062075,33134,1,"0076000000",NA
101062075,33156,1,"0000350000",NA
101062072,33236,1,"0000120000",NA
101073079,33112,1,"0012000000",NA
101043018,33190,1,"0022500000",NA
101053050,33236,1,"0004000000",NA
101043016,33190,1,"0012000000",NA
101043020,33190,1,"0001800000",NA
101053035,33190,1,"0050000000",NA
101053035,33236,1,"0000400000",NA
101053048,33190,1,"0020000000",NA
101053048,33236,1,"0005000000",NA
101113091,33190,1,"0050000000",NA
101113091,33236,1,"0004000000",NA
101113091,33247,1,"0001500000",NA
101053024,33190,1,"0007000000",NA
101153102,33190,1,"0015000000",NA
101153104,33190,1,"15000000",NA
