"ADDRESS","DYCOL01","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08"
100011003,"01",NA,NA,NA,"0002880000",NA,"0001200000"
100011006,"01",NA,NA,NA,"0017700000",NA,NA
100011007,"01",NA,NA,NA,NA,NA,"0005000000"
100011008,"01","0046500000",NA,NA,NA,NA,NA
100011009,"01","0018060000",NA,NA,NA,NA,NA
100011012,"01",NA,NA,NA,NA,NA,"0013200000"
100011014,"01",NA,NA,NA,NA,NA,"0002400000"
100011016,"01",NA,"0010000000",NA,NA,NA,NA
100011017,"01",NA,NA,NA,NA,NA,"0024000000"
100011018,"01",NA,"0007500000",NA,NA,NA,NA
100011019,"01",NA,"0009600000",NA,NA,NA,NA
100011020,"01",NA,NA,NA,NA,NA,"0003500000"
100011021,"01","0018810000",NA,NA,NA,NA,NA
100011022,"01",NA,"0024000000",NA,NA,NA,NA
100011024,"01",NA,"0014400000",NA,NA,NA,NA
100011026,"01","0034150000",NA,NA,NA,NA,NA
100011031,"01",NA,"0000850000",NA,"0003200000",NA,"0000300000"
100011032,"01",NA,NA,NA,NA,NA,"0001500000"
100011035,"01",NA,NA,NA,NA,NA,"0002400000"
100011037,"02",NA,NA,NA,NA,"0007800000",NA
100011038,"01",NA,"0003600000",NA,NA,NA,"0005800000"
100011039,"01",NA,NA,NA,"0003700000",NA,"0001500000"
100011040,"01","0030900000",NA,NA,NA,NA,NA
100011043,"05","0014460000",NA,NA,NA,NA,NA
100011044,"01","0020700000",NA,NA,NA,NA,NA
100011049,"01",NA,NA,NA,NA,NA,"0002000000"
100011050,"01",NA,"0001500000","0019500000",NA,NA,NA
100011052,"01","0015900000",NA,NA,NA,NA,NA
100012003,"01","0017100000",NA,NA,NA,NA,NA
100012005,"01","0037020000",NA,NA,NA,NA,NA
100012006,"01","0018300000",NA,NA,NA,NA,NA
100012012,"01","0026600000",NA,NA,NA,NA,NA
100012016,"01","0028150000",NA,NA,NA,NA,NA
100012019,"01","0024300000",NA,NA,NA,NA,NA
100012021,"01","0033900000",NA,NA,NA,NA,NA
100012023,"01","0026791600",NA,NA,NA,NA,NA
100012025,"01","0017100000","0003600000",NA,NA,NA,NA
100012030,"01",NA,"0008640000",NA,NA,NA,NA
100012033,"01",NA,NA,NA,NA,NA,"0003000000"
100012034,"02",NA,NA,NA,NA,"0012000000",NA
100012038,"01","0004800000",NA,NA,NA,NA,NA
100012042,"01","0042700000",NA,NA,NA,NA,NA
100012043,"01","0021100000",NA,NA,NA,NA,NA
100012046,"01",NA,NA,NA,"0004200000",NA,NA
100013002,"01","0024100000",NA,NA,NA,NA,NA
100013003,"01",NA,NA,"0022200000",NA,NA,NA
100013009,"01","0022100000",NA,NA,NA,NA,NA
100013010,"01","0033500000",NA,NA,NA,NA,NA
100013014,"01",NA,"0014160000",NA,NA,NA,NA
100013016,"01","0216901000",NA,NA,NA,NA,NA
100013022,"01","0018240000",NA,NA,NA,NA,NA
100013023,"01","0026550000",NA,NA,NA,NA,NA
100013026,"01",NA,"0014640000",NA,NA,NA,NA
100013028,"07",NA,NA,NA,"0001700000",NA,NA
100013029,"01",NA,"0021600000",NA,NA,NA,NA
100013032,"01","0002680000",NA,NA,NA,NA,NA
100013035,"01",NA,NA,NA,"0006800000",NA,NA
100013036,"01","0022950000",NA,NA,NA,NA,NA
100013037,"04",NA,NA,"0008260000",NA,NA,NA
100013039,"01","0016000000",NA,NA,NA,NA,NA
100013041,"01",NA,NA,NA,NA,NA,"0018000000"
100013045,"01","0020100000",NA,NA,NA,NA,NA
100014006,"01",NA,"0008280000",NA,NA,NA,NA
100014008,"01",NA,"0007200000",NA,NA,NA,NA
100014009,"01",NA,NA,"0002160000",NA,NA,NA
100014012,"01",NA,"0009720000",NA,NA,NA,NA
100014012,"03","0001080000",NA,NA,NA,NA,NA
100014015,"01","0045200000",NA,NA,NA,NA,NA
100014015,"03",NA,NA,"0001280000",NA,NA,NA
100014018,"01","0786548084",NA,NA,NA,NA,NA
100014020,"01","0025750000",NA,NA,NA,NA,NA
100014025,"01",NA,NA,"0003000000",NA,NA,NA
100014026,"01",NA,NA,NA,"0018860000",NA,NA
100014027,"01",NA,"0004560000",NA,NA,NA,"0004000000"
100014029,"01",NA,NA,NA,"0026550000",NA,NA
100014032,"01","0018550000","0016800000",NA,NA,NA,NA
100014035,"01",NA,NA,NA,"0040109880",NA,NA
100014039,"01",NA,NA,NA,"0004300000",NA,NA
100014041,"01","0028750000",NA,NA,NA,NA,NA
100014042,"01",NA,NA,NA,"0003000000",NA,NA
100014042,"02",NA,NA,NA,NA,NA,"0010000000"
100014042,"04",NA,NA,NA,"0000600000",NA,NA
100014047,"01","0027700000",NA,NA,NA,NA,NA
100014049,"01","0032500000",NA,NA,NA,NA,NA
100022054,"01",NA,"0007440000",NA,NA,NA,NA
100033051,"01",NA,"0007800000",NA,NA,NA,NA
100033052,"01",NA,NA,"0003000000","0004000000",NA,NA
100033053,"01",NA,NA,NA,"0024000000",NA,NA
100033055,"01",NA,NA,NA,"0003300000",NA,"0003000000"
100034051,"01",NA,"0003600000",NA,NA,NA,NA
100034053,"01","0033700000",NA,NA,NA,NA,NA
100034055,"01","0033700000",NA,NA,NA,NA,NA
100041057,"01",NA,NA,"0011600000",NA,NA,NA
100041058,"01",NA,NA,NA,"0005180000",NA,NA
100041064,"01","0016220000","0005250000",NA,NA,NA,NA
100042056,"01",NA,"0007000000",NA,NA,NA,"0000800000"
100042057,"01","0020000000",NA,NA,NA,NA,NA
100042058,"01",NA,NA,NA,"0022860000",NA,NA
100043058,"01",NA,NA,NA,"0006600000",NA,NA
100044056,"01","0045000000",NA,NA,NA,NA,NA
100044059,"01","0038500000","0016000000",NA,NA,NA,NA
100051067,"02",NA,NA,NA,NA,NA,"0008000000"
100051067,"03",NA,NA,NA,NA,"0003000000","0011000000"
100051067,"04",NA,NA,NA,NA,NA,"0012000000"
100051068,"01",NA,NA,NA,NA,NA,"0001000000"
100051069,"01",NA,"0004800000",NA,NA,NA,"0000750000"
100051070,"01",NA,NA,NA,NA,NA,"0010800000"
100052061,"01",NA,"0004800000",NA,NA,NA,NA
100052063,"01","0015400000",NA,NA,NA,NA,NA
100052065,"01",NA,"0008400000",NA,NA,NA,"0001000000"
100053064,"01",NA,"0013000000",NA,NA,NA,NA
100054065,"01","0006000000",NA,NA,NA,NA,NA
100061071,"01",NA,"0007400000",NA,NA,NA,NA
100061074,"01",NA,"0008000000",NA,NA,NA,NA
100061075,"01",NA,"0010800000",NA,NA,NA,NA
100061076,"01","0012300000",NA,NA,NA,NA,NA
100061080,"01",NA,"0012600000",NA,NA,NA,NA
100061081,"01",NA,"0012000000",NA,NA,NA,NA
100061083,"01",NA,NA,NA,NA,"0003000000",NA
100061085,"01",NA,"0003000000",NA,NA,NA,NA
100061087,"03",NA,NA,NA,NA,NA,"0006000000"
100061090,"01",NA,NA,NA,NA,NA,"0014400000"
100062067,"01","0014800000",NA,NA,NA,NA,NA
100062069,"01",NA,NA,NA,"0002200000",NA,"0002000000"
100062070,"01",NA,NA,NA,NA,"0005000000",NA
100062073,"01",NA,"0003720000",NA,NA,NA,NA
100062074,"01",NA,"0009600000",NA,NA,NA,NA
100062075,"01",NA,"0000620000",NA,NA,NA,NA
100062080,"01",NA,"0027000000",NA,NA,NA,NA
100062085,"01","0017480000",NA,NA,NA,NA,NA
100062088,"01","0022000000",NA,NA,NA,NA,NA
100062090,"01",NA,NA,NA,NA,NA,"0002500000"
100063066,"01",NA,NA,"0018000000",NA,NA,NA
100063067,"01","0023760000",NA,NA,NA,NA,NA
100063075,"01",NA,NA,NA,"0005600000",NA,"0000700000"
100063078,"01","0065000000",NA,NA,NA,NA,NA
100063079,"01","0021330000",NA,NA,NA,NA,NA
100064069,"01",NA,NA,NA,"0005400000",NA,NA
100064071,"02",NA,NA,NA,NA,"0002850000",NA
100064071,"03",NA,NA,NA,NA,"0002850000",NA
100064073,"01","0030860000",NA,NA,NA,NA,NA
100064076,"01",NA,"0009600000",NA,NA,NA,NA
100064077,"01","0025750000",NA,NA,NA,NA,NA
100064079,"01","0031350000",NA,NA,NA,NA,NA
100064082,"01","0047100000",NA,NA,NA,NA,NA
100064082,"03","0002350000",NA,NA,NA,NA,NA
100064083,"02","0024000000",NA,NA,NA,NA,NA
100064085,"01",NA,"0021600000",NA,NA,NA,NA
100073090,"01","0018000000",NA,NA,NA,NA,NA
100074086,"01",NA,"0003000000",NA,NA,NA,NA
100074086,"05",NA,"0004000000",NA,NA,NA,NA
100074087,"01",NA,NA,NA,NA,NA,"0007000000"
100091091,"01",NA,NA,"0004500000",NA,NA,NA
100091093,"01","0017700000",NA,NA,NA,NA,NA
100091095,"01","0014940000","0005400000",NA,"0002440000",NA,NA
100092092,"01",NA,NA,NA,"0005100000",NA,NA
100093092,"01","0000650000",NA,NA,"0002600000",NA,"0000500000"
100093095,"01","0014700000","0002400000",NA,NA,NA,NA
100094091,"01","0021500000",NA,NA,NA,NA,NA
100094092,"01",NA,"0030000000",NA,NA,NA,NA
100094093,"01",NA,NA,NA,NA,NA,"0000800000"
100094094,"01","0024600000",NA,NA,NA,NA,NA
101011003,"01","0022150000",NA,NA,NA,NA,NA
101012003,"01",NA,"0008400000",NA,NA,NA,NA
101012005,"01","0019550000",NA,NA,NA,NA,NA
101021009,"02",NA,NA,NA,NA,"0000200000",NA
101021010,"01","0017100000",NA,NA,NA,NA,NA
101022006,"01","0026950000",NA,NA,NA,NA,NA
101022009,"01",NA,"0006650000",NA,NA,NA,NA
101024002,"01",NA,NA,NA,"0025750000",NA,NA
101024003,"01","0",NA,NA,NA,NA,"0006300000"
101024004,"01",NA,"0005400000",NA,NA,NA,NA
101024005,"01",NA,"0003000000",NA,NA,NA,NA
101031012,"01","0015400000",NA,NA,NA,NA,NA
101031013,"01",NA,NA,NA,NA,NA,"0012000000"
101031014,"01","0008200000","0007800000",NA,NA,NA,NA
101031018,"01","0010800000",NA,NA,NA,NA,NA
101031020,"01","0022950000",NA,NA,NA,NA,NA
101032011,"01",NA,"0001360000",NA,NA,NA,NA
101032012,"01",NA,NA,NA,"0001600000",NA,NA
101032012,"02",NA,NA,NA,"0001600000",NA,NA
101032013,"01",NA,NA,NA,NA,NA,"0049000000"
101032017,"01","0026400000","0001200000",NA,NA,NA,NA
101032019,"01","0026950000","0010500000",NA,NA,NA,NA
101033006,"01",NA,"0003600000",NA,NA,NA,NA
101033008,"01",NA,"0011400000",NA,NA,NA,NA
101033010,"01","0047320000",NA,NA,NA,NA,NA
101033013,"01","0037750000","0004050000",NA,NA,NA,NA
101033014,"01","0030000000",NA,NA,NA,NA,NA
101033015,"03","0019200000",NA,NA,NA,NA,NA
101034007,"01","0025750000",NA,NA,NA,NA,NA
101034008,"01","0013500000",NA,NA,NA,NA,NA
101034012,"01","0",NA,NA,"0002600000",NA,NA
101034014,"01",NA,"0006600000",NA,NA,NA,NA
101041023,"01",NA,"0007800000",NA,NA,NA,NA
101041024,"06",NA,NA,NA,"0002300000",NA,NA
101043017,"01",NA,"0006960000",NA,NA,NA,NA
101044016,"02",NA,NA,NA,NA,NA,"0002400000"
101044018,"02",NA,NA,NA,NA,NA,"0010000000"
101051026,"01","0023650000",NA,NA,NA,NA,NA
101051026,"02",NA,NA,"0002400000",NA,NA,NA
101051029,"01","0019500000",NA,NA,NA,NA,NA
101051032,"01",NA,"0016080000",NA,NA,NA,NA
101051033,"01",NA,"0004140000",NA,NA,NA,NA
101051034,"01","0016630000",NA,NA,NA,NA,NA
101051034,"02",NA,NA,NA,NA,NA,"0012000000"
101051036,"01","0023650000",NA,NA,NA,NA,NA
101051037,"01","0043500000",NA,NA,NA,NA,NA
101051037,"02","0025500000",NA,NA,NA,NA,NA
101051038,"01",NA,NA,NA,NA,NA,"0003000000"
101051040,"01","0036800000",NA,NA,NA,NA,NA
101051041,"01",NA,NA,NA,NA,NA,"0009600000"
101051043,"01","0010820000",NA,NA,NA,NA,NA
101051047,"01",NA,NA,NA,NA,"0001200000",NA
101051048,"01","0017038000",NA,NA,NA,NA,NA
101051049,"01",NA,NA,NA,NA,NA,"0020000000"
101051049,"02",NA,NA,NA,NA,NA,"0015000000"
101051049,"03",NA,NA,NA,NA,NA,"0020000000"
101051052,"01","0015630000",NA,NA,NA,NA,NA
101051054,"01","0018270000",NA,NA,NA,NA,"0003600000"
101051056,"01","0164550000",NA,NA,NA,NA,NA
101051067,"01",NA,NA,"0008400000",NA,NA,NA
101051069,"01",NA,"0008280000",NA,NA,NA,NA
101052024,"01",NA,"0006000000",NA,NA,NA,NA
101052025,"01",NA,"0006620000",NA,NA,NA,NA
101052026,"01","0014220000",NA,NA,NA,NA,NA
