"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04"
100011046,"042111",NA,NA,"0000800000"
100011046,"044111",NA,1,"0000032000"
100011046,"045111",NA,1,"0000052000"
100011046,"045211",NA,1,"0000320000"
100011046,"045212",NA,1,"0000020000"
100011049,"042214",NA,8,"0000650000"
100011049,"044111",NA,1,"0000015000"
100011049,"045111",NA,1,"0000022500"
100011049,"045211",NA,1,"0000073000"
100011048,"041111",NA,1,"0000700000"
100011048,"042212","0007000000",1,"0000210000"
100011048,"044111",NA,1,"0000043000"
100011048,"045111",NA,1,"0000047000"
100011048,"045211",NA,1,"0000230000"
100011047,"042111",NA,NA,"0000750000"
100011047,"044111",NA,1,"0000031000"
100011047,"045111",NA,1,"0000022000"
100011047,"045211",NA,1,"0000057000"
100011050,"042111",NA,NA,"0000750000"
100011050,"044111",NA,1,"0000028600"
100011050,"044418",NA,1,"0000005000"
100011050,"045111",NA,1,"0000042500"
100011050,"045211",NA,1,"0000082000"
100011031,"042214",NA,8,"0000200000"
100011032,"042111",NA,NA,"0000900000"
100011032,"044111",NA,1,"0000046000"
100011032,"045111",NA,1,"0000052000"
100011032,"045211",NA,1,"0000298000"
100011033,"042111",NA,NA,"0000750000"
100011033,"044111",NA,1,"0000032000"
100011033,"045111",NA,1,"0000046000"
100011033,"045211",NA,1,"0000053000"
100011034,"042111",NA,NA,"0000850000"
100011034,"044111",NA,1,"0000045000"
100011034,"045111",NA,1,"0000041000"
100011034,"045211",NA,1,"0000067000"
100011035,"041111",NA,1,"0000050000"
100011035,"042212","0045000000",1,"0001350000"
100011035,"044111",NA,1,"0000045000"
100011035,"045111",NA,1,"0000024000"
100011035,"045211",NA,1,"0000180000"
100011016,"042213",NA,3,"0001000000"
100011016,"044111",NA,1,"0000015000"
100011016,"045111",NA,1,"0000016000"
100011016,"045211",NA,1,"0000041000"
100011017,"042111",NA,NA,"0001400000"
100011017,"044111",NA,1,"0000038000"
100011017,"044418",NA,1,"0000010000"
100011017,"045111",NA,1,"0000067000"
100011017,"045211",NA,1,"0000235000"
100011017,"045212",NA,1,"0000020000"
100011018,"041111",NA,1,"0000500000"
100011018,"042212","0020000000",1,"0000600000"
100011018,"044111",NA,1,"0000057000"
100011018,"045111",NA,1,"0000900000"
100011018,"045211",NA,1,"0000167000"
100011019,"042111",NA,NA,"0001200000"
100011019,"044111",NA,1,"0000059000"
100011019,"045111",NA,1,"0000054000"
100011019,"045211",NA,1,"0000067000"
100011020,"042111",NA,NA,"0000800000"
100011020,"044111",NA,1,"0000034000"
100011020,"044418",NA,1,"0000010000"
100011020,"045111",NA,1,"0000048000"
100011020,"045211",NA,1,"0000071000"
100061091,"042111",NA,NA,"0001400000"
100061091,"045111",NA,1,"0000036000"
100061092,"042111",NA,NA,"0000850000"
100061092,"044111",NA,1,"0000200000"
100061092,"045111",NA,1,"0000048000"
100061092,"045211",NA,1,"0000100000"
100061093,"042111",NA,NA,"0000450000"
100021061,"042111",NA,NA,"0000750000"
100021061,"044111",NA,1,"0000035000"
100021061,"045111",NA,1,"0000040000"
100021061,"045211",NA,1,"0000120000"
100061094,"042111",NA,NA,"0000850000"
100061094,"044111",NA,1,"0000018000"
100061094,"045111",NA,1,"0000050000"
100021062,"042111",NA,NA,"0000800000"
100021062,"045311",NA,1,"0000003400"
100021063,"042111",NA,NA,"0000800000"
100021063,"044111",NA,1,"0000090000"
100021063,"045111",NA,1,"0000085000"
100021063,"045211",NA,1,"0000260000"
100021064,"042213",NA,3,"0000700000"
100061095,"042111",NA,NA,"0000650000"
100061095,"044111",NA,1,"0000110000"
100061095,"045111",NA,1,"0000030000"
100011036,"042111",NA,NA,"0000500000"
100021065,"041111",NA,1,"0000800000"
100021065,"044111",NA,1,"0000140000"
100021065,"045111",NA,1,"0000080000"
100021065,"045211",NA,1,"0000130000"
100011036,"044111",NA,1,"0000015000"
100011036,"045111",NA,1,"0000045000"
100011036,"045211",NA,1,"0000210000"
100011021,"042111",NA,NA,"0000750000"
100011021,"044111",NA,1,"0000400000"
100011021,"044418",NA,1,"0000010000"
100011021,"045111",NA,1,"0000120000"
100011021,"045211",NA,1,"0000167000"
100011037,"041111",NA,1,"0000500000"
100011037,"042212","0020000000",1,"0000600000"
100011037,"044111",NA,1,"0000076000"
100011037,"045111",NA,1,"0000122000"
100011037,"045211",NA,1,"0000145000"
100011038,"041111",NA,1,"0000650000"
100011038,"042212","0007000000",1,"0000210000"
100011038,"044111",NA,1,"0000047000"
100011038,"045111",NA,1,"0000088000"
100011038,"045211",NA,1,"0000145000"
100011040,"042111",NA,NA,"0000460000"
100011040,"044111",NA,1,"0000133000"
100011039,"042111",NA,NA,"0000800000"
100011039,"044111",NA,1,"0000012000"
100011039,"045111",NA,1,"0000015000"
100011039,"045211",NA,1,"0000143000"
100011022,"042111",NA,NA,"0000600000"
100011022,"044111",NA,1,"0000041000"
100011022,"045111",NA,1,"0000068000"
100011022,"045211",NA,1,"0000119000"
100011023,"042111",NA,NA,"0000450000"
100011023,"044111",NA,1,"0000043000"
100011023,"045111",NA,1,"0000015000"
100011023,"045211",NA,1,"0000083000"
100011024,"042111",NA,NA,"0000500000"
100011024,"044111",NA,1,"0000022000"
100011024,"045111",NA,1,"0000030000"
100011024,"045211",NA,1,"0000082000"
100011025,"042111",NA,NA,"0000800000"
100011025,"044111",NA,1,"0000063000"
100011025,"045111",NA,1,"0000042000"
100011025,"045211",NA,1,"0000094000"
100011040,"045111",NA,1,"0000036000"
100011040,"045211",NA,1,"0000075000"
100011006,"041111",NA,1,"0000800000"
100011006,"042212","0020000000",1,"0000600000"
100011006,"044111",NA,1,"0000125000"
100011006,"045111",NA,1,"0000056000"
100011006,"045211",NA,1,"0000151000"
100011051,"042111",NA,NA,"0000600000"
100011051,"044111",NA,1,"0000055000"
100011051,"045111",NA,1,"0000064000"
100011051,"045211",NA,1,"0000220000"
100011053,"042111",NA,NA,"0000800000"
100011053,"044111",NA,1,"0000045000"
100011053,"045111",NA,1,"0000041000"
100011053,"045211",NA,1,"0000092000"
100011054,"042111",NA,NA,"0000950000"
100011054,"044111",NA,1,"0000028000"
100011054,"045111",NA,1,"0000054000"
100011054,"045211",NA,1,"0000042000"
100011027,"042111",NA,NA,"0002000000"
100011027,"044111",NA,1,"0000015000"
100011027,"044311",NA,1,"0000015000"
100011027,"045111",NA,1,"0000026000"
100011055,"042214",NA,8,"0000800000"
100011055,"044111",NA,1,"0000022000"
100011055,"045111",NA,1,"0000015000"
100011055,"045211",NA,1,"0000050000"
100011027,"045211",NA,1,"0000051000"
100011030,"041111",NA,1,"0001800000"
100011030,"042212","0015000000",1,"0000450000"
100011030,"044111",NA,1,"0000068000"
100011030,"045111",NA,1,"0000127000"
100011030,"045211",NA,1,"0000072000"
100011026,"042111",NA,NA,"0001200000"
100011026,"044111",NA,1,"0000035000"
100011026,"045111",NA,1,"0000049000"
100011026,"045211",NA,1,"0000088000"
100011007,"041111",NA,1,"0000500000"
100011007,"044111",NA,1,"0000108000"
100011007,"045111",NA,1,"0000175000"
100011007,"045211",NA,1,"0000061000"
100011010,"042111",NA,NA,"0001000000"
100011010,"044111",NA,1,"0000082000"
100011010,"044112",NA,1,"0000060000"
100011010,"044418",NA,1,"0000020000"
100011010,"045111",NA,1,"0000104000"
100011010,"045211",NA,1,"0000083000"
100011010,"045212",NA,1,"0000020000"
100011009,"042111",NA,NA,"0001000000"
100011009,"044111",NA,1,"0000042000"
100011009,"045111",NA,1,"0000098000"
100011009,"045211",NA,1,"0000280000"
100011008,"042111",NA,NA,"0000500000"
100011008,"044111",NA,1,"0000075000"
100011008,"045111",NA,1,"0000051000"
100011008,"045211",NA,1,"0000096000"
100011011,"042111",NA,NA,"0000700000"
100011011,"044111",NA,1,"0000099000"
100011011,"045111",NA,1,"0000123000"
100011011,"045211",NA,1,"0000150000"
100011015,"042111",NA,NA,"0000760000"
100011015,"044111",NA,1,"0000113000"
100011015,"044311",NA,1,"0000024000"
100011015,"044418",NA,1,"0000005000"
100011015,"045111",NA,1,"0000075000"
100011015,"045211",NA,1,"0000080000"
100011014,"042111",NA,NA,"0001000000"
100011029,"042111",NA,NA,"0002000000"
100011029,"044111",NA,1,"0000032000"
100011029,"045111",NA,1,"0000043000"
100011041,"042111",NA,NA,"0001100000"
100011041,"044111",NA,1,"0000031000"
100011014,"044111",NA,1,"0000110000"
100011014,"044418",NA,1,"0000005000"
100011014,"045111",NA,1,"0000046000"
100011014,"045211",NA,1,"0000075000"
100011013,"041111",NA,1,"0000900000"
100011013,"042212","0005000000",1,"0000150000"
100011013,"044111",NA,1,"0000033000"
100011013,"045111",NA,1,"0000096000"
100011013,"045211",NA,1,"0000088000"
100011012,"042111",NA,NA,"0000900000"
100011012,"044111",NA,1,"0000040000"
100011012,"044418",NA,1,"0000005000"
100011012,"045111",NA,1,"0000113000"
100011012,"045211",NA,1,"0000084000"
100011028,"042111",NA,NA,"0002500000"
100011041,"045111",NA,1,"0000064000"
100011041,"045211",NA,1,"0000110000"
100011045,"042111",NA,NA,"0000980000"
100011045,"044111",NA,1,"0000044000"
100011045,"045111",NA,1,"0000102000"
100011029,"045211",NA,1,"0000250000"
100011045,"045211",NA,1,"0000186000"
100011052,"042214",NA,8,"0000500000"
100011052,"044111",NA,1,"0000011000"
100011052,"045111",NA,1,"0000034000"
100011052,"045211",NA,1,"0000110000"
100011002,"042111",NA,NA,"0001100000"
100011002,"044111",NA,1,"0000022000"
100011002,"044413",NA,1,"0000040000"
100011002,"044418",NA,1,"0000005000"
100011028,"044111",NA,1,"0000037000"
100011028,"044418",NA,1,"0000010000"
100011028,"045111",NA,1,"0000032000"
100011028,"045211",NA,1,"0000148000"
100011001,"042111",NA,NA,"0000900000"
