"Address","MahMorajeh","NeshaniSarparast","NameSarparast","ShoghlSarparast","NoeKhn","Takmil","TakmilDesc","Jaygozin","JaygozinDesc","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4"
2000194001,"02",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,5,277,7,"Admin",NA,"Admin","Admin"
2000194002,"2",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,5,244,4,"Admin",NA,"Admin","Admin"
2000194004,"2",NA,NA,"بنا",1,1,NA,2,NA,NA,NA,5,617,7,"Admin",NA,"Admin","Admin"
2000194003,"2",NA,NA,"درامد بدون كار",1,1,NA,2,"اقامتگاه معمولي خانوار در مکان ديگري است","000001","006",5,216,7,"Admin",NA,"Admin","Admin"
2000194005,"2",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,5,283,6,"Admin",NA,"Admin","Admin"
2000146003,"2",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,5,258,7,"Admin",NA,"Admin","Admin"
2000146002,"2",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,4,643,7,"Admin",NA,"Admin","Admin"
2000146001,"02",NA,NA,"زارع",1,1,NA,2,NA,NA,NA,5,533,7,"Admin",NA,"Admin","Admin"
2000146004,"2",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,5,504,8,"Admin",NA,"Admin","Admin"
2000146005,"2",NA,NA,"قناد",1,1,NA,2,NA,NA,NA,5,527,7,"Admin",NA,"Admin","Admin"
2000266003,"2",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,5,474,9,"Admin",NA,"Admin","Admin"
2000266002,"2",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,5,427,7,"Admin",NA,"Admin","Admin"
2000266004,"2",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,5,237,4,"Admin",NA,"Admin","Admin"
2000266005,"2",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,5,464,4,"Admin",NA,"Admin","Admin"
2000170001,"2",NA,NA,"زارع",1,1,NA,2,NA,NA,NA,5,662,15,"Admin",NA,"Admin","Admin"
2000170002,"2",NA,NA,"كارگر",1,1,NA,2,NA,NA,NA,5,352,7,"Admin",NA,"Admin","Admin"
2000170005,"2",NA,NA,"زراعت",1,1,NA,2,NA,NA,NA,5,837,8,"Admin",NA,"Admin","Admin"
2000170003,"2",NA,NA,"زارع",1,1,NA,2,NA,NA,NA,5,779,1,"Admin",NA,"Admin","Admin"
2000170004,"2",NA,NA,"كارگر",1,1,NA,2,NA,NA,NA,5,528,7,"Admin",NA,"Admin","Admin"
2000278002,"2",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,4,544,8,"Admin",NA,"Admin","Admin"
2000278005,"2",NA,NA,"زارع",1,1,NA,2,NA,NA,NA,5,747,16,"Admin",NA,"Admin","Admin"
2000278003,"2",NA,NA,"كمك راننده",1,1,NA,2,NA,NA,NA,5,673,8,"Admin",NA,"Admin","Admin"
2000278001,"2",NA,NA,"مسئول شركت",1,1,NA,2,NA,NA,NA,4,780,9,"Admin",NA,"Admin","Admin"
2000278004,"2",NA,NA,"مرغدار",1,1,NA,2,NA,NA,NA,5,579,28,"Admin",NA,"Admin","Admin"
2000266001,"2",NA,NA,"دامدار",1,1,NA,2,NA,NA,NA,5,489,7,"Admin",NA,"Admin","Admin"
2000182001,"02",NA,NA,"تراشکار",1,1,NA,2,NA,NA,NA,5,763,6,NA,NA,NA,"Admin"
2000182003,"02",NA,NA,"زارع",1,1,NA,2,NA,NA,NA,5,980,11,NA,NA,NA,"Admin"
2000182004,"02",NA,NA,"جوشکار",1,1,NA,2,NA,NA,NA,4,1006,7,NA,NA,NA,"Admin"
