"Address","MahMorajeh","NeshaniSarparast","NameSarparast","ShoghlSarparast","NoeKhn","Takmil","TakmilDesc","Jaygozin","JaygozinDesc","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4"
1000021004,"04",NA,NA,"آبدارجي",1,1,NA,2,NA,NA,NA,5,74,0,"Admin",NA,"Admin",NA
1000069001,"04",NA,NA,"كارگر توليد",1,1,NA,2,NA,NA,NA,4,881,2,"Admin",NA,"Admin",NA
1000109004,"04",NA,NA,"كارگر",1,1,NA,2,NA,NA,NA,5,35,0,"Admin",NA,"Admin","Admin"
1000109003,"04",NA,NA,"بازنشسته",1,1,NA,2,NA,NA,NA,5,59,0,"Admin",NA,"Admin","Admin"
1000093005,"04",NA,NA,"دفتر مصالح ساختماني",1,1,NA,2,NA,NA,NA,4,65,0,"Admin",NA,"Admin","Admin"
1000093004,"04",NA,NA,"راننده",1,1,NA,2,NA,NA,NA,5,51,0,"Admin",NA,"Admin","Admin"
1000093002,"04",NA,NA,"كارگر توليد",1,1,NA,2,NA,NA,NA,4,51,0,"Admin",NA,"Admin","Admin"
1000093001,"04",NA,NA,"بازنشسته",1,1,NA,2,NA,NA,NA,5,77,0,"Admin",NA,"Admin","Admin"
1000125005,"04",NA,NA,"از كارافتاده",1,1,NA,2,NA,NA,NA,4,37,0,"Admin",NA,"Admin","Admin"
1000125004,"04",NA,NA,"از كار افتاده",1,1,NA,2,NA,NA,NA,4,35,0,"Admin",NA,"Admin","Admin"
1000125003,"04",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,5,29,0,"Admin",NA,"Admin","Admin"
1000125001,"04",NA,NA,"كارمند",1,1,NA,2,NA,NA,NA,4,64,0,"Admin",NA,"Admin",NA
1000125002,"04",NA,NA,"بازنشسته",1,1,NA,2,NA,NA,NA,5,69,0,"Admin",NA,"Admin","Admin"
1000009003,"04",NA,NA,"كارگرروزمزد",1,1,NA,2,NA,NA,NA,4,50,0,"Admin",NA,"Admin","Admin"
1000069004,"04",NA,NA,"بافنده فرش",1,1,NA,2,NA,NA,NA,5,59,0,"Admin",NA,"Admin","Admin"
1000069003,"04",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,5,34,0,"Admin",NA,"Admin","Admin"
1000045004,"04",NA,NA,"جوشكار",1,1,NA,2,NA,NA,NA,5,49,0,"Admin",NA,"Admin","Admin"
1000045005,"04",NA,NA,"كشاورز",1,1,NA,2,NA,NA,NA,5,47,0,"Admin",NA,"Admin","Admin"
1000045002,"04",NA,NA,"چوبدار",1,1,NA,2,NA,NA,NA,5,50,0,"Admin",NA,"Admin","Admin"
1000137005,"04",NA,NA,"راننده خاور",1,1,NA,2,NA,NA,NA,5,57,0,"Admin",NA,"Admin","Admin"
1000137004,"04",NA,NA,"جوشكارلوله",1,1,NA,2,NA,NA,NA,4,58,0,"Admin",NA,"Admin",NA
1000009001,"04",NA,NA,"پيمانكار شركت نفت",1,1,NA,2,NA,NA,NA,5,56,0,"Admin",NA,"Admin","Admin"
