"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDesc","Jaygozin","JaygozinDesc1","JaygozinDesc2","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4"
2000025066,"02","درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,4,288,1,"Admin",NA,"Admin","Admin"
2000077193,"03","باغدار",1,1,NA,2,NA,NA,NA,NA,4,788,0,"Admin",NA,"Admin","Admin"
2000149068,"03","راننده",1,1,NA,2,NA,NA,NA,NA,5,139,1,"Admin",NA,"Admin","Admin"
2000125050,"3","كارگر ساده",1,1,NA,2,NA,NA,NA,NA,5,197,1,"Admin",NA,"Admin","Admin"
2000065114,"03","زارع",1,1,NA,2,NA,NA,NA,NA,4,39,0,"Admin",NA,"Admin","Admin"
2000101012,"03","كارگر نيروگاه",1,1,NA,2,NA,NA,NA,NA,5,649,1,"Admin",NA,"Admin","Admin"
2000005050,"03","زارع",1,1,NA,2,NA,NA,NA,NA,5,198,1,"Admin",NA,"Admin","Admin"
2000017009,"03","دامدار",1,1,NA,1,3,NA,"000286","007",4,375,1,"Admin",NA,"Admin","Admin"
2000125054,"3","راننده",1,1,NA,2,NA,NA,NA,NA,5,87,0,"admin",NA,"admin","Admin"
2000073321,"02","از كار افتاده",1,1,NA,2,NA,NA,NA,NA,5,154,1,"Admin",NA,"Admin","Admin"
2000073327,"02","دامدار",1,1,NA,2,NA,NA,NA,NA,5,95,0,"Admin",NA,"Admin","Admin"
2000073316,"02","زارع",1,1,NA,2,NA,NA,NA,NA,5,308,1,"Admin",NA,"Admin","Admin"
2000073315,"02","كشاورز",1,1,NA,2,NA,NA,NA,NA,4,209,1,"Admin",NA,"Admin","Admin"
2000073323,"02","كشاورز",1,1,NA,2,NA,NA,NA,NA,4,337,1,"Admin",NA,"Admin","Admin"
2000145006,"02","خانه دار",1,1,NA,2,NA,NA,NA,NA,5,257,1,"Admin",NA,"Admin","Admin"
2000145011,"02","دامدار",1,1,NA,2,NA,NA,NA,NA,5,55,0,"Admin",NA,"Admin","Admin"
2000145015,"02","دامدار",1,1,NA,2,NA,NA,NA,NA,5,186,1,"Admin",NA,"Admin","Admin"
2000145009,"02","راننده تراكتور",1,1,NA,2,NA,NA,NA,NA,5,47,0,"Admin",NA,"Admin","Admin"
2000049067,"02","درامد بدون كار",1,1,NA,1,4,NA,"000317","68",5,220,1,"Admin",NA,"Admin","Admin"
2000049066,"02","درامد بدون كار",1,1,NA,1,4,NA,"000317","64",5,169,1,"Admin",NA,"Admin","Admin"
2000145002,"02","درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,275,1,"Admin",NA,"Admin","Admin"
2000157154,"02","كارگر كشاورزي",1,1,NA,2,NA,NA,NA,NA,5,225,1,"Admin",NA,"Admin","Admin"
2000157153,"02","از كار افتاده",1,1,NA,2,NA,NA,NA,NA,5,123,1,"Admin",NA,"Admin","Admin"
2000157162,"02","قاليباب",1,1,NA,2,NA,NA,NA,NA,5,133,1,"Admin",NA,"Admin","Admin"
