"address","dycol01","dycol02","dycol03","dycol04"
2000001141,"042111",NA,NA,"0000200000"
2000001141,"044111",NA,1,"0000020000"
2000001141,"045111",NA,1,"0000050000"
2000001144,"042214",NA,8,"0000250000"
2000001144,"045212",NA,1,"0000028000"
2000001146,"042111",NA,NA,"0000400000"
2000001146,"044111",NA,1,"0000015000"
2000001146,"044418",NA,1,"0000040000"
2000001146,"045111",NA,1,"0000010000"
2000001146,"045212",NA,1,"0000010000"
2000001148,"042111",NA,NA,"0000800000"
2000001148,"044111",NA,1,"0000600000"
2000001148,"045111",NA,1,"0000040000"
2000001148,"045212",NA,1,"0000140000"
2000001152,"042111",NA,NA,"0000900000"
2000001152,"044111",NA,1,"0000040000"
2000001152,"045111",NA,1,"0000040000"
2000001152,"045212",NA,1,"0000070000"
2000002320,"042111",NA,NA,"0000500000"
2000002320,"045111",NA,1,"0000250000"
2000002320,"045212",NA,1,"0000030000"
2000002323,"042111",NA,NA,"0000300000"
2000002323,"045111",NA,1,"0000030000"
2000002323,"045212",NA,1,"0000015000"
2000002326,"042111",NA,NA,"0000600000"
2000002326,"045111",NA,1,"0000030000"
2000002326,"045212",NA,1,"0000036000"
2000002328,"042111",NA,NA,"0000400000"
2000002328,"045111",NA,1,"0000050000"
2000002328,"045212",NA,1,"0000048000"
2000002332,"042111",NA,NA,"0000500000"
2000002332,"044418",NA,1,"0000010000"
2000002332,"045111",NA,1,"0000040000"
2000002332,"045212",NA,1,"0000035000"
2000003142,"042111",NA,NA,"0000400000"
2000003142,"044111",NA,1,"0000012000"
2000003142,"044418",NA,1,"0000010000"
2000003142,"045111",NA,1,"0000020000"
2000003147,"042111",NA,NA,"0000300000"
2000003147,"044111",NA,1,"0000020000"
2000003147,"044418",NA,1,"0000010000"
2000003150,"042111",NA,NA,"0000250000"
2000003150,"044111",NA,1,"0000065000"
2000003150,"045111",NA,1,"0000050000"
2000003150,"045212",NA,1,"0000012000"
2000003150,"045311",NA,1,"0000004000"
2000003153,"041111",NA,1,"0000300000"
