"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDesc","Jaygozin","JaygozinDesc1","JaygozinDesc2","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4"
1000073111,"02","متصدي دستگاه سنگ شكن",1,1,NA,2,NA,NA,NA,NA,4,175,1,"Admin",NA,"Admin","Admin"
1000073119,"02","رئيس بنياد شهيد",1,1,NA,2,NA,NA,NA,NA,5,71,0,"Admin",NA,"Admin","Admin"
1000073109,"2","بازنشسته",1,1,NA,2,NA,NA,NA,NA,5,181,1,"Admin",NA,"Admin","Admin"
1000109153,"02","راننده",1,1,NA,2,NA,NA,NA,NA,5,268,1,"Admin",NA,"Admin","Admin"
1000109155,"02","دبير",1,1,NA,2,NA,NA,NA,NA,5,202,1,"Admin",NA,"Admin","Admin"
1000109148,"02","كارمند آموزش وپرورش",1,1,NA,2,NA,NA,NA,NA,5,301,1,"Admin",NA,"Admin","Admin"
1000109162,"02","درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,202,1,"Admin",NA,"Admin","Admin"
1000109157,"02","دلال ملك",1,1,NA,2,NA,NA,NA,NA,5,220,1,"Admin",NA,"Admin","Admin"
1000037056,"02","شركت خدماتي",1,1,NA,2,NA,NA,NA,NA,5,282,1,"Admin",NA,"Admin","Admin"
1000037059,"2","درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,63,0,"Admin",NA,"Admin","Admin"
1000037052,"02","بستني فروش",1,1,NA,1,6,NA,"00002","053",5,138,1,"Admin",NA,"Admin","Admin"
1000037049,"02","درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,139,1,"Admin",NA,"Admin","Admin"
1000037062,"2","فروشنده",1,1,NA,2,NA,NA,NA,NA,5,78,0,"Admin",NA,"Admin","Admin"
1000025204,"02","كارگر ساده",1,1,NA,2,NA,NA,NA,NA,5,194,1,"Admin",NA,"Admin","Admin"
1000025198,"02","درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,151,1,"Admin",NA,"Admin","Admin"
1000025200,"02","سبزي فروش",1,1,NA,2,NA,NA,NA,NA,5,221,1,"Admin",NA,"Admin","Admin"
1000025193,"02","مدير مدرسه",1,1,NA,2,NA,NA,NA,NA,5,66,0,"Admin",NA,"Admin","Admin"
1000049198,"02","راننده",1,1,NA,2,NA,NA,NA,NA,5,378,1,"Admin",NA,"Admin","Admin"
1000049203,"02","راننده ماشين سنگين",1,1,NA,2,NA,NA,NA,NA,5,65,0,"Admin",NA,"Admin","Admin"
1000029097,"03","راننده",1,1,NA,2,NA,NA,NA,NA,5,489,1,"Admin",NA,"Admin","Admin"
1000017109,"03","كارمند درمانگاه",1,1,NA,2,NA,NA,NA,NA,5,478,1,"Admin",NA,"Admin","Admin"
1000113059,"3","دامدار",1,1,NA,2,NA,NA,NA,NA,4,172,1,"Admin",NA,"Admin","Admin"
1000113058,"03","دامدار",1,1,NA,2,NA,NA,NA,NA,4,250,1,"Admin",NA,"Admin","Admin"
1000005098,"03","درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,162,1,"Admin",NA,"Admin","Admin"
1000017112,"03","كارمند جهاد",1,1,NA,2,NA,NA,NA,NA,5,462,1,"Admin",NA,"Admin","Admin"
1000017102,"03","كارگرپتروشيمي",1,1,NA,2,NA,NA,NA,NA,5,231,1,"Admin",NA,"Admin","Admin"
1000097167,"02","درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,243,1,"Admin",NA,"Admin","Admin"
1000097171,"2","راننده",1,1,NA,2,NA,NA,NA,NA,5,316,1,"Admin",NA,"Admin","Admin"
1000097174,"02","زارع",1,1,NA,2,NA,NA,NA,NA,5,161,1,"Admin",NA,"Admin","Admin"
1000097165,"02","ازكارافتاده",1,1,NA,2,NA,NA,NA,NA,4,899,1,"Admin",NA,"Admin","Admin"
1000097160,"02","كارشناس مالياتي",1,1,NA,2,NA,NA,NA,NA,5,340,1,"Admin",NA,"Admin","Admin"
1000029095,"03","راننده",1,1,NA,1,6,NA,"000001","094",4,187,1,"Admin",NA,"Admin","Admin"
1000073116,"2","فروشنده",1,1,NA,2,NA,NA,NA,NA,5,260,2,"Admin",NA,"Admin","Admin"
1000073106,"2","الياف",1,1,NA,2,NA,NA,NA,NA,5,316,1,"Admin",NA,"Admin","Admin"
1000001177,"02","درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,94,0,"admin",NA,"admin","Admin"
1000061290,"02","درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,259,1,"admin",NA,"admin","Admin"
1000061286,"02","درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,337,1,"Admin",NA,"Admin","Admin"
1000061295,"02","درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,164,1,"Admin",NA,"Admin","Admin"
1000061284,"02","كشاورز",1,1,NA,2,NA,NA,NA,NA,5,163,1,"Admin",NA,"Admin","Admin"
1000085168,"02","اپراتور جاپ تاريخ",1,1,NA,2,NA,NA,NA,NA,4,160,1,"Admin",NA,"Admin",NA
1000085155,"02","راننده",1,1,NA,2,NA,NA,NA,NA,5,128,1,"Admin",NA,"Admin","Admin"
1000085164,"02","اپراتور تاريخ زن",1,1,NA,2,NA,NA,NA,NA,5,52,0,"Admin",NA,"Admin","Admin"
1000085162,"02","تلفنجي",1,1,NA,2,NA,NA,NA,NA,4,183,1,"Admin",NA,"Admin","Admin"
1000085158,"02","كارگرشركت وسايل برقي",1,1,NA,2,NA,NA,NA,NA,5,54,0,"Admin",NA,"Admin","Admin"
1000049208,"02","درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,224,1,"Admin",NA,"Admin","Admin"
1000049209,"02","مغازه دار",1,1,NA,2,NA,NA,NA,NA,4,73,0,"Admin",NA,"Admin","Admin"
1000049201,"02","درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,137,1,"Admin",NA,"Admin","Admin"
1000013173,"02","فضاي سبز",1,1,NA,2,NA,NA,NA,NA,5,70,0,"Admin",NA,"Admin","Admin"
1000001181,"02","درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,67,0,"admin",NA,"admin","Admin"
1000001180,"02","دبير",1,1,NA,2,NA,NA,NA,NA,5,315,1,"admin",NA,"admin","Admin"
1000001172,"02","كرگر ماشين سازي",1,1,NA,2,NA,NA,NA,NA,5,297,1,"admin",NA,"admin","Admin"
1000001171,"02","درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,158,1,"admin",NA,"admin","Admin"
1000013176,"02","درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,445,0,"admin",NA,"admin","Admin"
1000013169,"02","كارمند",1,1,NA,2,NA,NA,NA,NA,5,60,0,"Admin",NA,"Admin","Admin"
1000013178,"02","درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,595,1,"Admin",NA,"Admin","Admin"
1000013168,"02","درامد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,44,0,"Admin",NA,"Admin","Admin"
1000009004,"04","لوازم خانگي",1,1,NA,2,NA,NA,NA,NA,5,353,1,"Admin",NA,"Admin","Admin"
