"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06"
1000001177,"022112",1,NA,"00600","0000000250","0000150000"
1000004001,"022111",1,NA,"01200","0000000500","0000600000"
1000004001,"023111",1,NA,NA,NA,"0000450000"
1000006013,"022111",1,NA,"00300","0000000250","0000075000"
1000007013,"022111",1,NA,"00300","0000000500","0000150000"
1000008151,"022111",1,NA,"00300","0000000200","0000060000"
1000008159,"022113",1,NA,"01200","0000000250","0000300000"
1000008159,"023111",1,NA,NA,NA,"0003000000"
1000008164,"022112",1,NA,"00120","0000000200","0000024000"
1000009004,"022112",1,NA,"00600","0000000250","0000150000"
1000009010,"022112",1,NA,"00300","0000000250","0000075000"
1000011199,"022112",1,NA,"00600","0000000300","0000180000"
1000011205,"022111",1,NA,"00300","0000000500","0000150000"
1000013173,"022112",1,NA,"00400","0000000250","0000100000"
1000013178,"022112",1,NA,"00600","0000000400","0000240000"
1000014069,"022111",1,NA,"00600","0000000125","0000075000"
1000015308,"022111",1,NA,"00300","0000000250","0000075000"
1000015320,"022113",1,NA,"00120","0000000250","0000030000"
1000016297,"022111",1,NA,"00020","0000000500","0000010000"
1000017102,"022113",1,NA,"00020","0000000500","0000010000"
1000017106,"022113",1,NA,"00600","0000002000","0001200000"
1000017109,"022113",1,NA,"00240","0000000400","0000096000"
1000017112,"022113",1,NA,"00080","0000000500","0000040000"
1000018056,"022112",1,NA,"01200","0000000250","0000300000"
1000019163,"022111",1,NA,"00600","0000000250","0000150000"
1000020065,"022113",1,NA,"00500","0000000500","0000250000"
1000023060,"022112",1,NA,"00600","0000000250","0000150000"
1000024098,"022112",1,NA,"00100","0000000200","0000020000"
1000025200,"022112",1,NA,"00600","0000000350","0000210000"
1000025204,"022112",1,NA,"00600","0000000250","0000150000"
1000025207,"022113",1,NA,"00600","0000000400","0000240000"
1000026056,"022113",1,NA,"01200","0000000250","0000300000"
1000027162,"022113",1,NA,"00600","0000000250","0000150000"
1000027166,"022111",1,NA,"00200","0000000250","0000050000"
1000028062,"022112",1,NA,"00050","0000000500","0000025000"
1000029104,"022113",1,NA,"00600","0000000600","0000360000"
1000031266,"022111",1,NA,"00180","0000000250","0000045000"
1000032054,"022112",1,NA,"00600","0000000500","0000300000"
1000032063,"022112",1,NA,"00180","0000000250","0000045000"
1000033109,"022112",1,NA,"00400","0000000250","0000100000"
1000033118,"022112",1,NA,"00240","0000000250","0000060000"
1000033120,"022112",1,NA,"00240","0000000250","0000060000"
1000034141,"022113",1,NA,"00250","0000000550","0000137500"
1000034151,"022113",1,NA,"00060","0000000300","0000018000"
1000035196,"022111",1,NA,"00600","0000000250","0000150000"
1000035203,"022111",1,NA,"01200","0000000150","0000180000"
1000035205,"022113",1,NA,"01200","0000000500","0000600000"
1000036052,"022112",1,NA,"00600","0000000250","0000150000"
1000036058,"022111",1,NA,"00600","0000000250","0000150000"
1000037052,"022112",1,NA,"00080","0000000250","0000020000"
1000037056,"022112",1,NA,"00600","0000000250","0000150000"
1000037059,"022112",1,NA,"00600","0000000250","0000150000"
1000038060,"022111",1,NA,"00600","0000000200","0000120000"
1000039236,"022113",1,NA,"00450","0000000350","0000157500"
1000039239,"022111",1,NA,"00080","0000000500","0000040000"
1000039246,"022111",1,NA,"00600","0000000500","0000300000"
1000039248,"022111",1,NA,"00450","0000000350","0000157500"
1000040002,"022111",1,NA,"00300","0000000500","0000150000"
1000041162,"022111",1,NA,"00300","0000000300","0000090000"
1000041162,"022112",1,NA,"00240","0000000250","0000060000"
1000042004,"022111",1,NA,"00600","0000000250","0000150000"
1000042010,"022113",1,NA,"00300","0000000100","0000030000"
1000044207,"022112",1,NA,"00060","0000000500","0000030000"
1000044215,"022112",1,NA,"00100","0000000500","0000050000"
1000046106,"022113",1,NA,"01500","0000000250","0000375000"
1000046108,"022113",1,NA,"00600","0000000500","0000300000"
1000047150,"022111",1,NA,"00400","0000000500","0000200000"
1000048155,"022112",1,NA,"00060","0000000300","0000018000"
1000050225,"022113",1,NA,"01200","0000000300","0000360000"
1000052103,"022113",1,NA,"00600","0000000600","0000360000"
1000052107,"022111",1,NA,"00600","0000000300","0000180000"
1000053050,"022112",1,NA,"00300","0000000250","0000075000"
1000053063,"022113",1,NA,"00600","0000000250","0000150000"
1000054001,"022113",1,NA,"00240","0000000400","0000096000"
1000054005,"022112",1,NA,"00600","0000000250","0000150000"
1000055005,"022111",1,NA,"00200","0000000500","0000100000"
1000056107,"022111",1,NA,"00100","0000000200","0000020000"
1000056110,"022111",1,NA,"00600","0000000250","0000150000"
1000056116,"022112",1,NA,"00300","0000000250","0000075000"
1000056121,"022111",1,NA,"00060","0000000200","0000012000"
1000057009,"022113",1,NA,"00600","0000000250","0000150000"
1000057010,"022111",1,NA,"00300","0000000500","0000150000"
1000058216,"022112",1,NA,"00600","0000000250","0000150000"
1000058216,"023111",1,NA,NA,NA,"0000200000"
1000058218,"022112",1,NA,"00100","0000000250","0000025000"
1000058223,"022112",1,NA,"00210","0000000250","0000052500"
1000059107,"022113",1,NA,"00100","0000001500","0000150000"
1000060176,"022112",1,NA,"00600","0000000250","0000150000"
1000061286,"022111",1,NA,"00600","0000000150","0000090000"
1000061286,"022112",1,NA,"01200","0000000250","0000300000"
1000061290,"022112",1,NA,"00150","0000000250","0000037500"
1000061292,"022113",1,NA,"00010","0000001000","0000010000"
1000062149,"022111",1,NA,"00300","0000000200","0000060000"
1000063062,"022112",1,NA,"00300","0000000250","0000075000"
1000063064,"022112",1,NA,"00800","0000000250","0000200000"
1000065051,"022111",1,NA,"00080","0000000250","0000020000"
1000066159,"022112",1,NA,"00388","0000000200","0000077600"
1000067057,"022111",1,NA,"00300","0000000500","0000150000"
