"address","dycol01","dycol02","dycol03","dycol04"
1000001171,"042111",NA,NA,"0002000000"
1000001171,"044111",NA,1,"0000080000"
1000001171,"044311",NA,1,"0000020000"
1000001171,"045111",NA,1,"0000100000"
1000001171,"045211",NA,1,"0000120000"
1000001172,"042111",NA,NA,"0002400000"
1000001172,"044111",NA,1,"0000075000"
1000001172,"044311",NA,1,"0000030000"
1000001177,"042111",NA,NA,"0004000000"
1000001177,"045211",NA,1,"0000450000"
1000001180,"042111",NA,NA,"0002200000"
1000001181,"042111",NA,NA,"0003600000"
1000001181,"044111",NA,1,"0000054000"
1000001181,"044311",NA,1,"0000014000"
1000001181,"045211",NA,1,"0000170000"
1000002113,"042111",NA,NA,"0003000000"
1000002113,"044111",NA,1,"0000027000"
1000002113,"044311",NA,1,"0000013000"
1000002113,"045111",NA,1,"0000029000"
1000002113,"045211",NA,1,"0000080000"
1000002113,"045314",NA,1,"0000010000"
1000002116,"042214",NA,8,"0001500000"
1000002116,"044111",NA,1,"0000035000"
1000002116,"044311",NA,1,"0000005700"
1000002116,"045111",NA,1,"0000064000"
1000002116,"045211",NA,1,"0000046000"
1000002119,"041111",NA,1,"0001200000"
1000002119,"042212","0005000000",1,"0000150000"
1000002119,"044111",NA,1,"0000040000"
1000002119,"044311",NA,1,"0000013500"
1000002119,"045111",NA,1,"0000050000"
1000002119,"045211",NA,1,"0000020000"
1000002124,"042111",NA,NA,"0004500000"
1000002124,"044111",NA,1,"0000040000"
1000002124,"044311",NA,1,"0000015000"
1000002124,"044418",NA,1,"0000005000"
1000002124,"045111",NA,1,"0000045000"
1000002127,"042111",NA,NA,"0002500000"
1000002127,"044111",NA,1,"0000040000"
1000002127,"044311",NA,1,"0000014710"
1000002127,"045111",NA,1,"0000120000"
1000002127,"045211",NA,1,"0000130000"
1000003140,"042111",NA,NA,"0001200000"
1000003140,"044111",NA,1,"0000040000"
1000003140,"045111",NA,1,"0000045000"
1000003140,"045211",NA,1,"0000030000"
1000003143,"042111",NA,NA,"0000900000"
