"Address","DYCOL01","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10"
1000073111,"01",1,1,"30","1","2","214",1,1
1000073111,"02",2,2,"22","1","1","323",4,1
1000073111,"03",3,1,"03",NA,NA,NA,NA,NA
1000073119,"01",1,1,"49","1","2","512",1,1
1000073119,"02",2,2,"49","1","2","106",5,1
1000073119,"03",3,1,"26","1","2","214",2,3
1000073119,"04",3,1,"22","1","2","511",6,4
1000073119,"05",3,1,"17","1","1","312",4,4
1000073109,"01",1,1,"58","1","2","214",3,1
1000073109,"02",2,2,"52","1","2","106",5,1
1000073109,"03",3,1,"27","1","2","512",1,4
1000073109,"04",3,2,"21","1","2","522",5,4
1000109153,"01",1,1,"32","1","2","214",1,1
1000109153,"02",2,2,"26","1","2","313",5,1
1000109153,"03",3,1,"08","1","1","101",NA,NA
1000109153,"04",3,1,"06","1","1","101",NA,NA
1000109155,"01",1,1,"37","1","2","512",1,1
1000109155,"02",2,2,"29","1","2","313",5,1
1000109155,"03",3,2,"08","1","1","102",NA,NA
1000109155,"04",3,2,"02",NA,NA,NA,NA,NA
1000109148,"01",1,1,"51","1","2","512",1,1
1000109148,"02",2,2,"45","1","2","214",5,1
1000109148,"03",3,1,"23","1","2","214",1,4
1000109148,"04",3,1,"15","1","1","311",4,4
1000109148,"05",3,2,"13","1","1","212",4,4
1000109162,"01",1,2,"76","2",NA,NA,3,2
1000109162,"02",3,2,"46","2",NA,NA,5,4
1000109157,"01",1,1,"58","1","2","106",1,1
1000109157,"02",2,2,"49","1","2","106",5,1
1000109157,"03",3,1,"24","1","2","214",1,1
1000109157,"04",3,2,"23","1","2","512",2,1
1000109157,"05",3,1,"22","1","2","214",2,4
1000109157,"06",3,1,"16","1","1","311",4,4
1000109157,"07",3,1,"06","1","1","002",NA,NA
1000037056,"01",1,1,"42","1","2","514",1,1
1000037056,"02",2,2,"35","1","2","317",5,1
1000037056,"03",3,2,"13","1","1","212",4,4
1000037059,"01",1,1,"62","1","2","107",1,1
1000037059,"02",2,2,"57","1","2","107",5,1
1000037059,"03",3,1,"27","1","2","512",1,4
1000037059,"04",3,1,"22","2",NA,NA,1,4
1000037052,"01",1,1,"54","1","2","106",1,1
1000037052,"02",2,2,"47","1","2","106",5,1
1000037052,"03",3,1,"20","1","1","324",1,4
1000037049,"01",1,1,"82","2",NA,NA,3,1
1000037049,"02",2,2,"74","2",NA,NA,5,1
1000037062,"01",1,1,"54","1","2","214",1,1
1000037062,"02",2,2,"48","1","2","107",5,1
1000037062,"03",3,1,"27","1","2","214",1,4
1000037062,"04",3,2,"22","1","1","511",4,4
1000037062,"05",3,1,"10","1","1","104",4,4
1000025204,"01",1,1,"40","1","2","106",2,1
1000025204,"02",2,2,"53","1","2","106",5,1
1000025204,"03",3,1,"19","1","1","314",4,4
1000025204,"04",3,2,"16","1","1","312",4,4
1000025204,"05",3,2,"15","1","1","311",4,4
1000025198,"01",1,2,"55","1","2","107",3,2
1000025198,"02",3,1,"24","1","2","324",2,1
1000025200,"01",1,1,"37","2",NA,NA,1,1
1000025200,"02",2,2,"37","1","2","106",5,1
