"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4"
2000081293,"04","درامد بدون كار",1,2,NA,1,NA,1,NA,NA,NA,"004649","294",4,621,1,"Admin",NA,"Admin",NA
2000105234,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,199,1,"Admin",NA,"Admin",NA
2000021009,"04","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,371,1,"Admin",NA,"Admin",NA
2000141155,"04","كشاورز",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,72,0,"Admin",NA,"Admin",NA
2000033062,"04","چوپان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,68,0,"Admin",NA,"Admin","Admin"
2000105222,"04","زارع",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,79,0,"Admin",NA,"Admin",NA
2000093006,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,168,1,"Admin",NA,"Admin","Admin"
2000033064,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,259,1,"Admin",NA,"Admin","Admin"
2000141148,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,45,0,"Admin",NA,"Admin",NA
2000057158,"04","مدير عامل",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,77,0,"Admin",NA,"Admin",NA
2000021017,"04","كارگر ساختمان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,74,0,"Admin",NA,"Admin","Admin"
2000033051,"04","كشاورز",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,54,0,"Admin",NA,"Admin",NA
2000141158,"04","كشاورز",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,93,0,"Admin",NA,"Admin","Admin"
2000093010,"04","كشاورزي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,135,0,"Admin",NA,"Admin",NA
2000141151,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,81,0,"Admin",NA,"Admin",NA
2000129109,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,52,0,"Admin",NA,"Admin","Admin"
2000045119,"04","كشاورز",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,84,0,"Admin",NA,"Admin","Admin"
2000137059,"03","كشاورز",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,73,0,"Admin",NA,"Admin",NA
2000137056,"03","كشاورز",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,602,1,"Admin",NA,"Admin",NA
2000137068,"03","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,54,0,"Admin",NA,"Admin",NA
2000137062,"03","كارگر كشاورزي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,61,0,"Admin",NA,"Admin",NA
2000137065,"04","كارگر ساختمان",1,2,NA,1,NA,1,NA,NA,NA,"000526","066",5,84,0,"Admin",NA,"Admin",NA
2000081297,"04","كشاورز",1,2,NA,7,"50",1,NA,NA,NA,"004649","296",4,53,0,"Admin",NA,"Admin",NA
2000057163,"04","راننده تاكسي",1,2,NA,7,"50",1,NA,NA,NA,"002099","164",5,81,0,"Admin",NA,"Admin","Admin"
2000057156,"04","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,220,1,"Admin",NA,"Admin","Admin"
2000069147,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,286,1,"Admin",NA,"Admin",NA
2000153057,"04","كشاورز",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,52,0,"Admin",NA,"Admin",NA
