"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4"
1000069165,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,506,0,"Admin",NA,"Admin","Admin"
1000105015,"04","كارگر كارخانه",1,2,NA,7,"30",NA,NA,NA,NA,NA,NA,4,214,1,"Admin",NA,"Admin",NA
1000093161,"04","جوشكار",1,2,NA,7,"30",NA,NA,NA,NA,NA,NA,5,212,1,"Admin",NA,"Admin","Admin"
1000105018,"04","كارگر گلخانه",1,2,NA,1,NA,1,NA,NA,NA,"000024","017",4,273,1,"Admin",NA,"Admin",NA
1000069176,"04","زارع",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,147,1,"Admin",NA,"Admin",NA
1000069173,"04","كارگر روزمزد",1,2,NA,7,"50",1,NA,NA,NA,"000008","172",4,76,0,"Admin",NA,"Admin",NA
1000105008,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,55,0,"Admin",NA,"Admin","Admin"
1000081112,"04","راننده اتوبوس",1,2,NA,1,NA,1,NA,NA,NA,"000017","114",4,65,0,"Admin",NA,"Admin",NA
1000081109,"04","راننده ليفتراك",1,2,NA,1,NA,1,NA,NA,NA,"000017","111",4,67,0,"Admin",NA,"Admin",NA
1000089006,"03","سازمان انرژي نوين",1,2,NA,1,NA,1,NA,NA,NA,"000001","005",4,70,0,"Admin",NA,"Admin",NA
1000097171,"02","قصاب",1,2,NA,7,"30",NA,NA,NA,NA,NA,NA,5,75,0,"Admin",NA,"Admin",NA
1000105012,"04","رفتگر",1,2,NA,7,"30",NA,NA,NA,NA,NA,NA,5,220,1,"Admin",NA,"Admin",NA
1000009004,"04","راننده",1,2,NA,7,"30",NA,NA,NA,NA,NA,NA,4,239,1,"Admin",NA,"Admin",NA
1000009010,"04","بازنشسته",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,189,1,"Admin",NA,"Admin","Admin"
1000045174,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,75,0,"Admin",NA,"Admin","Admin"
1000045164,"04","فروشنده سيار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,206,2,"Admin",NA,"Admin","Admin"
1000093155,"04","نگهبان",1,2,NA,1,NA,1,NA,NA,NA,"000002","154",4,87,0,"Admin",NA,"Admin",NA
1000093153,"04","درامد بدون كار",1,2,NA,1,NA,1,NA,NA,NA,"000002","151",4,172,1,"Admin",NA,"Admin",NA
1000017112,"03","درامد بدون كار",1,2,NA,1,NA,1,NA,NA,NA,"000001","111",4,264,1,"Admin",NA,"Admin",NA
1000045167,"04","راننده اژانس",1,2,NA,7,"30",NA,NA,NA,NA,NA,NA,4,348,1,"Admin",NA,"Admin",NA
1000021243,"04","بازنشسته",1,2,NA,7,"50",1,NA,NA,NA,"000004","242",5,186,1,"Admin",NA,"Admin",NA
1000069168,"04","درامد بدون كار",1,2,NA,7,"50",1,NA,NA,NA,"000008","166",5,348,1,"Admin",NA,"Admin",NA
1000081115,"04","اپراتور كوره",1,2,NA,1,NA,1,NA,NA,NA,"000017","117",4,163,1,"Admin",NA,"Admin",NA
1000093159,"04","بنا",1,2,NA,7,"30",NA,NA,NA,NA,NA,NA,5,235,1,"Admin",NA,"Admin",NA
1000057005,"04","خوار وبار فروش",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,279,1,"Admin",NA,"Admin",NA
1000057015,"04","راننده تاكسي",1,2,NA,7,"30",NA,NA,NA,NA,NA,NA,5,237,1,"Admin",NA,"Admin",NA
1000045177,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,234,1,"Admin",NA,"Admin",NA
1000021240,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,246,1,"Admin",NA,"Admin","Admin"
1000057010,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,182,1,"Admin",NA,"Admin","Admin"
1000057009,"04","بازنشسته",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,264,1,"Admin",NA,"Admin","Admin"
1000057016,"04","درامد بدون كار",1,2,NA,7,"30",NA,NA,NA,NA,NA,NA,4,237,2,"Admin",NA,"Admin",NA
1000081118,"04","بسته بند",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,316,1,"Admin",NA,"Admin","Admin"
1000009015,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,134,1,"Admin",NA,"Admin",NA
1000009016,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,269,1,"Admin",NA,"Admin",NA
1000081106,"04","كارگر تراشكار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,64,0,"Admin",NA,"Admin","Admin"
1000021247,"04","درامد بدون كار",1,2,NA,7,"30",NA,NA,NA,NA,NA,NA,4,153,1,"Admin",NA,"Admin",NA
1000021250,"04","تعمير كار خودرو",1,2,NA,1,NA,1,NA,NA,NA,"000005","248",5,67,0,"Admin",NA,"Admin",NA
1000053053,"03","كارگر ساختمان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,218,1,"Admin",NA,"Admin","Admin"
1000021251,"04","كارمند بانك",1,2,NA,7,"30",NA,NA,NA,NA,NA,NA,4,219,1,"Admin",NA,"Admin",NA
1000033122,"04","تاسيشات گاز",1,2,NA,7,"30",NA,NA,NA,NA,NA,NA,5,76,0,"Admin",NA,"Admin","Admin"
1000069171,"04","كشاورز",1,2,NA,7,"40",NA,NA,NA,NA,NA,NA,4,232,1,"Admin",NA,"Admin","Admin"
1000033120,"04","راننده تاكسي",1,2,NA,7,"30",NA,NA,NA,NA,NA,NA,5,183,1,"Admin",NA,"Admin",NA
1000093148,"04","تعمير لودر",1,2,NA,1,NA,1,NA,NA,NA,"000002","149",5,66,0,"Admin",NA,"Admin","Admin"
