"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4","Tekrari"
2000157154,"02","كارگر كشاورزي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,59,0,"Admin",NA,"Admin","Admin",NA
2000157163,"02","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,60,0,"Admin",NA,"Admin","Admin",NA
2000157162,"02","كارگر ساختمانمي",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,683,1,"Admin",NA,"Admin","Admin",1
2000157157,"02","زارع",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,133,1,"Admin",NA,"Admin","Admin",NA
2000157167,"02","كشاورز",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,261,1,"Admin",NA,"Admin","Admin",NA
2000061014,"02","زراعت كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,159,1,"Admin",NA,"Admin","Admin",NA
2000061007,"02","كشاورز",1,2,NA,1,NA,1,NA,NA,NA,"001900","009",5,65,0,"Admin",NA,"Admin","Admin",NA
2000061011,"02","كشاورز",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,196,1,"Admin",NA,"Admin","Admin",NA
2000061021,"02","كشاورز",1,2,NA,2,NA,1,NA,NA,NA,"001901","020",4,246,1,"Admin",NA,"Admin","Admin",NA
2000061018,"02","از كار افتاده",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,87,0,"Admin",NA,"Admin","Admin",NA
2000085168,"02","زارع",1,2,NA,2,NA,1,NA,NA,NA,"004396","166",5,115,1,"Admin",NA,"Admin","Admin",NA
2000085169,"02","زارع",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,120,1,"Admin",NA,"Admin","Admin",NA
2000085174,"02","زارع",1,2,NA,3,NA,1,NA,NA,NA,"004396","173",5,172,1,"Admin",NA,"Admin","Admin",NA
