"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06"
22501650308,"022111",1,NA,"00600","0000002000","0001200000"
22501651108,"022111",1,NA,"00200","0000002500","0000500000"
22501653102,"022111",1,NA,"00600","0000002000","0001200000"
22501654305,"022111",1,NA,"00600","0000002500","0001500000"
22501651508,"022111",1,NA,"00600","0000001600","0000960000"
22501653905,"022111",1,NA,"00600","0000001800","0001080000"
22601654608,"022111",1,NA,"00200","0000002000","0000400000"
22601654608,"023111",1,NA,NA,NA,"0001500000"
22602658208,"023111",1,NA,NA,NA,"0001000000"
22602658211,"022113",1,NA,"00600","0000002500","0001500000"
22604661802,"022111",1,NA,"00300","0000002500","0000750000"
22606664214,"022113",1,NA,"00090","0000003500","0000315000"
22601654605,"022111",1,NA,"00300","0000001750","0000525000"
22601655802,"022113",1,NA,"00600","0000002500","0001500000"
22603659402,"022113",1,NA,"00600","0000002500","0001500000"
22604661814,"022113",1,NA,"00600","0000002500","0001500000"
22605663002,"022113",1,NA,"00600","0000005000","0003000000"
22601655002,"022111",1,NA,"00300","0000002500","0000750000"
22601655005,"022113",1,NA,"00600","0000002500","0001500000"
22602656602,"022113",1,NA,"00600","0000002500","0001500000"
22602656602,"023111",1,NA,NA,NA,"0003000000"
22604661402,"022113",1,NA,"00600","0000002500","0001500000"
22602657411,"022113",1,NA,"00080","0000002500","0000200000"
22603659805,"022113",1,NA,"00150","0000002000","0000300000"
22603659817,"022111",1,NA,"00600","0000001750","0001050000"
22601656211,"022113",1,NA,"00600","0000003500","0002100000"
22602656605,"022113",1,NA,"00800","0000002250","0001800000"
22602656611,"022113",1,NA,"00600","0000002500","0001500000"
22602657002,"022113",1,NA,"00300","0000002500","0000750000"
22602657008,"022113",1,NA,"00900","0000003000","0002700000"
22603660614,"022113",1,NA,"00600","0000004000","0002400000"
22603660617,"022113",1,NA,"00090","0000002000","0000180000"
22605663405,"022113",1,NA,"00200","0000002500","0000500000"
22604662214,"022111",1,NA,"00600","0000001500","0000900000"
22602657005,"022113",1,NA,"00600","0000002000","0001200000"
22602657017,"022113",1,NA,"00600","0000002500","0001500000"
22602657017,"023111",1,NA,NA,NA,"0002000000"
22603658608,"022111",1,NA,"00600","0000002500","0001500000"
22603660602,"022113",1,NA,"00600","0000002000","0001200000"
