"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4","Tekrari"
1000033120,"04","صافاري",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,244,1,"Admin",NA,"Admin","Admin",1
1000049213,"02","كارمند خدمات تعاوني مسكن",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,85,0,"Admin",NA,"Admin","Admin",NA
1000049203,"02","راننده كاميون",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,114,1,"Admin",NA,"Admin","Admin",NA
1000049215,"02","حراست سازمان اب",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,79,0,"Admin",NA,"Admin","Admin",NA
1000049209,"02","فروش لوازم الكتريكي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,132,1,"Admin",NA,"Admin","Admin",NA
1000049206,"02","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,40,0,"Admin",NA,"Admin","Admin",NA
1000001188,"02","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,117,1,"Admin",NA,"Admin","Admin",NA
1000001180,"02","كارمند دفتر مسافرت هوايي",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,53,0,"Admin",NA,"Admin","Admin",1
1000001181,"02","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,115,1,"Admin",NA,"Admin","Admin",NA
1000001184,"02","سرباز",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,53,0,"Admin",NA,"Admin","Admin",1
1000001177,"02","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,184,1,"Admin",NA,"Admin","Admin",NA
1000097171,"02","قصاب",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,113,1,"Admin",NA,"Admin","Admin",NA
1000097174,"02","زارع",1,2,NA,1,NA,1,NA,NA,NA,"000005","173",5,56,0,"Admin",NA,"Admin","Admin",NA
1000097175,"02","درامد بدون كار",1,2,NA,1,NA,1,NA,NA,NA,"000005","177",5,124,1,"Admin",NA,"Admin","Admin",NA
1000097168,"02","سوپرماركت",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,559,1,"Admin",NA,"Admin","Admin",NA
1000097178,"02","معاون مدرسه",1,2,NA,1,NA,1,NA,NA,NA,"000005","179",4,65,0,"Admin",NA,"Admin","Admin",NA
1000085174,"02","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,178,1,"Admin",NA,"Admin","Admin",NA
1000085168,"02","توليد سيم برق",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,107,1,"Admin",NA,"Admin","Admin",NA
1000085171,"02","رئيس تعميرات ونگهداري",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,77,0,"Admin",NA,"Admin","Admin",NA
1000085162,"02","تلفنچي هنرستان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,110,1,"Admin",NA,"Admin","Admin",NA
1000085164,"02","اپراتور شركت سالمين",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,134,1,"Admin",NA,"Admin","Admin",NA
1000037057,"02","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,54,0,"Admin",NA,"Admin","Admin",NA
1000037068,"02","اداره برق",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,259,1,"Admin",NA,"Admin","Admin",1
