"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4","Tekrari","Bakhsh","ShrDeh","Hozeh","BlkAbd","AbdName"
20001011013,"02","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,159,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
20007018720,"02","درامد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,194,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
20001011012,"02","درامد بدون کار",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,211,1,"Admin",NA,"Admin","Admin",1,NA,NA,NA,NA,NA
20007018716,"02","کارگر ساده",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,222,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
20002012213,"02","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,219,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
20002012220,"02","درامد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,39,0,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
20002012216,"02","کارگر کشاورزري",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,360,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
20002012208,"02","درامد بدو ن کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,64,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
20002012212,"02","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,165,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
20004013412,"02","درامد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,314,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
