"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4","Tekrari","Bakhsh","ShrDeh","Hozeh","BlkAbd","AbdName"
10010008508,"02","درامد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,231,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10010008516,"02","درامد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,374,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10006006116,"02","راننده",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,152,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10006006112,"02","حسابدار",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,257,1,"Admin",NA,"Admin",NA,1,NA,NA,NA,NA,NA
10006006120,"02","بوتان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,66,0,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10012009720,"02","باغبان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,192,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10007007313,"02","شرک نفت",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,291,2,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10007007316,"02","برنامه ريز تعميرات",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,177,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10006006123,"02","بازنشسته",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,171,1,"Admin",NA,"Admin","Admin",1,NA,NA,NA,NA,NA
10006006108,"02","انبار دار",1,2,NA,1,NA,1,NA,NA,NA,"000001","07",4,211,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10007007312,"02","درامد بدون کار",1,2,NA,3,NA,1,NA,NA,NA,"000014","10",5,77,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10007007307,"02","درامد بدون کار",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,314,1,"Admin",NA,"Admin","Admin",1,NA,NA,NA,NA,NA
10007007323,"02","تعمير کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,169,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
