"Address","DYCOL01","DYCOL02","DYCOL03"
10005004508,"04","21",NA
10005004508,"04","29",NA
10005004508,"04","28",NA
10005004508,"04","27",NA
10005004508,"04","26",NA
10005004508,"04","25",NA
10005004508,"04","24",NA
10005004508,"04","01",NA
10005004508,"04","22",NA
10005004508,"04","20",NA
10005004508,"04","19",NA
10005004508,"04","18",NA
10005004508,"04","17",NA
10005004508,"04","16",NA
10005004508,"04","03",NA
10005004508,"04","23",NA
10005004508,"04","02",26700000
10005004508,"04","15",NA
10001002516,"03","01",NA
10001002516,"03","02",NA
10001002516,"03","03",NA
10001002516,"03","04",NA
10001002516,"03","05",NA
10001002516,"03","06",NA
10001002516,"03","07",NA
10001002516,"03","08",NA
10001002516,"03","09",NA
10001002516,"03","10",NA
10001002516,"03","11",NA
10001002516,"03","12",NA
10001002516,"03","13",NA
10001002516,"03","14",NA
10001002516,"03","15",NA
10001002516,"03","16",NA
10001002516,"03","17",NA
10001002516,"03","18",NA
10001002516,"03","19",NA
10001002516,"03","20",3e+07
10001002516,"03","21",NA
10001002516,"03","22",NA
10001002516,"03","23",NA
10001002516,"03","24",NA
10001002516,"03","25",NA
10001002516,"03","26",NA
10001002516,"03","27",NA
10001002516,"03","28",NA
10005004508,"04","04",NA
10005004508,"04","05",NA
10005004508,"04","06",NA
10005004508,"04","07",NA
10005004508,"04","09",NA
10005004508,"04","10",NA
10005004508,"04","11",NA
10005004508,"04","12",NA
10005004508,"04","13",NA
10005004508,"04","14",NA
10005004508,"04","08",NA
10005004508,"06","03",NA
10005004508,"06","13",NA
10005004508,"06","12",NA
10005004508,"06","11",NA
10005004508,"06","10",NA
10005004508,"06","09",NA
10005004508,"06","08",NA
10005004508,"06","07",NA
10005004508,"06","06",NA
10005004508,"06","01",NA
10005004508,"06","04",NA
10005004508,"06","02",26700000
10005004508,"06","16",NA
10005004508,"06","05",NA
10005004508,"06","28",NA
10005004508,"06","14",NA
10005004508,"06","15",NA
10005004508,"06","29",NA
10005004508,"06","27",NA
10005004508,"06","26",NA
10005004508,"06","25",NA
10005004508,"06","24",NA
10005004508,"06","22",NA
10005004508,"06","21",NA
10005004508,"06","20",NA
10005004508,"06","19",NA
10005004508,"06","18",NA
10005004508,"06","23",NA
10005004508,"06","17",NA
10005004508,"07","25",NA
10005004508,"07","17",NA
10005004508,"07","18",NA
10005004508,"07","19",NA
10005004508,"07","20",NA
10005004508,"07","28",NA
10005004508,"07","21",NA
10005004508,"07","22",NA
10005004508,"07","27",NA
10005004508,"07","24",NA
10005004508,"07","26",NA
10005004508,"07","16",NA
10005004508,"07","07",NA
10005004508,"07","23",NA
10005004508,"07","15",NA
10005004508,"07","14",NA
10005004508,"07","13",NA
10005004508,"07","12",NA
10005004508,"07","11",NA
10005004508,"07","10",NA
10005004508,"07","08",NA
10005004508,"07","06",NA
10005004508,"07","05",NA
10005004508,"07","04",NA
10005004508,"07","03",NA
10005004508,"07","02",26700000
10005004508,"07","01",NA
10005004508,"07","29",NA
10005004508,"07","09",NA
