"Address","DYCOL01","DYCOL02","DYCOL03"
20004013413,"083111",1,"0000105000"
20004013413,"083114",1,"0000020000"
20013023318,"083114",1,"0000150000"
20013023329,"083112",1,"0000190000"
20013023329,"083114",1,"0000250000"
20013023313,"083112",1,"0000070000"
20013023323,"083112",1,"0000200000"
20013023323,"083114",1,"0000400000"
20002012229,"083112",1,"0000180000"
20002012229,"083114",1,"0000300000"
20007017413,"082116",1,"0000200000"
20007017413,"083114",1,"0000150000"
20007017416,"083112",1,"0000045000"
20007017416,"083114",1,"0000070000"
20007017425,"083112",1,"0000100000"
20007017425,"083114",1,"0000100000"
20002012219,"083112",1,"0000200000"
20002012219,"083114",1,"0000220000"
20002012225,"083112",1,"0000060000"
20002012213,"083112",1,"0000300000"
20002012213,"083114",1,"0000300000"
20007017420,"083112",1,"0000080000"
20007017420,"083114",1,"0000120000"
20002012220,"083112",1,"0000150000"
20002012220,"083114",1,"0000200000"
20002012216,"083114",1,"0000100000"
20007017429,"083112",1,"0000080000"
20007017429,"083114",1,"0000120000"
20007017423,"083112",1,"0000110000"
20007017423,"083114",1,"0000250000"
20001011016,"083112",1,"0000060000"
20001011016,"083114",1,"0000080000"
20001011025,"083112",1,"0000070000"
20001011025,"083114",1,"0000120000"
20001011020,"083114",1,"0000100000"
20007018725,"083112",1,"0000400000"
20007018725,"083114",1,"0000100000"
20007018716,"083112",1,"0000260000"
20007018716,"083114",1,"0000600000"
20007018720,"083114",1,"0000300000"
20007018713,"083112",1,"0000300000"
20007018713,"083114",1,"0000100000"
20011021220,"083114",1,"0000350000"
20011021229,"083112",1,"0000250000"
20011021229,"083114",1,"0000040000"
20011021229,"083115",1,"0000090000"
20006016213,"083112",1,"0000050000"
20006016213,"083114",1,"0000300000"
20006016229,"083112",1,"0000070000"
20006016229,"083114",1,"0000150000"
20006016220,"083112",1,"0000100000"
20006016220,"083114",1,"0000500000"
20006016217,"083112",1,"0000020000"
20006016217,"083114",1,"0000250000"
20006016221,"083112",1,"0000080000"
20006016221,"083114",1,"0000200000"
20004013423,"083112",1,"0000090000"
20004013423,"083114",1,"0000020000"
20004013420,"083112",1,"0000120000"
20004013420,"083114",1,"0000100000"
20001010816,"083112",1,"0000040000"
20001010816,"083114",1,"0000100000"
20001010820,"083112",1,"0000075000"
20004014715,"083112",1,"0000160000"
20004014715,"083114",1,"0000300000"
20001010825,"083112",1,"0000180000"
20001010825,"083114",1,"0000240000"
20001010813,"083112",1,"0000180000"
20010019923,"083112",1,"0000300000"
20010019923,"083114",1,"0000200000"
20010019925,"083114",1,"0000020000"
20004014716,"083112",1,"0000240000"
20004014716,"083114",1,"0000450000"
20007018723,"083112",1,"0000130000"
20007018723,"083114",1,"0000700000"
20006016225,"083112",1,"0000200000"
20006016225,"083114",1,"0000150000"
20012022116,"083112",1,"0000150000"
20012022116,"083114",1,"0000040000"
20012022122,"083112",1,"0000100000"
20012022125,"083112",1,"0000120000"
20012022125,"083114",1,"0000050000"
20012022129,"083114",1,"0000050000"
20012022120,"083112",1,"0000060000"
20012022120,"083114",1,"0000020000"
20012022115,"083114",1,"0000100000"
20001010823,"083112",1,"0000115000"
20001010823,"083114",1,"0000170000"
20001010829,"083112",1,"0000180000"
20001010829,"083114",1,"0000100000"
20010019920,"083112",1,"0000500000"
20010019920,"083114",1,"0000200000"
20011021218,"083114",1,"0000200000"
20011021225,"083114",1,"0000100000"
20011021223,"083114",1,"0000150000"
20011021214,"083113",1,"0000200000"
20011021214,"083114",1,"0000110000"
20010019918,"083112",1,"0000100000"
20010019918,"083114",1,"0000050000"
20010019915,"083112",1,"0000150000"
20010019915,"083114",1,"0000200000"
20007018729,"083114",1,"0000050000"
20001010529,"083112",1,"0000128000"
20001010129,"083112",1,"0000060000"
20001010129,"083114",1,"0000100000"
20006015819,"083114",1,"0000100000"
20003012623,"083112",1,"0000250000"
20003012623,"083114",1,"0000150000"
20009019125,"083112",1,"0000087000"
20009019125,"083114",1,"0000230000"
20007018322,"083112",1,"0000050000"
20007018322,"083114",1,"0000100000"
20006016619,"083114",1,"0000120000"
20006015829,"083112",1,"0000100000"
20006015829,"083114",1,"0000200000"
20006016616,"083112",1,"0000100000"
20006016616,"083114",1,"0000200000"
20003012618,"083112",1,"0000150000"
20003012618,"083114",1,"0000200000"
20005015323,"083112",1,"0000150000"
20005015323,"083114",1,"0000100000"
20006016613,"083112",1,"0000150000"
20006016613,"083114",1,"0000200000"
20001010123,"083112",1,"0000300000"
20001010123,"083114",1,"0000150000"
20009019123,"083112",1,"0000300000"
20009019123,"083114",1,"0000400000"
20001010525,"083112",1,"0000230000"
20001010525,"083114",1,"0000200000"
20001010523,"083112",1,"0000220000"
20001010523,"083114",1,"0000500000"
20001010520,"083112",1,"0000150000"
20001010520,"083114",1,"0000130000"
20001010516,"083112",1,"0000100000"
20001010516,"083114",1,"0000075000"
20001010513,"083114",1,"0000180000"
20004013429,"083112",1,"0000100000"
20004013429,"083114",1,"0000050000"
20004013425,"083112",1,"0000165000"
20004013425,"083114",1,"0000100000"
20001011820,"083112",1,"0000050000"
20001011820,"083114",1,"0000100000"
20001011815,"083112",1,"0000085000"
20001011815,"083114",1,"0000250000"
20004013417,"083112",1,"0000150000"
20004013417,"083114",1,"0000020000"
20001011813,"082116",1,"0000250000"
20001011813,"083112",1,"0000080000"
20001011813,"083114",1,"0000200000"
20012022913,"083112",1,"0000137000"
20012022913,"083114",1,"0000200000"
20011020816,"083112",1,"0000200000"
20011020816,"083114",1,"0000100000"
20011020829,"083112",1,"0000085000"
20011020829,"083114",1,"0000150000"
20011020825,"083114",1,"0000380000"
20001011823,"083112",1,"0000090000"
20001011823,"083114",1,"0000250000"
20011020820,"083112",1,"0000140000"
20011020820,"083114",1,"0000040000"
20012022925,"083114",1,"0000300000"
20012022920,"083114",1,"0000150000"
20012022916,"083112",1,"0000070000"
20012022916,"083114",1,"0000100000"
20009019523,"083112",1,"0000400000"
20009019523,"083114",1,"0000060000"
20004014323,"083112",1,"0000500000"
20004014323,"083114",1,"0001000000"
20009019520,"083112",1,"0000150000"
20009019520,"083114",1,"0000300000"
20013024125,"083112",1,"0000150000"
20013024125,"083114",1,"0000100000"
20013024113,"083112",1,"0000100000"
20013024129,"083112",1,"0000110000"
20013024129,"083114",1,"0000130000"
20004014329,"083112",1,"0000250000"
20004014329,"083114",1,"0000270000"
20004014325,"083112",1,"0000150000"
20004014325,"083114",1,"0000150000"
20004014313,"083112",1,"0000060000"
20004014313,"083114",1,"0000100000"
20007018313,"083112",1,"0000120000"
20007018313,"083114",1,"0000150000"
20007018329,"083112",1,"0000050000"
20007018329,"083114",1,"0000100000"
20013024120,"083112",1,"0000110000"
20013024120,"083114",1,"0000250000"
20001011023,"083112",1,"0000103000"
20001011023,"083114",1,"0000100000"
20004014723,"083112",1,"0000180000"
20004014723,"083114",1,"0000100000"
20004014725,"083112",1,"0000060000"
20004014725,"083114",1,"0000080000"
20011020819,"083112",1,"0000150000"
20011020819,"083114",1,"0000350000"
20001011829,"083114",1,"0000100000"
20001011825,"083112",1,"0000050000"
20001011825,"083114",1,"0000100000"
20009019513,"083112",1,"0000190000"
20009019513,"083114",1,"0000200000"
20004014314,"083112",1,"0000150000"
20007018316,"083112",1,"0000050000"
20007018316,"083114",1,"0000050000"
20007018325,"083112",1,"0000080000"
20007018325,"083114",1,"0000150000"
20007018321,"083112",1,"0000080000"
20007018321,"083114",1,"0000050000"
20012021729,"083112",1,"0000200000"
20012021729,"083114",1,"0000100000"
20013024122,"083112",1,"0000150000"
20013024122,"083114",1,"0000050000"
20004014720,"083112",1,"0000300000"
20004014720,"083114",1,"0000400000"
20006015813,"083114",1,"0000250000"
20006015825,"083112",1,"0000150000"
20006015825,"083114",1,"0000120000"
20006015823,"083112",1,"0000200000"
20006015814,"083112",1,"0000080000"
20006015814,"083114",1,"0000450000"
20012021713,"083112",1,"0000200000"
20012021713,"083114",1,"0000500000"
20012021720,"083112",1,"0000050000"
20012021723,"083114",1,"0000040000"
20012021725,"083112",1,"0000500000"
20012021725,"083114",1,"0000200000"
20012021716,"083112",1,"0000050000"
20012021716,"083114",1,"0000250000"
20001011029,"083112",1,"0000230000"
20001011029,"083114",1,"0000050000"
20004014729,"083112",1,"0000040000"
20004014729,"083114",1,"0000060000"
20001011013,"083112",1,"0000080000"
20006017022,"083112",1,"0000160000"
20006017022,"083114",1,"0000030000"
20006017025,"083112",1,"0000200000"
20012022525,"083112",1,"0000380000"
20012022525,"083114",1,"0000050000"
20012022520,"083114",1,"0000040000"
20012022529,"083114",1,"0000050000"
20012022513,"083114",1,"0000040000"
20012022523,"083113",1,"0000150000"
20010020329,"083112",1,"0000200000"
20010020329,"083114",1,"0000100000"
20010020323,"083112",1,"0000100000"
20010020323,"083114",1,"0000150000"
20010020325,"083112",1,"0000150000"
20010020325,"083114",1,"0000150000"
20010020316,"083112",1,"0000300000"
20010020316,"083114",1,"0000200000"
20010020313,"083114",1,"0000050000"
20010020320,"083112",1,"0000300000"
20010020320,"083114",1,"0000270000"
20012022516,"083112",1,"0000100000"
20012022516,"083114",1,"0000050000"
20006015513,"083114",1,"0000020000"
20003013025,"083112",1,"0000300000"
20003013025,"083114",1,"0000150000"
20003013015,"083112",1,"0000030000"
20003013017,"083112",1,"0000157000"
20003013029,"083112",1,"0000486000"
20003013029,"083114",1,"0000100000"
20003013020,"083112",1,"0000100000"
20009019120,"083112",1,"0000150000"
20009019120,"083114",1,"0000100000"
20009019129,"083112",1,"0000350000"
20009019129,"083114",1,"0000600000"
20006015525,"083114",1,"0000920000"
20003012617,"083112",1,"0000400000"
20003012617,"083114",1,"0000200000"
20004013825,"083112",1,"0000200000"
20004013825,"083114",1,"0000200000"
20004013817,"083112",1,"0000050000"
20004013817,"083114",1,"0000200000"
20004013823,"083112",1,"0000200000"
20004013823,"083114",1,"0000400000"
20005015325,"083112",1,"0000250000"
20005015325,"083114",1,"0000200000"
20005015315,"083112",1,"0000075000"
20005015329,"083112",1,"0000200000"
20005015329,"083114",1,"0000100000"
20006015520,"083112",1,"0000200000"
20006015516,"083112",1,"0000060000"
20006015516,"083114",1,"0000300000"
20006015529,"083114",1,"0001500000"
20009019115,"083112",1,"0000100000"
20009019115,"083114",1,"0000100000"
20009019116,"083112",1,"0000070000"
20009019116,"083114",1,"0000050000"
20001010113,"083112",1,"0000150000"
20001010113,"083114",1,"0000220000"
20001010120,"083112",1,"0000200000"
20001010120,"083114",1,"0000140000"
20003012625,"083112",1,"0000040000"
20003012625,"083114",1,"0000050000"
20001011425,"083112",1,"0000080000"
20001011425,"083114",1,"0000100000"
20001011423,"083112",1,"0000080000"
20001011423,"083114",1,"0000050000"
20001011420,"083114",1,"0000150000"
20001011416,"083112",1,"0000090000"
20001011416,"083114",1,"0000100000"
20007017920,"083114",1,"0000050000"
20013023729,"083112",1,"0000370000"
20013023729,"083114",1,"0000300000"
20006016625,"083112",1,"0000475000"
20006016625,"083114",1,"0000100000"
20006016623,"083114",1,"0000150000"
20012022923,"083112",1,"0000800000"
20012022923,"083114",1,"0000500000"
20003012629,"083112",1,"0000020000"
20006016629,"083112",1,"0000140000"
20006016629,"083114",1,"0000100000"
20009019529,"083112",1,"0000060000"
20009019529,"083114",1,"0000100000"
20001010117,"083112",1,"0000200000"
20001010117,"083114",1,"0000100000"
20004013818,"083112",1,"0000060000"
20003012624,"083112",1,"0000230000"
20003012624,"083114",1,"0000070000"
20006015523,"083112",1,"0000400000"
20006015523,"083114",1,"0000200000"
20005015321,"083112",1,"0000080000"
20005015321,"083113",1,"0000400000"
20013023716,"083114",1,"0000300000"
20012022929,"083112",1,"0000180000"
20012022929,"083114",1,"0000460000"
20009019516,"083112",1,"0000210000"
20009019516,"083114",1,"0000300000"
20006017029,"083114",1,"0002000000"
20004014324,"083112",1,"0000150000"
20004014324,"083114",1,"0000150000"
20004013820,"083114",1,"0000250000"
20004013829,"083112",1,"0000150000"
20004013829,"083114",1,"0000300000"
20006017019,"083114",1,"0000700000"
20011020813,"083114",1,"0000100000"
20007017923,"083112",1,"0000050000"
20007017923,"083114",1,"0000050000"
20007017929,"083114",1,"0000040000"
20007017925,"083112",1,"0000120000"
20007017925,"083114",1,"0000300000"
20007017915,"083114",1,"0000050000"
20007017918,"083114",1,"0000050000"
20013023720,"083112",1,"0000300000"
20013023720,"083114",1,"0002300000"
20013023720,"083115",1,"0000140000"
20001010125,"083112",1,"0000200000"
20001010125,"083114",1,"0000100000"
20013023713,"083114",1,"0000100000"
20013023723,"083112",1,"0000150000"
20013023723,"083114",1,"0000050000"
20013023725,"083112",1,"0000290000"
20013023725,"083114",1,"0000250000"
20103035113,"083112",1,"0000015000"
20103035113,"083114",1,"0000100000"
20101033916,"083114",1,"0000030000"
20103035124,"083112",1,"0000070000"
20105037116,"083114",1,"0000330000"
20105037113,"083114",1,"0000066000"
20103035120,"083112",1,"0000080000"
20103035120,"083114",1,"0000140000"
20111041625,"083114",1,"0000100000"
20111041616,"083114",1,"0000100000"
20112042416,"083114",1,"0000165000"
20110041213,"083114",1,"0000140000"
20110040622,"083112",1,"0000047000"
20110040622,"083114",1,"0000150000"
20110040621,"083112",1,"0000060000"
20114043616,"083112",1,"0000035000"
20114043616,"083114",1,"0000400000"
20112042429,"083112",1,"0000020000"
20112042425,"083112",1,"0000050000"
20112042420,"083112",1,"0000065000"
20112042420,"083114",1,"0000060000"
20114043617,"083114",1,"0000200000"
20114043625,"083112",1,"0000300000"
20114043625,"083114",1,"0000150000"
20114043624,"083112",1,"0000250000"
20114043624,"083114",1,"0000250000"
20114043629,"083114",1,"0000600000"
20106037929,"083114",1,"0000100000"
20106037920,"083112",1,"0000140000"
20106037920,"083114",1,"0000200000"
20107038723,"083112",1,"0000260000"
20107038723,"083114",1,"0000250000"
20107038725,"083112",1,"0000100000"
20107038725,"083114",1,"0000050000"
20109039929,"083112",1,"0000050000"
20109039929,"083114",1,"0000310000"
20110040613,"083112",1,"0000040000"
20110040613,"083114",1,"0000100000"
20102034325,"083112",1,"0000180000"
20102034325,"083114",1,"0000100000"
20116044529,"083114",1,"0000200000"
20116044525,"083114",1,"0000160000"
20111042023,"083114",1,"0000100000"
20105036729,"083112",1,"0000085000"
20105036729,"083114",1,"0000255000"
20105036729,"083115",1,"0000150000"
20109040313,"083114",1,"0000200000"
20111041620,"083114",1,"0000045000"
20112042413,"083112",1,"0000070000"
20112042413,"083114",1,"0000310000"
20105036323,"083112",1,"0000025000"
20105036323,"083114",1,"0000080000"
20105037129,"083112",1,"0000025000"
20105037129,"083114",1,"0000022000"
20105037516,"083112",1,"0000015000"
20109039916,"083114",1,"0000080000"
20108039120,"083112",1,"0000100000"
20108039120,"083114",1,"0000350000"
20105036329,"083112",1,"0000110000"
20105036329,"083114",1,"0000080000"
20102034329,"083112",1,"0000200000"
20102034329,"083114",1,"0000200000"
20108039520,"083112",1,"0000050000"
20108039520,"083114",1,"0000200000"
20105037525,"083114",1,"0000600000"
20105036723,"083112",1,"0000050000"
20105036723,"083114",1,"0000350000"
20105037123,"083112",1,"0000210000"
20105037123,"083114",1,"0000600000"
20105037529,"083112",1,"0000150000"
20105037529,"083114",1,"0000400000"
20105036316,"083114",1,"0000210000"
20116044514,"083112",1,"0000070000"
20116044514,"083114",1,"0000400000"
20115044023,"083114",1,"0000120000"
20107038325,"083112",1,"0000500000"
20107038325,"083114",1,"0000500000"
20115044016,"083112",1,"0000130000"
20115044016,"083114",1,"0000100000"
20110040829,"083112",1,"0000180000"
20110040829,"083114",1,"0000300000"
20102034716,"083112",1,"0000040000"
20102034716,"083114",1,"0000300000"
20107038329,"083112",1,"0000110000"
20109040316,"083112",1,"0000150000"
20109040316,"083114",1,"0000050000"
20109040320,"083114",1,"0000150000"
20106037913,"083112",1,"0000280000"
20106037913,"083114",1,"0000120000"
20105037125,"083114",1,"0000240000"
20104035914,"083112",1,"0000500000"
20104035914,"083114",1,"0000150000"
20108039113,"083114",1,"0000150000"
20102034713,"083114",1,"0000160000"
20102034723,"083114",1,"0000210000"
20111042013,"083112",1,"0000100000"
20108039114,"083114",1,"0000120000"
20113043220,"083112",1,"0000200000"
20113043220,"083114",1,"0000100000"
20111042029,"083112",1,"0000250000"
20105037120,"083114",1,"0000200000"
20111042025,"083114",1,"0000130000"
20104035915,"083112",1,"0000230000"
20104035915,"083114",1,"0000150000"
20115044021,"083114",1,"0000700000"
20110040817,"083112",1,"0000400000"
20110040817,"083114",1,"0000500000"
20110040817,"083115",1,"0000200000"
20104035517,"083114",1,"0000088000"
20101033925,"083114",1,"0000320000"
20101033929,"083114",1,"0000500000"
20102034316,"083112",1,"0000060000"
20102034316,"083114",1,"0000050000"
20102034320,"083114",1,"0000300000"
20102034720,"083114",1,"0000150000"
20102034725,"083112",1,"0000220000"
20102034725,"083114",1,"0000300000"
20104035513,"083114",1,"0000150000"
20104035529,"083114",1,"0000200000"
20104035521,"083114",1,"0000060000"
20104035920,"083112",1,"0000057000"
20104035920,"083114",1,"0000080000"
20104035929,"083112",1,"0000200000"
20104035929,"083114",1,"0000600000"
20104035925,"083112",1,"0000105000"
20104035925,"083114",1,"0000140000"
20105036313,"083114",1,"0000420000"
20105036320,"083112",1,"0000010000"
20105036320,"083114",1,"0000080000"
20105036325,"083114",1,"0000060000"
20104035525,"083114",1,"0000200000"
20104035922,"083114",1,"0000100000"
20103035129,"083112",1,"0000018000"
20103035129,"083114",1,"0000320000"
20109039913,"083114",1,"0000160000"
20105036725,"083112",1,"0000250000"
20105036725,"083114",1,"0000630000"
20105036725,"083115",1,"0000200000"
20113043229,"083112",1,"0000055000"
20113043229,"083114",1,"0000530000"
20105036713,"083112",1,"0000120000"
20105036713,"083114",1,"0000320000"
20111041613,"083114",1,"0000400000"
20108039125,"083114",1,"0000042000"
20101033920,"083112",1,"0000170000"
20101033920,"083114",1,"0000200000"
20107038729,"083112",1,"0000020000"
20107038729,"083114",1,"0000050000"
20105036719,"083114",1,"0000280000"
20105037513,"083112",1,"0000075000"
20105037513,"083114",1,"0000250000"
20105037519,"083112",1,"0000270000"
20105037519,"083114",1,"0000190000"
20105037523,"083112",1,"0000160000"
20105037523,"083114",1,"0000180000"
20107038314,"083112",1,"0000350000"
20107038314,"083114",1,"0000200000"
20107038720,"083112",1,"0000043000"
20107038720,"083114",1,"0000400000"
20108039129,"083114",1,"0000044000"
20108039529,"083114",1,"0000230000"
20109039920,"083112",1,"0000080000"
20109039920,"083114",1,"0000330000"
20109039923,"083112",1,"0000017000"
20109039923,"083114",1,"0000500000"
20109039925,"083114",1,"0000160000"
20110040625,"083112",1,"0000240000"
20110040625,"083114",1,"0000030000"
20107038713,"083112",1,"0000080000"
20107038713,"083114",1,"0000100000"
20113043216,"083112",1,"0000085000"
20113043216,"083114",1,"0000060000"
20108039522,"083112",1,"0000134000"
20108039522,"083114",1,"0000300000"
20110040629,"083112",1,"0000035000"
20110040629,"083114",1,"0000100000"
20108039525,"083114",1,"0000060000"
20113042823,"083112",1,"0000350000"
20113042823,"083114",1,"0000160000"
20111042016,"083112",1,"0000120000"
20111042016,"083114",1,"0001000000"
20110040813,"083112",1,"0000500000"
20110040813,"083114",1,"0000950000"
20115044025,"083112",1,"0000150000"
20115044025,"083114",1,"0000140000"
20116044521,"083112",1,"0000050000"
20116044521,"083114",1,"0000100000"
20105036716,"083112",1,"0000290000"
20105036716,"083114",1,"0000050000"
20101033923,"083112",1,"0000060000"
20101033923,"083114",1,"0000300000"
20111042020,"083112",1,"0000030000"
20111042020,"083114",1,"0001000000"
20111042020,"083115",1,"0000200000"
20113042813,"081111",1,"0000120000"
20113042813,"083114",1,"0000200000"
20113042816,"083112",1,"0000080000"
20113042816,"083114",1,"0000100000"
20107038316,"083112",1,"0000400000"
20107038316,"083114",1,"0000300000"
20113043225,"083112",1,"0000450000"
20113043225,"083114",1,"0000330000"
20114043619,"083112",1,"0000070000"
20114043619,"083114",1,"0000190000"
20115044013,"083112",1,"0000350000"
20115044013,"083114",1,"0000390000"
20115044029,"083112",1,"0000070000"
