"Address","DYCOL01","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10"
10001002129,"01",1,1,"24",1,2,31,1,1
10001002129,"02",2,2,"23",1,2,21,5,1
10001002116,"01",1,2,"67",2,NA,NA,6,2
10001002116,"02",3,2,"27",1,2,41,1,4
10001002126,"01",1,1,"45",1,2,21,1,1
10001002126,"02",2,2,"37",1,2,41,5,1
10001002126,"03",3,2,"21",1,1,52,4,4
10001002126,"04",3,2,"18",1,1,41,4,4
10001002126,"05",3,2,"14",1,1,31,4,4
10001000913,"01",1,1,"44",1,2,41,1,1
10001000913,"02",2,2,"37",1,2,21,5,1
10001000913,"03",3,1,"16",1,1,31,4,4
10001000913,"04",3,2,"10",1,1,11,4,4
10003003323,"01",1,1,"45",1,2,51,1,1
10003003323,"02",2,2,"45",1,2,52,1,1
10003003323,"03",3,1,"18",1,1,41,4,4
10003003323,"04",3,2,"14",1,1,31,4,4
10001000926,"01",1,1,"55",1,2,51,6,1
10001000926,"02",2,2,"53",1,2,41,6,1
10001000926,"03",3,1,"28",1,2,52,2,4
10001000926,"04",3,1,"22",1,1,52,4,4
10001000923,"01",1,1,"43",1,2,41,1,1
10001000923,"02",2,2,"40",1,2,41,5,1
10001000923,"03",3,2,"09",1,1,21,NA,NA
10001000923,"04",3,2,"05",NA,NA,NA,NA,NA
10001000929,"01",1,1,"37",1,2,51,1,1
10001000929,"02",2,2,"32",1,2,51,5,1
10001000929,"03",3,2,"07",1,1,11,NA,NA
10011009326,"01",1,1,"42",1,2,21,1,1
10011009326,"02",2,2,"39",1,2,11,5,1
10011009326,"03",3,1,"19",1,2,41,1,4
10011009326,"04",3,1,"14",1,1,21,4,4
10011009326,"05",3,1,"03",NA,NA,NA,NA,NA
10009008120,"01",1,1,"70",2,NA,NA,3,2
10009008120,"02",3,2,"34",1,2,41,1,4
10009008120,"03",3,1,"30",1,2,41,1,4
10009008120,"04",3,2,"28",1,2,41,5,4
10009008116,"01",1,1,"51",1,2,52,3,1
10009008116,"02",2,2,"40",1,2,31,5,1
10009008116,"03",3,2,"13",1,1,11,4,4
10009008116,"04",3,1,"03",NA,NA,NA,NA,NA
10009008129,"01",1,1,"53",1,2,21,1,1
10009008129,"02",2,2,"54",2,NA,NA,5,1
10009008129,"03",3,1,"26",1,2,41,1,4
10009008129,"04",3,1,"27",1,2,41,1,4
10009008129,"05",3,2,"21",1,1,52,4,4
10009008118,"01",1,1,"44",1,2,53,1,1
10009008118,"02",2,2,"33",1,2,53,5,1
10009008118,"03",3,2,"08",1,1,11,NA,NA
10009008118,"04",3,2,"08",1,1,11,NA,NA
10009008118,"05",3,2,"03",NA,NA,NA,NA,NA
10001002123,"01",1,1,"84",2,NA,NA,6,1
10001002123,"02",2,2,"77",2,NA,NA,5,1
10001002119,"01",1,2,"70",2,NA,NA,5,1
10001002119,"02",2,1,"77",2,NA,NA,6,1
10001002126,"06",3,2,"07",1,1,11,NA,NA
10007006923,"01",1,1,"53",2,NA,NA,1,1
10007006923,"02",2,2,"48",2,NA,NA,5,1
10007006923,"03",3,1,"19",1,2,41,2,4
10007006920,"01",1,2,"36",1,2,11,3,1
10007006920,"02",3,2,"07",1,1,11,NA,NA
10007006926,"01",1,1,"59",1,2,41,1,1
10007006926,"02",2,2,"47",1,2,21,1,1
10007006926,"03",3,1,"15",1,1,31,4,4
10007006929,"01",1,1,"47",1,2,21,1,1
10007006929,"02",2,2,"45",1,2,11,1,1
10007006929,"03",3,1,"26",1,2,21,2,4
10007006929,"04",3,1,"21",1,1,31,4,4
10011009323,"01",1,1,"32",1,2,21,6,1
10011009323,"02",2,2,"31",1,2,11,5,1
10011009323,"03",3,2,"10",1,1,11,4,4
10011009323,"04",3,1,"03",NA,NA,NA,NA,NA
10001002118,"01",1,1,"56",1,2,11,1,1
10001002118,"02",2,2,"50",2,NA,NA,5,1
10001002118,"03",3,2,"31",2,NA,NA,5,4
10001002118,"04",3,1,"25",1,2,52,2,4
10001002118,"05",3,2,"16",1,1,31,4,4
10007006918,"01",1,1,"70",2,NA,NA,1,1
10007006918,"02",2,2,"60",2,NA,NA,5,1
10011009313,"01",1,1,"80",2,NA,NA,3,1
10011009313,"02",2,2,"62",2,NA,NA,5,1
10011009313,"03",3,1,"36",1,2,11,2,1
10011009313,"04",3,2,"27",1,2,21,5,4
10011009313,"05",4,2,"29",1,2,11,5,1
10011009313,"06",5,1,"08",1,1,11,NA,NA
10011009313,"07",5,2,"02",NA,NA,NA,NA,NA
