"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10","DYCOL11","DYCOL12","DYCOL13","DYCOL14","DYCOL15","DYCOL16","DYCOL17","DYCOL18","DYCOL19","DYCOL20","DYCOL21","DYCOL22","DYCOL23","DYCOL24","DYCOL25","DYCOL26","DYCOL27","DYCOL28","DYCOL29","DYCOL30","DYCOL31","DYCOL32","DYCOL33","DYCOL34","DYCOL35","DYCOL36","DYCOL37","DYCOL38","DYCOL39","DYCOL40","DYCOL41","DYCOL42","DYCOL43","DYCOL44","DYCOL45","DYCOL46","DYCOL47","DYCOL48","DYCOL49","DYCOL50","DYCOL51","DYCOL52","DYCOL53","DYCOL54","DYCOL55","DYCOL56","DYCOL57","DYCOL58","DYCOL59","DYCOL60","DYCOL61","DYCOL62","DYCOL63","DYCOL64","DYCOL65","DYCOL66","DYCOL67","DYCOL68","DYCOL69","DYCOL70","DYCOL71","DYCOL72","DYCOL73","DYCOL74","DYCOL75","DYCOL76","DYCOL77","DYCOL78","DYCOL79","DYCOL80","DYCOL81","DYCOL82","DYCOL83","DYCOL84","DYCOL85","DYCOL86","DYCOL87","DYCOL88","DYCOL89","DYCOL90","DYCOL91","DYCOL92","DYCOL93","DYCOL94"
20007018334,"01",6111,"01110",1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+06,NA,NA,NA,NA,NA,NA,NA,"2000000",NA,5e+06,5e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+06,NA,NA,NA,NA,NA,1.1e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+06,6e+06,2e+06,NA,NA,5e+05,5e+05,NA,NA,NA,NA,1.1e+07,NA,6e+07,2e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e+07
20001010525,"01",6111,"01110",1,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4e+07,NA,NA,NA,NA,NA,NA,NA,NA,2.5e+07,"39000000",NA,NA,11500000,NA,1e+07,NA,NA,NA,NA,4e+06,NA,NA,1e+07,2e+06,NA,5500000,NA,NA,2500000,45500000,NA,NA,NA,NA,4500000,NA,3e+06,2850000,"10350000",NA,NA,18500000,NA,NA,NA,NA,NA,NA,NA,NA,4200000,22700000,NA,225050000,62500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287550000
20001010522,"01",6111,"01110",1,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e+06,NA,NA,NA,NA,NA,NA,NA,NA,1.5e+07,"22000000",NA,NA,4500000,NA,5e+06,NA,NA,NA,NA,NA,NA,NA,NA,3800000,NA,NA,NA,NA,NA,13300000,NA,NA,3500000,NA,NA,NA,NA,4e+06,"7500000",NA,1e+06,22500000,NA,NA,NA,5e+06,NA,NA,NA,5500000,2500000,36500000,NA,1.31e+08,28500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159500000
20006017025,"01",6111,"01110",1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e+06,1700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e+05,NA,NA,NA,NA,NA,8e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e+06,1500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,6500000,NA,2.2e+07,5e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7e+07
20006017034,"01",6121,"01440",NA,NA,NA,NA,3,"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+07,NA,NA,NA,NA,NA,"10000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e+05,NA,NA,3.5e+07,NA,NA,35500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e+05,1e+07,7e+07,NA,NA,NA,NA,NA,80500000
20006017034,"01",6111,"01110",1,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+07,1.4e+07,8e+06,NA,NA,NA,NA,NA,NA,NA,NA,1500000,NA,NA,NA,NA,NA,33500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5e+07,3e+07,NA,NA,3e+07,5e+06,NA,NA,NA,NA,NA,9e+07,NA,1.1e+08,8e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9e+08
20001010534,"01",6111,"01110",1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400000,3500000,NA,NA,NA,NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5700000,NA,NA,5e+05,NA,NA,NA,NA,1e+06,"1500000",NA,2500000,2700000,NA,NA,NA,7e+05,NA,NA,NA,5e+05,NA,6400000,3e+07,8500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38500000
20001010534,"01",6121,"01440",NA,NA,NA,NA,3,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500000,NA,NA,NA,NA,NA,"9500000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12500000,NA,5e+06,17500000,NA,NA,NA,NA,NA,NA,NA,2e+06,"2000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+05,3e+05,NA,4e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e+05,2e+06,3500000,5.9e+07,NA,NA,NA,NA,NA,6.5e+07
20012022934,"01",6123,"01490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e+07,NA,3e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5e+08,NA,NA,1.5e+08
20002012229,"01",6121,"01440",NA,NA,NA,NA,3,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9e+06,NA,NA,NA,NA,NA,"9000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e+07,NA,NA,4e+07,NA,NA,NA,NA,NA,NA,NA,5e+06,"5000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e+07,NA,NA,NA,NA,NA,7e+07
