"Address","DYCOL01","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10"
20006016234,"01",1,2,"49",2,NA,NA,3,4
20006016225,"01",1,1,"36",1,2,11,1,1
20006016225,"02",2,2,"26",1,2,41,5,1
20006016225,"03",3,1,"04",NA,NA,NA,NA,NA
20012021729,"01",1,2,"80",2,NA,NA,6,2
20013024132,"01",1,1,"70",2,NA,NA,1,1
20013024132,"02",2,2,"60",2,NA,NA,5,1
20013024134,"01",1,1,"53",1,2,71,1,1
20013024134,"02",2,2,"45",2,NA,NA,5,1
20013024134,"03",3,2,"17",1,1,31,4,4
20013024134,"04",3,2,"15",1,1,21,4,4
20013024134,"05",3,2,"09",1,1,11,NA,NA
20013024120,"01",1,1,"47",1,2,21,1,1
20013024120,"02",2,2,"41",1,2,11,1,1
20013024120,"03",3,2,"12",1,1,21,4,4
20013024122,"01",1,2,"45",1,2,71,3,1
20013024122,"02",3,2,"25",1,2,11,5,4
20013024122,"03",3,1,"20",1,2,21,1,4
20013024129,"01",1,1,"35",1,2,41,1,1
20013024129,"02",2,2,"28",1,2,11,5,1
20013024129,"03",3,1,"04",NA,NA,NA,NA,NA
20007018322,"01",1,1,"37",1,2,11,1,1
20012021720,"01",1,2,"75",2,NA,NA,5,2
20013024125,"01",1,2,"65",2,NA,NA,3,2
20001010532,"01",1,2,"75",2,NA,NA,5,2
20007018334,"01",1,1,"57",2,NA,NA,1,1
20007018334,"02",2,2,"52",2,NA,NA,5,1
20007018334,"03",3,2,"28",2,NA,NA,5,4
20007018334,"04",3,1,"26",1,2,11,1,4
20001010530,"01",1,1,"75",2,NA,NA,6,1
20001010530,"02",2,2,"66",2,NA,NA,5,1
20001010525,"01",1,1,"70",1,2,11,1,1
20001010525,"02",2,2,"67",2,NA,NA,5,1
20007018332,"01",1,2,"76",2,NA,NA,3,2
20001010522,"01",1,1,"43",1,2,21,1,1
20001010522,"02",2,2,"39",1,2,21,5,1
20001010522,"03",3,2,"20",1,1,52,4,4
20001010522,"04",3,1,"12",1,1,11,4,4
20001010522,"05",3,2,"10",1,1,11,4,4
20007018329,"01",1,2,"60",1,2,71,5,2
20007018329,"02",3,2,"38",1,2,11,5,4
20007018329,"03",3,2,"35",1,2,52,5,4
20006017024,"01",1,2,"55",1,2,11,3,1
20006017034,"01",1,1,"53",2,NA,NA,1,1
20006017034,"02",2,2,"51",2,NA,NA,5,1
20006017022,"01",1,1,"34",1,2,21,1,1
20006017022,"02",2,2,"32",1,2,41,5,1
20006017022,"03",3,2,"09",1,1,11,NA,NA
20006017022,"04",3,2,"03",NA,NA,NA,NA,NA
20001010534,"01",1,1,"74",1,2,71,1,1
20001010534,"02",2,2,"62",2,NA,NA,5,1
20001010520,"01",1,1,"56",1,2,11,1,1
20001010520,"02",2,2,"50",2,NA,NA,5,1
20001010520,"03",3,1,"28",1,2,21,1,4
20001010520,"04",3,1,"19",1,1,41,4,4
20012022934,"01",1,1,"36",1,2,11,1,1
20012022934,"02",2,2,"33",1,2,11,5,1
20012022934,"03",3,1,"13",1,1,11,4,4
20012022934,"04",3,1,"03",NA,NA,NA,NA,NA
20006017025,"01",1,1,"72",1,2,71,1,1
20006017025,"02",2,2,"67",2,NA,NA,5,1
20006017032,"01",1,1,"83",1,2,71,2,1
20006017032,"02",2,2,"77",2,NA,NA,5,1
20001011832,"01",1,1,"32",1,2,11,1,1
20001011832,"02",2,2,"27",1,2,11,5,1
20001011825,"01",1,1,"43",1,2,21,1,1
20001011825,"02",2,2,"38",1,2,21,5,1
20001011825,"03",3,1,"18",1,1,51,4,4
20001011825,"04",3,2,"12",1,1,21,4,4
20001011829,"01",1,1,"80",2,NA,NA,3,1
20001011829,"02",2,2,"70",2,NA,NA,5,1
20001011829,"03",3,2,"37",1,2,11,5,4
20001011829,"04",3,2,"31",1,2,41,5,4
20001011829,"05",3,2,"28",1,2,41,5,4
20006017027,"01",1,2,"75",2,NA,NA,3,2
20001011822,"01",1,1,"29",1,2,21,1,1
20001011822,"02",2,2,"32",1,2,21,5,1
20001011822,"03",3,1,"11",1,1,21,4,4
20001011822,"04",3,1,"03",NA,NA,NA,NA,NA
