"Address","DYCOL01","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08"
20003012637,"01",NA,NA,NA,"0008200000",NA,"0025000000"
20007017940,"01",NA,NA,NA,"0006000000",NA,NA
20001011425,"01",NA,NA,NA,"0010200000",NA,NA
20001011425,"03",NA,NA,NA,NA,"0025000000",NA
20001011425,"04",NA,NA,NA,NA,"0025000000",NA
20001011440,"01",NA,NA,NA,NA,NA,"0015000000"
20001011437,"01",NA,NA,NA,NA,NA,"0012000000"
20004013837,"01",NA,NA,NA,NA,NA,"0010000000"
20009019128,"01",NA,NA,NA,"0008200000",NA,NA
20009019132,"01",NA,"0012000000",NA,"0008200000",NA,"0025000000"
20009019137,"01",NA,NA,NA,"0008800000",NA,"0002500000"
20009019134,"01","0115500000","0025000000",NA,NA,NA,NA
20001011434,"01",NA,NA,NA,"0006500000",NA,NA
20003012629,"01","0039000000","0050000000",NA,NA,NA,"0100000000"
20003012628,"01",NA,"0360000000","0048000000",NA,NA,NA
20004013834,"01","0051500000",NA,NA,NA,NA,NA
20007017934,"01",NA,NA,NA,"0001800000",NA,NA
20003012636,"01",NA,"0010000000",NA,"0007700000",NA,"0020000000"
20004013840,"01",NA,NA,NA,"0060000000",NA,"0020000000"
20007017932,"01",NA,NA,NA,"0006600000",NA,NA
20004013827,"01",NA,NA,NA,NA,"0050000000",NA
20007017937,"03","0002400000",NA,NA,NA,NA,NA
20004013832,"01",NA,"0100000000",NA,NA,NA,"0050000000"
20011021226,"01",NA,NA,NA,"0003600000",NA,"0002000000"
20007018340,"01",NA,NA,NA,"0010000000",NA,NA
20012022128,"01",NA,NA,NA,NA,NA,"0003000000"
20002012234,"01",NA,NA,NA,"0008500000",NA,"0007000000"
20010019929,"01",NA,NA,NA,"0005400000",NA,"0006000000"
20013023328,"02",NA,NA,NA,NA,NA,"0008000000"
20013023328,"04","0007000000",NA,NA,NA,NA,NA
20001011034,"01",NA,"0020000000",NA,NA,NA,NA
20013023334,"01",NA,NA,NA,NA,NA,"0010000000"
20007017428,"01",NA,"0050000000",NA,NA,NA,NA
20007017428,"03",NA,NA,NA,"0012000000",NA,NA
20001011025,"01",NA,NA,NA,NA,NA,"0010000000"
20006016225,"01",NA,"0130000000",NA,NA,NA,NA
20006016234,"01",NA,NA,NA,"0003600000",NA,"0024000000"
20004013434,"01","0282000000",NA,NA,NA,NA,NA
20004014730,"01",NA,NA,NA,"0006000000",NA,NA
20007018734,"01",NA,NA,NA,"0008000000",NA,NA
20002012236,"01",NA,"0050000000",NA,"0007500000",NA,"0052000000"
20007018726,"01",NA,"0050000000",NA,"0008000000",NA,"0057000000"
20001011029,"01",NA,"0030000000",NA,NA,NA,NA
20010019937,"01",NA,NA,NA,"0004200000",NA,"0050000000"
20005015340,"01",NA,"0010000000",NA,"0006000000",NA,"0034000000"
20012021732,"01",NA,"0070000000",NA,NA,NA,NA
20006015840,"01","0094120000",NA,NA,NA,NA,NA
20005015327,"02",NA,NA,NA,NA,"0033000000",NA
20006015837,"01",NA,NA,NA,"0004200000",NA,"0040000000"
20012021725,"01",NA,NA,NA,NA,NA,"0240000000"
20012021725,"04",NA,NA,NA,"0005400000",NA,NA
20006016629,"01",NA,NA,NA,"0006500000",NA,NA
20006016634,"01",NA,NA,NA,NA,NA,"0060000000"
20006015825,"01","0127800000",NA,NA,NA,NA,NA
20011020834,"01",NA,NA,"0036000000",NA,NA,NA
20011020829,"01",NA,NA,NA,NA,"0009000000",NA
20004014332,"01",NA,NA,NA,NA,NA,"0005000000"
20012022940,"01",NA,NA,NA,NA,NA,"0040000000"
20001010525,"01",NA,NA,NA,NA,NA,"0030000000"
20006016640,"03","0007200000",NA,NA,NA,NA,NA
