"Address","DYCOL01","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08"
10010008530,"01","0052600000",NA,NA,NA,NA,"0002500000"
10010008530,"03",NA,NA,NA,"0005400000",NA,NA
10010008541,"01","0247000000",NA,NA,NA,NA,NA
10005004925,"01",NA,"0020000000",NA,NA,NA,NA
10005004932,"01",NA,NA,NA,NA,"0060000000",NA
10005004932,"02",NA,NA,NA,NA,"0060000000",NA
10010008535,"01","0217800000",NA,NA,NA,NA,NA
10010008526,"02",NA,NA,NA,NA,NA,"0010000000"
10005004528,"01","0200000000",NA,NA,NA,NA,NA
10005004541,"01",NA,NA,"0180000000",NA,NA,NA
10009008126,"01","0180000000",NA,NA,NA,NA,NA
10003003325,"01","0200000000",NA,NA,NA,NA,NA
10009008128,"01",NA,"0043200000",NA,NA,NA,"0011000000"
10001000938,"01","0248000000",NA,NA,NA,NA,NA
10003003335,"01",NA,NA,NA,"0204000000",NA,NA
10009008132,"01",NA,"0003000000",NA,NA,NA,NA
10009008132,"02",NA,NA,NA,NA,"0001200000",NA
10009008138,"01","0151800000",NA,NA,NA,NA,NA
10005004938,"01","0180000000","0111600000",NA,NA,NA,NA
10001002538,"01",NA,NA,NA,NA,NA,"0030000000"
10006006138,"01","0144000000",NA,NA,NA,NA,NA
10001001341,"01",NA,NA,"0150000000",NA,NA,NA
10012009738,"01",NA,NA,NA,"0006500000",NA,NA
10012009733,"01",NA,NA,NA,"0007800000",NA,"0004000000"
10001000127,"02","0078000000",NA,NA,NA,NA,NA
10001000135,"01",NA,"0060000000",NA,NA,NA,NA
10001000132,"01","0211000000",NA,NA,NA,NA,NA
10001000126,"01","0114000000",NA,"0040000000",NA,NA,NA
10001001336,"01","0145000000","0120000000","0100000000",NA,NA,NA
10001001327,"01","0151000000",NA,"0050000000",NA,NA,NA
10004004130,"01","0211800000",NA,NA,NA,NA,NA
10004004141,"01","0143920000","0043200000",NA,NA,NA,NA
10009007741,"01",NA,NA,NA,NA,NA,"0048000000"
10009007733,"01","0271200000",NA,NA,NA,NA,NA
10005004927,"01","0115800000",NA,NA,NA,NA,NA
10005004941,"01",NA,"0030000000",NA,NA,NA,"0048000000"
10009007729,"01",NA,NA,NA,NA,"0060000000",NA
10001000138,"01","0200000000",NA,NA,NA,NA,NA
10001001332,"01","0151000000",NA,"0025000000",NA,NA,NA
10001001332,"02","0151000000",NA,NA,NA,NA,NA
10001001338,"01",NA,"0048000000",NA,NA,NA,"0030000000"
10004004135,"01",NA,NA,NA,NA,NA,"0018000000"
10009007735,"01",NA,"0033600000",NA,NA,NA,NA
10004003725,"03","0005400000",NA,NA,NA,NA,NA
10006006529,"01",NA,NA,NA,NA,NA,"0060000000"
10006006531,"01","0097200000",NA,NA,NA,NA,NA
10002002927,"01",NA,NA,NA,"0006360000",NA,"0000300000"
10010008930,"01",NA,NA,"0084000000",NA,NA,NA
10002002941,"01",NA,"0060000000",NA,NA,NA,"0006000000"
10002002933,"01",NA,NA,NA,"0008400000",NA,NA
10009007738,"01","0151000000",NA,NA,NA,NA,NA
10010008929,"01","0039000000","0015000000",NA,NA,NA,"0015000000"
10010008941,"01","0375800000",NA,NA,NA,NA,NA
10002002928,"01",NA,NA,NA,"0005400000",NA,NA
10004003732,"01","0187000000",NA,NA,NA,NA,NA
10010008936,"01","0126800000",NA,NA,NA,NA,NA
10002002936,"01","0126000000",NA,NA,NA,NA,NA
10010008935,"01","0097000000",NA,NA,NA,NA,NA
10009007730,"01","0211800000",NA,NA,NA,NA,NA
10002002938,"01",NA,NA,NA,NA,NA,"0010000000"
10001000525,"01","0144000000",NA,NA,NA,NA,NA
10001000538,"01","0156000000",NA,NA,NA,NA,NA
10004003741,"01","0235000000",NA,NA,NA,NA,NA
10006005338,"01","0144000000",NA,NA,NA,NA,NA
10006005341,"01","0144000000",NA,NA,NA,NA,NA
10001000541,"01","0204000000",NA,NA,NA,NA,NA
10001000535,"01","0160000000",NA,NA,NA,NA,NA
10011009328,"03","0014400000",NA,NA,NA,NA,NA
10001000536,"01","0180000000",NA,NA,NA,NA,NA
10001001738,"01",NA,NA,NA,NA,NA,"0010000000"
10001001735,"01",NA,NA,NA,NA,NA,"0025000000"
10001001735,"02",NA,NA,NA,"0008000000",NA,NA
10001001728,"02",NA,NA,NA,NA,"0020000000",NA
10011009338,"01",NA,NA,NA,"0006000000",NA,NA
10011009341,"01",NA,NA,NA,"0072000000",NA,NA
10001002133,"01",NA,"0048000000",NA,NA,NA,"0020000000"
10001002136,"01",NA,NA,"0026400000",NA,NA,"0025000000"
10003003331,"01",NA,NA,"0060000000",NA,NA,NA
10001002138,"01","0207400000",NA,NA,NA,NA,NA
10003003341,"01",NA,NA,NA,"0008640000","0015000000","0047000000"
10003003338,"01",NA,NA,NA,NA,NA,"0024000000"
10003003338,"04",NA,NA,NA,"0004800000",NA,NA
10006005725,"01","0060000000",NA,NA,NA,NA,NA
10006005736,"01",NA,"0072000000",NA,NA,NA,NA
10001000941,"01","0188000000",NA,NA,NA,NA,NA
10001000935,"01","0120000000",NA,NA,NA,NA,NA
10007006935,"01",NA,NA,NA,"0010000000",NA,NA
10007006932,"01","0102000000",NA,NA,NA,NA,NA
10007006928,"01","0188000000",NA,NA,NA,NA,NA
10001000930,"01","0200500000",NA,NA,NA,NA,NA
10001001725,"01",NA,NA,NA,NA,"0000000003",NA
10004003734,"01",NA,"0030000000",NA,"0259800000",NA,NA
10001002141,"01","0235000000",NA,NA,NA,"0020000000",NA
10004003738,"01",NA,"0060000000",NA,NA,NA,NA
10006005327,"01","0156000000",NA,NA,NA,NA,NA
10101024327,"01",NA,NA,NA,"0009500000",NA,"0010000000"
10103025926,"01",NA,NA,NA,"0005400000",NA,"0006000000"
10103025931,"01",NA,NA,NA,"0006500000",NA,NA
10108030325,"01",NA,NA,NA,"0045000000",NA,NA
10109030730,"01",NA,NA,NA,"0006900000",NA,NA
10108030327,"01",NA,NA,NA,NA,NA,"0030000000"
10108030327,"03",NA,NA,NA,NA,NA,"0001000000"
10113032725,"01","0136120000",NA,NA,NA,NA,NA
10105027930,"01",NA,NA,NA,"0007800000",NA,"0060000000"
10105027934,"01","0175700000",NA,NA,NA,NA,NA
10105027941,"01",NA,NA,"0048000000",NA,NA,"0024000000"
10109030741,"03",NA,NA,NA,NA,NA,"0000700000"
10109030741,"04",NA,NA,NA,NA,NA,"0002500000"
10107029532,"01","0211800000",NA,NA,NA,NA,NA
10107029535,"01",NA,NA,NA,NA,NA,"0010000000"
10105027135,"01","0151720000",NA,NA,NA,NA,NA
10101024741,"01",NA,NA,NA,"0007200000",NA,NA
10111031941,"01","0187720000",NA,NA,NA,NA,NA
10101024738,"01",NA,NA,NA,"0009000000",NA,NA
10107029529,"01","0283720000",NA,NA,NA,NA,NA
10107029529,"02","0247720000",NA,NA,NA,NA,NA
10106029141,"01","0223700000",NA,NA,NA,NA,NA
10101024332,"01",NA,NA,NA,NA,NA,"0001500000"
10105027126,"01","0235700000",NA,NA,NA,NA,NA
10105027126,"03",NA,NA,NA,NA,NA,"0001000000"
10105027132,"01","0307720000",NA,NA,NA,NA,NA
10105027132,"02","0139720000",NA,NA,NA,NA,NA
10106029125,"01",NA,NA,NA,NA,NA,"0001500000"
10106029127,"01","0145700000",NA,NA,NA,NA,NA
10107029541,"01",NA,NA,NA,"0009500000",NA,NA
10112032332,"01",NA,NA,NA,"0009000000",NA,"0080000000"
10112032332,"02",NA,NA,NA,NA,NA,"0028000000"
10112032332,"03",NA,NA,NA,NA,NA,"0004000000"
10112032336,"01",NA,NA,NA,"0009500000",NA,"0038000000"
10111031931,"03",NA,NA,NA,NA,NA,"0001800000"
10111031931,"04",NA,NA,NA,NA,NA,"0001500000"
10104026726,"01",NA,NA,NA,NA,NA,"0025000000"
10104026726,"05",NA,NA,NA,"0007200000",NA,NA
10101024341,"01",NA,NA,NA,NA,NA,"0040000000"
10101024341,"03",NA,NA,NA,NA,NA,"0001500000"
10101024341,"04",NA,NA,NA,NA,NA,"0001200000"
10101024727,"03",NA,NA,NA,NA,NA,"0001500000"
10104026732,"03",NA,NA,NA,NA,NA,"0000750000"
