"Address","Dycol01","Dycol03","Dycol04","Dycol05"
21608570802,"01","5","12","0027300000"
21608570817,"01","1","12","0005460000"
21605568417,"01","4","12","0021840000"
21605568411,"01","3","12","0016380000"
21605568408,"01","3","12","0016380000"
21602564817,"01","5","12","0027300000"
21602564814,"01","2","12","0010920000"
21602564802,"01","3","12","0016380000"
21606569611,"01","5","12","0027300000"
21606569608,"01","5","12","0027300000"
21606569605,"01","4","12","0021840000"
21610572414,"01","1","12","0005460000"
21610572414,"02","1","12","0005460000"
21604567611,"01","5","12","0027300000"
21603566008,"01","6","12","0032760000"
21604567608,"01","4","12","0021840000"
21604567205,"01","1","8","0003640000"
21604567205,"01","2","12","0010920000"
21606568814,"01","1","12","0005460000"
21604567217,"01","4","12","0021840000"
21602564805,"01","1","12","0005460000"
21603566405,"01","3","12","0016380000"
21603566402,"01","1","6","0002730000"
21603566402,"01","3","12","0016380000"
21604567605,"01","3","12","0016380000"
21602564808,"01","5","12","0027300000"
21602564811,"01","3","12","0016380000"
21603566011,"01","5","12","0027300000"
21604567208,"01","3","12","0016380000"
21610572411,"01","1","12","0005460000"
21610572411,"02","4","12","0021840000"
21610572417,"01","2","12","0010920000"
21610572417,"02","2","12","0010920000"
21606568811,"01","4","12","0021840000"
21603566005,"01","2","12","0010920000"
21603566005,"02","1","1","0000455000"
21603566002,"02","2","12","0010920000"
21603566014,"01","5","12","0027300000"
21601564014,"01","6","12","0032760000"
21601564017,"01","5","12","0027300000"
21603566411,"01","7","12","0038220000"
21604567214,"01","4","12","0021840000"
21604567202,"01","6","12","0032760000"
21604567211,"01","1","9","0004095000"
21604567211,"01","2","12","0010920000"
21604567602,"01","3","12","0016380000"
21608570811,"01","4","12","0021840000"
21607570005,"01","3","12","0016380000"
21607570011,"01","4","12","0021840000"
21607570008,"01","4","12","0021840000"
21607570017,"01","6","12","0032760000"
21607570014,"01","5","12","0027300000"
21603566417,"01","4","12","0021840000"
21601564005,"01","4","12","0021840000"
21603566017,"01","10","12","0054600000"
21603566408,"01","3","12","0016380000"
21604567617,"01","4","12","0021840000"
21610572408,"01","4","12","0021840000"
21610572402,"01","3","12","0016380000"
21606568802,"01","3","12","0016380000"
21604567614,"01","5","12","0027300000"
21605568405,"01","1","12","0005460000"
21605568402,"01","3","12","0016380000"
21605568414,"01","1","6","0002730000"
21605568414,"01","4","12","0021840000"
21602565214,"01","4","12","0021840000"
21606568817,"01","2","12","0010920000"
21609571217,"01","3","12","0016380000"
21609571202,"01","1","5","0002275000"
21609571202,"01","4","12","0021840000"
21609571214,"01","4","12","0021840000"
21609571205,"01","2","12","0010920000"
21601564405,"01","2","12","0010920000"
21609571614,"01","1","12","0005460000"
21607570414,"01","2","12","0010920000"
21606569208,"01","3","12","0016380000"
21609571605,"01","3","12","0016380000"
21601563605,"01","2","12","0010920000"
21606569202,"01","2","12","0010920000"
21607570408,"01","4","12","0021840000"
21607570411,"01","3","12","0016380000"
21606569211,"01","5","12","0027300000"
21606569211,"03","1","12","0005460000"
21607570405,"01","5","12","0027300000"
21601563611,"01","3","12","0016380000"
21601564411,"01","4","12","0021840000"
21607570402,"01","10","12","0054600000"
21601564417,"01","4","12","0021840000"
21609571602,"01","3","12","0016380000"
21606569217,"01","4","12","0021840000"
21606569214,"01","3","12","0016380000"
21609571211,"01","4","12","0021840000"
21609571608,"01","6","12","0032760000"
21601564414,"01","6","12","0032760000"
21606569205,"01","4","12","0021840000"
21609571208,"01","4","12","0021840000"
21609571208,"05","1","12","0005460000"
21601564408,"01","8","12","0043680000"
21604568005,"01","4","12","0021840000"
21604568002,"01","2","12","0010920000"
21604568014,"01","3","12","0016380000"
21604568011,"01","3","12","0016380000"
21604566805,"01","3","12","0016380000"
21604566808,"01","5","12","0027300000"
21604566814,"01","4","12","0021840000"
21604566811,"01","5","12","0027300000"
21604566817,"01","3","12","0016380000"
21601564402,"01","5","12","0027300000"
21607570417,"01","5","12","0027300000"
21609571617,"01","1","12","0005460000"
21604568017,"01","5","12","0027300000"
21602565614,"01","5","12","0027300000"
21602565217,"01","4","12","0021840000"
21602565602,"01","3","12","0016380000"
21602565605,"01","3","12","0016380000"
21604566802,"01","3","12","0016380000"
21604568008,"01","4","12","0021840000"
21602565617,"01","2","12","0010920000"
21606568808,"01","7","12","0038220000"
21602565208,"01","3","12","0016380000"
21609571611,"01","6","12","0032760000"
21602565211,"01","4","12","0021840000"
21602565205,"01","2","12","0010920000"
21602565202,"01","3","12","0016380000"
21606568805,"01","2","12","0010920000"
21602565608,"01","4","12","0021840000"
21602565611,"01","3","12","0016380000"
21601564002,"01","4","12","0021840000"
21603566414,"01","4","12","0021840000"
21608570814,"01","6","12","0032760000"
21607570002,"01","4","12","0021840000"
21610572405,"01","5","12","0027300000"
21701574702,"01","2","12","0010920000"
21701574705,"01","5","12","0027300000"
21701574711,"01","3","12","0016380000"
21702575108,"01","2","12","0010920000"
21702575111,"01","3","12","0016380000"
21702575911,"01","4","12","0021840000"
21703576705,"01","3","12","0016380000"
21703576708,"01","5","12","0027300000"
21703576711,"01","2","12","0010920000"
21703577502,"01","7","12","0038220000"
21703577508,"01","6","12","0032760000"
21703577514,"01","4","12","0021840000"
21703577517,"01","4","12","0021840000"
21706580302,"01","4","12","0021840000"
