"Address","MahMorajeh","Fasl","weight","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin"
20011395420,"02",1,97.5751165312165,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001385412,"02",1,171.199523918059,1,2,NA,1,NA,1,NA,NA,NA,"000002","10"
20001385423,"02",1,171.199523918059,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001385417,"02",1,171.199523918059,1,2,NA,1,NA,1,NA,NA,NA,"000003","18"
20001385420,"02",1,171.199523918059,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20011395407,"02",1,97.5751165312165,1,2,NA,1,NA,1,NA,NA,NA,"000521","10"
20004387823,"02",1,126.413355485847,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20011395423,"02",1,97.5751165312165,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20011395416,"02",1,97.5751165312165,1,2,NA,1,NA,1,NA,NA,NA,"000529","17"
20011395415,"02",1,97.5751165312165,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20011395411,"02",1,97.5751165312165,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20005389011,"02",1,64.8860376479178,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20005389018,"02",1,64.8860376479178,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20005389014,"02",1,64.8860376479178,1,2,NA,1,NA,1,NA,NA,NA,"002224","13"
20005389020,"02",1,64.8860376479178,1,2,NA,1,NA,1,NA,NA,NA,"002224","22"
20005389023,"02",1,64.8860376479178,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20012396614,"02",1,142.317857521377,1,2,NA,1,NA,1,NA,NA,NA,"000621","16"
20012396623,"02",1,142.317857521377,1,2,NA,1,NA,1,NA,NA,NA,"000621","24"
20012396607,"02",1,142.317857521377,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20010394223,"02",1,110.344515156139,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20010394220,"02",1,110.344515156139,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20012396620,"02",1,142.317857521377,1,2,NA,1,NA,1,NA,NA,NA,"000621","21"
20012396617,"02",1,142.317857521377,1,2,NA,1,NA,1,NA,NA,NA,"000621","15"
20012396609,"02",1,142.317857521377,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20013397807,"02",1,107.040599632094,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20013397808,"02",1,107.040599632094,1,2,NA,1,NA,1,NA,NA,NA,"001130","09"
20013397817,"02",1,107.040599632094,1,2,NA,1,NA,1,NA,NA,NA,"001130","15"
20013397823,"02",1,107.040599632094,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20013397820,"02",1,107.040599632094,1,2,NA,1,NA,1,NA,NA,NA,"001130","19"
20013397814,"02",1,107.040599632094,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20010394211,"02",1,110.344515156139,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20010394217,"02",1,110.344515156139,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20010394208,"02",1,110.344515156139,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20010394214,"02",1,110.344515156139,1,2,NA,1,NA,1,NA,NA,NA,"003232","16"
20004387813,"02",1,126.413355485847,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20003386610,"02",1,90.5894714465582,1,2,NA,1,NA,1,NA,NA,NA,"001402","07"
20003386609,"02",1,90.5894714465582,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20003386614,"02",1,90.5894714465582,1,2,NA,1,NA,1,NA,NA,NA,"001402","18"
20003386613,"02",1,90.5894714465582,1,2,NA,1,NA,1,NA,NA,NA,"001402","17"
20003386620,"02",1,90.5894714465582,1,2,NA,1,NA,1,NA,NA,NA,"001402","21"
20004387809,"02",1,126.413355485847,1,2,NA,1,NA,1,NA,NA,NA,"000069","08"
20004387817,"02",1,126.413355485847,1,2,NA,1,NA,1,NA,NA,NA,"000071","14"
20004387820,"02",1,126.413355485847,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20004387811,"02",1,126.413355485847,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20006390220,"02",1,158.68874589438,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20006390211,"02",1,158.68874589438,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20007391407,"02",1,170.474294269478,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20007391408,"02",1,170.474294269478,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20007391420,"02",1,170.474294269478,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
