"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10","DYCOL11","DYCOL12","DYCOL13","DYCOL14","DYCOL15"
20011395420,"01",1,"7111","43900",3,"8",2,"0008000000","0130000000","0008000000","0130000000","0","0","8000000","130000000"
20001385412,"01",1,"9314","41000",3,"7",4,"0012800000","0102400000","0012800000","0102400000","0","0","12800000","102400000"
20011395423,"01",1,"9314","41000",3,"8",1,"0002000000","0045000000","0002000000","0045000000","0","0","2000000","45000000"
20005389018,"01",1,"9314","41000",3,"8",2,"0004200000","0040000000","0004200000","0040000000","0","0","4200000","40000000"
20013397808,"01",1,"9314","41000",3,"8",1,"0006500000","0045000000","0006500000","0045000000","0","0","6500000","45000000"
20013397823,"01",1,"9211","01500",3,"8",3,"0002000000","0020000000","0002000000","0020000000","0","0","2000000","20000000"
20013397814,"01",1,"9314","41000",3,"8",2,"0","0045000000","0","0045000000","0","0","0","45000000"
20004387813,"01",1,"9314","41000",3,"10",2,"0003500000","0060000000","0003500000","0060000000","0","0","3500000","60000000"
20003386610,"01",1,"3414","94911",1,"5",7,"0003600000","0043200000","0003600000","0043200000","0","0","3600000","43200000"
20003386620,"01",1,"9314","41000",3,"5",3,"0007200000","0021600000","0007200000","0021600000","0","0","7200000","21600000"
20004387809,"03",2,"9311","01500",3,NA,NA,"0","0100000000","0","0100000000","0","0","0","100000000"
20004387817,"01",1,"9211","01500",3,"8",6,"0027000000","0332000000","0025740000","0308800000","0","0008000000","25740000","316800000"
20004387820,"01",2,"9314","41000",3,NA,NA,"0","0030000000","0","0030000000","0","0","0","30000000"
20007392620,"01",1,"8322","49230",3,"12",6,"0012000000","0144000000","0012000000","0144000000","0","0","12000000","144000000"
20007392616,"01",1,"9321","22200",3,"10",6,"0015000000","0180000000","0014151000","0169812000","0","0008000000","14151000","177812000"
20007392615,"02",1,"7537","14100",3,"9",4,"0003000000","0036000000","0003000000","0036000000","0","0","3000000","36000000"
20006390220,"01",1,"8322","84110",1,"8",6,"0045000000","0572000000","0041400000","0496800000","0","0032000000","41400000","528800000"
20006390220,"03",2,"9321","27500",3,NA,NA,"0","0023000000","0","0023000000","0","0","0","23000000"
20007392623,"01",1,"4324","35200",1,"10",6,"0040000000","0480000000","0035486000","0425832000","0","0010000000","35486000","435832000"
20006390223,"01",2,"9314","41000",3,NA,NA,"0","0100000000","0","0100000000","0","0","0","100000000"
20003386614,"01",2,"8342","84130",1,NA,NA,"0","0144000000","0","0137280006","0","0","0","137280006"
20007392615,"03",1,"4419","35100",1,"8",6,"0022000000","0272000000","0022000000","0264000000","0","0008000000","22000000","272000000"
20011394620,"02",2,"5224","47710",3,NA,NA,"0","0020000000","0","0020000000","0","0","0","20000000"
20012395817,"01",2,"7122","43300",3,NA,NA,"0010000000","0100000000","0010000000","0100000000","0","0","10000000","100000000"
20012395808,"03",1,"9211","01500",3,"8",1,"0005000000","0035000000","0005000000","0035000000","0","0","5000000","35000000"
20001384616,"04",1,"9211","01500",3,"6",6,"0014000000","0168000000","0014000000","0168000000","0","0","14000000","168000000"
20009393017,"01",1,"9211","01500",3,"8",7,"0015000000","0135000000","0015000000","0135000000","0","0","15000000","135000000"
20009393017,"01",1,"9211","01500",3,"8",3,"0015000000","0180000000","0015000000","0180000000","0","0","15000000","180000000"
20013397016,"01",1,"7537","13920",3,"8",6,"0015000000","0195000000","0014300000","0171600000","0","0015000000","14300000","186600000"
20007391820,"01",1,"9314","41000",3,"10",6,"0017000000","0204000000","0017000000","0204000000","0","0","17000000","204000000"
20007391811,"03",1,"9314","41000",3,"9",7,"0008000000","0096000000","0008000000","0096000000","0","0","8000000","96000000"
20007391817,"01",1,"9314","41000",3,"9",7,"0013000000","0156000000","0013000000","0156000000","0","0","13000000","156000000"
20007391817,"03",1,"9314","41000",3,"8",5,"0008000000","0096000000","0008000000","0096000000","0","0","8000000","96000000"
20012395823,"01",2,"7122","43300",3,NA,NA,"0","0050000000","0","0050000000","0","0","0","50000000"
20012395811,"01",2,"9211","01500",3,NA,NA,"0","0060000000","0","0060000000","0","0","0","60000000"
20002385814,"01",1,"9314","41000",3,"8",2,"0004000000","0068000000","0004000000","0068000000","0","0","4000000","68000000"
20002385823,"01",1,"9211","01500",3,"8",5,"0005000000","0020000000","0005000000","0020000000","0","0","5000000","20000000"
20012395820,"01",1,"2330","85210",1,"2",5,"0027000000","0333300000","0024570000","0294840000","0","0009300000","24570000","304140000"
20007391408,"01",1,"9314","41000",3,"10",7,"0010000000","0120000000","0010000000","0120000000","0","0","10000000","120000000"
20001384223,"01",1,"7212","25920",3,"8",6,"0018000000","0234000000","0017160000","0205920000","0","0018000000","17160000","223920000"
20001384215,"01",1,"5153","80100",3,"12",7,"0010000000","0120000000","0010000000","0120000000","0","0","10000000","120000000"
20001384220,"01",1,"9211","01500",3,"10",7,"0013000000","0156000000","0013000000","0156000000","0","0","13000000","156000000"
20002385823,"03",1,"9211","01500",3,"8",5,"0005000000","0040000000","0005000000","0040000000","0","0","5000000","40000000"
20004388220,"03",1,"5224","79110",3,"11",6,"0012000000","0144000000","0012000000","0144000000","0","0","12000000","144000000"
20004388220,"04",2,"5224","47212",3,NA,NA,"0","0048000000","0","0048000000","0","0","0","48000000"
20001384608,"03",1,"9211","01500",3,"6",5,"0014000000","0168000000","0014000000","0168000000","0","0","14000000","168000000"
20001384620,"03",1,"9211","01500",3,"8",6,"0012000000","0144000000","0012000000","0144000000","0","0","12000000","144000000"
20013397007,"03",1,"9211","01500",3,"8",6,"0015000000","0091000000","0015000000","0091000000","0","0","15000000","91000000"
20013397007,"04",1,"9211","01500",3,"8",6,"0015000000","0120000000","0015000000","0120000000","0","0","15000000","120000000"
20010393415,"01",1,"6112","01240",3,"8",2,"0006000000","0044000000","0006000000","0044000000","0","0","6000000","44000000"
20006390623,"01",2,"8322","49230",3,NA,NA,"0","0060000000","0","0060000000","0","0","0","60000000"
20006390623,"03",1,"9333","96092",3,"10",6,"0012000000","0144000000","0012000000","0144000000","0","0","12000000","144000000"
20006389412,"01",1,"5153","19200",3,"8",6,"0030000000","0370000000","0028600000","0343200000","0","0010000000","28600000","353200000"
20006389412,"02",1,"7543","19200",3,"8",6,"0019000000","0236000000","0018113334","0217360008","0","0008000000","18113334","225360008"
20006389416,"01",1,"5153","25930",3,"12",7,"0014000000","0178000000","0013346667","0160160004","0","0010000000","13346667","170160004"
20006389420,"01",1,"5153","24310",3,"12",7,"0025000000","0350000000","0024983334","0299800008","0","0050000000","24983334","349800008"
20005388616,"01",1,"9211","01500",3,"7",4,"0002000000","0030000000","0002000000","0030000000","0","0","2000000","30000000"
20005388616,"01",1,"9211","01500",3,"7",4,"0003000000","0050000000","0003000000","0050000000","0","0","3000000","50000000"
20005388623,"01",1,"9211","01500",3,"8",4,"0005000000","0070000000","0005000000","0070000000","0","0","5000000","70000000"
20012395814,"01",2,"7111","43900",3,NA,NA,"0","0030000000","0","0030000000","0","0","0","30000000"
20010393823,"03",1,"9314","41000",3,"8",1,"0001200000","0010000000","0001200000","0010000000","0","0","1200000","10000000"
20010393823,"04",1,"9314","41000",3,"8",2,"0004000000","0012000000","0004000000","0012000000","0","0","4000000","12000000"
20005388620,"01",1,"9211","01500",3,"10",4,"0015000000","0135000000","0015000000","0135000000","0","0","15000000","135000000"
20005388614,"01",1,"3253","86903",1,"8",6,"0034000000","0418000000","0030940000","0371280000","0","0010000000","30940000","381280000"
20012396213,"01",1,"9211","01500",3,"8",5,"0010000000","0100000000","0010000000","0100000000","0","0","10000000","100000000"
20012396220,"01",1,"9211","01500",3,"10",5,"0015000000","0100000000","0015000000","0100000000","0","0","15000000","100000000"
20004387414,"01",2,"9211","01500",3,NA,NA,"0","0015000000","0","0015000000","0","0","0","15000000"
20004387411,"01",2,"9314","41000",3,NA,NA,"0","0005400000","0","0005400000","0","0","0","5400000"
