"Address","MahMorajeh","Fasl","weight","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin"
10004004223,"02",1,468.311601527944,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10004004220,"02",1,468.311601527944,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10002002810,"02",1,164.892609697908,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10002002820,"02",1,164.892609697908,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10002002815,"02",1,164.892609697908,1,2,NA,1,NA,1,NA,NA,NA,"000004","18"
10002002808,"02",1,164.892609697908,1,2,NA,1,NA,1,NA,NA,NA,"000003","12"
10002002823,"02",1,164.892609697908,1,2,NA,1,NA,1,NA,NA,NA,"000006","24"
10001000211,"02",1,1199.12891969778,1,2,NA,1,NA,1,NA,NA,NA,"000004","12"
10001000220,"02",1,1199.12891969778,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10009008108,"02",1,367.653343424985,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10006006823,"02",1,786.831924258718,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10009008117,"02",1,367.653343424985,1,2,NA,1,NA,1,NA,NA,NA,"000008","13"
10009008111,"02",1,367.653343424985,1,2,NA,1,NA,1,NA,NA,NA,"000007","09"
10009008114,"02",1,367.653343424985,1,2,NA,1,NA,1,NA,NA,NA,"000008","18"
10006005520,"02",1,786.831924258718,1,2,NA,1,NA,1,NA,NA,NA,"000002","22"
10006005516,"02",1,786.831924258718,1,2,NA,1,NA,1,NA,NA,NA,"000002","15"
10006005523,"02",1,786.831924258718,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10013010620,"02",1,170.462104958995,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10013010623,"02",1,170.462104958995,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10013010608,"02",1,170.462104958995,1,2,NA,1,NA,1,NA,NA,NA,"000018","12"
10013010615,"02",1,170.462104958995,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10006005511,"02",1,786.831924258718,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10006005512,"02",1,786.831924258718,1,2,NA,1,NA,1,NA,NA,NA,"000002","10"
