"Address","MahMorajeh","Fasl","weight","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin","IsTel","FVam"
20002385813,"03",1,67.8718833406914,1,2,NA,1,NA,1,NA,NA,NA,"000969",16,1,1
20002385814,"03",1,67.8718833406914,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
20002385826,"03",1,67.8718833406914,1,2,NA,1,NA,1,NA,NA,NA,"000969",28,1,1
20006390617,"03",1,157.679575519541,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
20006390626,"03",1,157.679575519541,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
20003387019,"03",1,75.0111448448275,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
20003387016,"03",1,75.0111448448275,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
20003387014,"03",1,75.0111448448275,1,2,NA,1,NA,1,NA,NA,NA,"001511",15,1,1
20003387029,"03",1,75.0111448448275,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
20003387022,"03",1,75.0111448448275,1,2,NA,1,NA,1,NA,NA,NA,"001511",24,1,1
20003387026,"03",1,75.0111448448275,1,2,NA,1,NA,1,NA,NA,NA,"001511",25,1,1
20009393021,"03",1,48.6912304297503,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
20013397020,"03",1,106.359882159378,1,2,NA,1,NA,1,NA,NA,NA,"001111",21,1,1
20002385829,"03",1,67.8718833406914,1,2,NA,1,NA,1,NA,NA,NA,"000969",25,1,1
20011394623,"03",1,96.9545941597665,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
20011394626,"03",1,96.9545941597665,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
20011394629,"03",1,96.9545941597665,1,2,NA,1,NA,1,NA,NA,NA,"000533",25,1,1
20011394620,"03",1,96.9545941597665,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
20006390614,"03",1,157.679575519541,1,2,NA,1,NA,1,NA,NA,NA,"004473",16,1,1
20011394614,"03",1,96.9545941597665,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
20006390621,"03",1,157.679575519541,1,2,NA,1,NA,1,NA,NA,NA,"004483",22,1,1
20012395829,"03",1,141.412796706813,1,2,NA,7,"هشتادوهشت",1,NA,NA,NA,"000003",25,1,1
20006390620,"03",1,157.679575519541,1,2,NA,1,NA,1,NA,NA,NA,"004483",23,1,2
20009393019,"03",1,48.6912304297503,1,2,NA,1,NA,1,NA,NA,NA,"007761",20,1,1
20012395826,"03",1,141.412796706813,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
20009393026,"03",1,48.6912304297503,1,2,NA,1,NA,1,NA,NA,NA,"007761",27,1,1
20007391817,"03",1,169.390174494766,1,2,NA,1,NA,1,NA,NA,NA,"000006",15,1,1
20006389426,"03",1,157.679575519541,1,2,NA,1,NA,1,NA,NA,NA,"000036",28,1,1
20009393017,"03",1,48.6912304297503,1,2,NA,1,NA,1,NA,NA,NA,"007761",16,1,1
20006389421,"03",1,157.679575519541,1,2,NA,1,NA,1,NA,NA,NA,"000016",19,1,1
20013397029,"03",1,106.359882159378,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
20009393015,"03",1,48.6912304297503,1,2,NA,1,NA,1,NA,NA,NA,"007761",13,1,1
20013397023,"03",1,106.359882159378,1,2,NA,1,NA,1,NA,NA,NA,"001111",24,1,1
20002385819,"03",1,67.8718833406914,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
20002385823,"03",1,67.8718833406914,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
20006390629,"03",1,157.679575519541,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
20010393426,"03",1,109.64278665552,1,2,NA,1,NA,1,NA,NA,NA,"002853",28,1,1
20010393414,"03",1,109.64278665552,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
20010393423,"03",1,109.64278665552,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
20010393419,"03",1,109.64278665552,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
20010393415,"03",1,109.64278665552,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
20010393429,"03",1,109.64278665552,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
20006389413,"03",1,157.679575519541,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
20006389416,"03",1,157.679575519541,1,2,NA,1,NA,1,NA,NA,NA,"000012",18,1,1
20006389429,"03",1,157.679575519541,1,2,NA,1,NA,1,NA,NA,NA,"000036",27,1,NA
20006389424,"03",1,157.679575519541,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
20004388223,"03",1,125.609438279107,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
20004388214,"03",1,125.609438279107,1,2,NA,1,NA,1,NA,NA,NA,"001664",13,1,1
