"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10","DYCOL11","DYCOL12","DYCOL13","DYCOL14","DYCOL15"
10009008518,"01",1,6121,"01440",5,1,6,7,"00000024000000","00000200000000",NA,"00000009000000",NA,3e+08,6.7e+07
10011009714,"01",1,7412,"95220",5,2,10,6,NA,"00000100000000","00000020000000","00000035000000",NA,3.35e+08,1.8e+08
10005004618,"01",1,7233,"33120",5,2,7,7,NA,"00000120000000","00000030000000","00000090000000","00000005000000",4.45e+08,2e+08
10006005924,"01",1,7517,"10711",4,2,10,7,"00000018000000","00000160000000","00000002000000","00000010000000",NA,4.3e+08,2.4e+08
10009008517,"01",1,8322,"49230",5,2,7,6,NA,"00000035000000","00000022000000","00000020000000","00000003000000",1.9e+08,1.1e+08
10009008521,"02",1,7537,"14100",5,2,4,7,NA,"00000010000000",NA,"00000037000000",NA,7.7e+07,3e+07
10009008521,"01",1,8322,"49220",5,2,10,7,NA,"00000025000000","00000003000000","00000013000000",NA,1.01e+08,6e+07
10007007217,"01",1,7522,"31000",5,2,10,6,NA,"00000140000000","00000020000000","00000084000000",NA,4.48e+08,2.04e+08
10011009726,"01",2,8322,"49230",5,2,NA,NA,NA,"00000150000000","00000040000000","00000050000000","00000005800000",465800000,2.2e+08
10011009718,"01",1,5224,"47212",5,2,8,7,NA,"00000189000000","00000006000000","00000005000000",NA,2.6e+08,6e+07
10009008526,"01",1,7124,"43220",5,2,4,3,NA,NA,"00000001000000",NA,NA,8e+07,7.9e+07
10013010629,"01",1,8322,"49220",5,2,8,7,NA,"00000040000000","00000005000000","00000005800000",NA,206800000,1.56e+08
10006005526,"01",1,6112,"01240",4,1,5,6,"00000050000000","00000065000000",NA,NA,NA,3.2e+08,2.05e+08
10013010615,"01",2,5224,"47710",5,2,NA,NA,NA,"00000200000000",NA,"00000028000000",NA,3.88e+08,1.6e+08
10013010620,"01",1,7517,"10711",4,2,8,6,"00000720000000","00000112000000","00000005000000","00000145000000",NA,1.342e+09,3.6e+08
10004004217,"02",1,5224,"47590",5,2,5,2,NA,"00000090000000",NA,NA,NA,1.2e+08,3e+07
10001000613,"01",1,5224,"22200",5,2,9,6,NA,"00000100000000",NA,"00000120000000",NA,6e+08,3.8e+08
10010009326,"01",1,5224,"47211",5,2,10,7,NA,"00002396000000",NA,"00000024000000",NA,2.6e+09,1.8e+08
10010009323,"01",1,6111,"01110",5,1,6,5,NA,"00000022000000","00000007000000","00000084000000",NA,2.42e+08,1.29e+08
10010009318,"01",1,8322,"49230",5,2,9,6,NA,"00000065000000","00000020000000","00000021000000","00000005000000",3.84e+08,2.73e+08
10006006813,"03",1,7231,"45200",5,2,8,6,NA,"00000135000000","00000005000000","00000020000000",NA,5.1e+08,3.5e+08
10012010120,"02",1,6112,"01240",4,1,10,7,"00000200000000","00000170000000",NA,"00000030000000",NA,7e+08,3e+08
10002002824,"01",1,5224,"47520",5,2,8,6,NA,"00000100000000",NA,"00000130000000",NA,7.2e+08,4.9e+08
10005005118,"01",1,8322,"49230",5,2,8,3,NA,"00000066000000","00000005000000",NA,NA,1.8e+08,1.09e+08
10005005118,"04",1,5224,"47212",5,2,8,7,NA,"00001000000000","00000005000000","00000190000000","00000010000000",1.425e+09,2.2e+08
10004004223,"01",1,6111,"01110",5,1,6,4,"00000030000000","00000013000000",NA,"00000007500000",NA,9.5e+07,44500000
10001000226,"01",1,7537,"14100",5,2,8,6,NA,"00000010000000","00000010000000","00000120000000",NA,5e+08,3.6e+08
10010008917,"01",1,5224,"47212",5,2,11,7,NA,"00001430000000","00000022000000","00000038000000","00000008500000",1.825e+09,326500000
10012010115,"01",1,6111,"01110",5,1,4,3,"00000006000000","00000007700000",NA,"00000040000000",NA,1.44e+08,90300000
10012010115,"01",1,6112,"01240",5,1,8,3,"00000005600000","00000012500000",NA,"00000064000000",NA,2.4e+08,157900000
10006006329,"01",1,7537,"13920",5,2,10,6,NA,"00000020000000","00000001000000","00000120000000",NA,3.81e+08,2.4e+08
10002002826,"02",1,7517,"10711",4,2,7,6,"00000170000000","00000100000000","00000002000000","00000081000000",NA,6.53e+08,3e+08
10007007726,"01",1,8322,"49230",5,2,8,3,NA,"00000140000000","00000010000000","00000040000000",NA,7.2e+08,5.3e+08
10012010114,"01",1,6111,"01110",5,1,6,3,NA,"00000002000000",NA,"00000005000000",NA,2.2e+07,1.5e+07
10001001126,"01",1,5224,"74100",5,2,9,6,NA,"00000100000000",NA,"00000140000000",NA,5.2e+08,2.8e+08
10012010126,"01",1,6111,"01110",5,1,7,6,NA,"00000024000000",NA,"00000009000000",NA,6.7e+07,3.4e+07
10007007729,"01",1,5224,"47710",5,2,8,6,NA,"00000600000000",NA,"00000120000000","00000015000000",1.005e+09,2.7e+08
10001002426,"01",1,5224,"47212",5,2,8,7,NA,"00000150000000","00000020000000","00000100000000",NA,7e+08,4.3e+08
10007007723,"01",1,7412,"33140",5,2,10,6,NA,"00000030000000","00000002000000","00000070000000",NA,2.02e+08,1e+08
10004004216,"01",1,7231,"45200",5,2,7,7,NA,"00000030000000",NA,"00000024000000",NA,2.04e+08,1.5e+08
10012010123,"01",1,6112,"01240",4,1,10,7,"00000200000000","00000110000000",NA,"00000030000000",NA,4.5e+08,1.1e+08
10001002413,"01",1,7132,"45200",5,2,9,6,NA,"00000040000000","00000040000000","00000120000000",NA,6.8e+08,4.8e+08
10012010129,"01",1,6112,"01240",4,1,6,5,"00000050000000","00000042000000",NA,"00000003000000",NA,1.7e+08,7.5e+07
10012010129,"02",1,6121,"01440",6,1,2,7,NA,NA,NA,NA,NA,NA,0
10012010129,"01",1,6121,"01440",5,1,1,7,NA,"00000085500000",NA,"00000003000000",NA,1.7e+08,81500000
10111022822,"01",1,5224,"47520",4,2,13,6,"00000356000000","00008970000000","00000026000000","00000043000000",NA,9.855e+09,4.6e+08
10102012020,"01",1,7123,"43300",4,2,8,6,"00000120000000","00000002000000","00000000500000",NA,NA,365500000,2.43e+08
10105016816,"01",1,8322,"49220",5,2,10,6,NA,"00000093000000","00000061000000","00000016000000",NA,2.93e+08,1.23e+08
10105016816,"01",2,7231,"45400",5,2,NA,NA,NA,NA,"00000012000000",NA,NA,6.5e+07,5.3e+07
10105016817,"01",2,8322,"49220",5,2,NA,NA,NA,"00000086000000","00000032000000","00000015000000",NA,2.11e+08,7.8e+07
10107019223,"01",1,5212,"47990",5,2,4,3,NA,"00003586000000","00000015800000","00000036000000",NA,4102800000,4.65e+08
10103013621,"02",1,7411,"43210",5,2,10,4,NA,"00000015000000","00000008000000","00000015000000",NA,2.32e+08,1.94e+08
10103013621,"03",1,7411,"43210",5,2,10,3,NA,"00000005000000","00000001500000",NA,NA,64500000,5.8e+07
10106018413,"01",1,7231,"45200",4,2,10,6,"00000055000000","00000009500000","00000008600000","00000125000000",NA,683100000,4.85e+08
10103013626,"01",1,1324,"49220",4,2,8,7,"00000043200000","00000008000000","00000003000000","00000006000000",NA,2.93e+08,232800000
10104014029,"01",1,9614,"47990",5,2,6,5,NA,"00000065000000","00000004000000","00000014600000",NA,227600000,1.44e+08
10104014029,"03",1,5224,"47212",5,2,12,6,NA,"00000570000000","00000008000000","00000035000000",NA,7.63e+08,1.5e+08
10106018420,"01",1,5224,"47710",5,2,11,6,NA,"00002490000000","00000017000000","00000148000000",NA,2.883e+09,2.28e+08
10106018420,"02",1,5224,"47710",6,2,5,6,NA,NA,NA,NA,NA,NA,0
10103013226,"01",1,9520,"47990",5,2,3,5,NA,"00001920000000","00000018500000","00000045000000",NA,2367500000,3.84e+08
10105016416,"01",1,5212,"47990",5,2,10,3,NA,"00000216000000","00000012000000","00000024000000",NA,3.48e+08,9.6e+07
10112023626,"03",1,7318,"14100",5,2,2,3,NA,"00000040000000","00000007500000","00000002000000",NA,144500000,9.5e+07
10112023615,"01",1,7115,"16220",5,2,10,2,NA,NA,"00000005000000",NA,NA,7.7e+07,7.2e+07
10109021214,"01",1,8322,"49220",5,2,5,6,NA,"00000115000000","00000025000000","00000007000000",NA,3.62e+08,2.15e+08
10101010826,"01",1,7517,"10711",5,2,8,7,NA,"00000418800000","00000006000000","00000025000000",NA,6.57e+08,207200000
10101010826,"02",1,7517,"10711",6,2,8,7,NA,NA,NA,NA,NA,NA,0
10101011623,"01",1,5224,"56300",5,2,5,6,NA,"00000035000000","00000012000000","00000060000000",NA,3.72e+08,2.65e+08
10101011623,"01",1,8322,"49220",5,2,3,4,NA,"00000055000000","00000005000000","00000025000000",NA,2.3e+08,1.45e+08
10107018829,"01",1,6111,"01120",4,1,6,5,"00000039500000","00000008200000","00000001000000","00000014200000",NA,3.24e+08,261100000
10103013220,"01",1,8322,"49220",5,2,10,7,NA,"00000057000000","00000008000000","00000009700000",NA,326700000,2.52e+08
10105016419,"01",1,5224,"47710",5,2,4,6,NA,"00000430000000",NA,"00000007000000",NA,5.53e+08,1.16e+08
10104014014,"01",1,7231,"45400",5,2,10,6,NA,"00000065000000","00000023000000","00000050000000",NA,3.06e+08,1.68e+08
10112023614,"01",1,7221,"25930",5,2,10,6,NA,"00000005000000","00000006000000","00000006800000",NA,117800000,1e+08
10106018415,"01",1,7517,"10711",4,2,7,7,"00000025000000","00000545000000","00000008500000","00000175000000","00000002700000",1252200000,4.96e+08
10106018415,"05",1,7517,"10711",6,2,2,4,NA,NA,NA,NA,NA,NA,0
10105015616,"01",1,5224,"47212",5,2,12,7,NA,"00003700000000","00000028000000","00000081000000","00000005700000",3850700000,3.6e+07
10109020822,"01",1,5224,"61000",4,2,9,6,"00000055000000","00000025000000","00000004500000","00000015000000",NA,329500000,2.3e+08
10104014820,"01",1,6111,"01120",4,1,7,4,"00000011000000","00000002700000","00000001500000","00000017100000",NA,151200000,118900000
10104014820,"02",1,6111,"01120",6,1,6,2,NA,NA,NA,NA,NA,NA,0
10105015214,"01",1,7131,"43300",4,2,10,4,"00000105000000","00000088000000","00000012000000","00000015000000",NA,6.95e+08,4.75e+08
10105015224,"01",1,8322,"49220",5,2,11,6,NA,"00000092000000","00000058000000","00000016000000",NA,3.53e+08,1.87e+08
10114024820,"01",1,8322,"49220",5,2,8,6,NA,"00000059000000","00000046000000","00000011000000",NA,1.97e+08,8.1e+07
10114024820,"02",1,7318,"14301",5,2,2,5,NA,"00000050000000",NA,"00000001500000",NA,86500000,3.5e+07
10108020023,"01",1,3334,"68200",5,2,10,6,NA,"00000010000000",NA,"00000037000000","00000027000000",2.72e+08,1.98e+08
10111022417,"03",1,7421,"43210",4,2,10,5,"00000020000000","00000042000000","00000050000000","00000030000000",NA,3.12e+08,1.7e+08
10111022420,"01",1,2165,"71100",5,2,4,3,NA,"00000015000000","00000004500000",NA,NA,369500000,3.5e+08
10111022420,"01",1,2651,"90002",5,2,2,3,NA,"00000055000000","00000025000000","00000008000000",NA,6.38e+08,5.5e+08
