"Address","Dycol01","Dycol03","Dycol04","Dycol05"
10009008518,"01","2",12,"0010920000"
10005004626,"01","3",12,"0016380000"
10006005929,"01","3",12,"0016380000"
10011009720,"01","2",12,"0010920000"
10005004618,"01","3",12,"0016380000"
10006005920,"01","3",12,"0016380000"
10007007226,"01","2",12,"0010920000"
10009008517,"01","4",12,"0021840000"
10006005926,"01","4",12,"0021840000"
10003003218,"01","3",12,"0016380000"
10003003219,"01","4",12,"0021840000"
10011009726,"01","4",12,"0021840000"
10011009718,"01","3",12,"0016380000"
10006005917,"01","3",12,"0016380000"
10006005918,"01","2",12,"0010920000"
10009008526,"01","2",12,"0010920000"
10009008529,"01","4",12,"0021840000"
10011009723,"01","4",12,"0021840000"
10001001923,"01","2",12,"0010920000"
10001001929,"01","3",12,"0016380000"
10001000613,"01","3",12,"0016380000"
10001001920,"01","4",12,"0021840000"
10001000626,"01","2",12,"0010920000"
10001000619,"01","2",12,"0010920000"
10001000620,"01","3",12,"0016380000"
10001000629,"01","5",12,"0027300000"
10001001926,"01","3",12,"0016380000"
10007007219,"01","3",12,"0016380000"
10007007221,"01","3",12,"0016380000"
10007007215,"01","2",12,"0010920000"
10001001523,"01","4",12,"0021840000"
10001001513,"01","4",12,"0021840000"
10001000216,"01","1",12,"0005460000"
10001000229,"01","2",12,"0010920000"
10001001529,"01","3",12,"0016380000"
10001001526,"01","2",12,"0010920000"
10001000614,"01","3",12,"0016380000"
10004003821,"01","3",12,"0016380000"
10004003829,"01","4",12,"0021840000"
10004003817,"01","5",12,"0027300000"
10006006323,"01","3",12,"0016380000"
10001000219,"01","3",12,"0016380000"
10001001516,"01","3",12,"0016380000"
10006006326,"01","4",12,"0021840000"
10006006314,"01","4",12,"0021840000"
10010009326,"01","3",12,"0016380000"
10010009326,"04","1",7,"0003185000"
10010009323,"01","3",12,"0016380000"
10010009313,"01","5",12,"0027300000"
10010009322,"01","3",12,"0016380000"
10010009329,"01","3",12,"0016380000"
10009008123,"01","4",12,"0021840000"
10006005522,"01","3",12,"0016380000"
10013010626,"01","3",12,"0016380000"
10013010629,"01","3",12,"0016380000"
10013010616,"01","3",12,"0016380000"
10013010615,"01","3",12,"0016380000"
10013010620,"01","3",12,"0016380000"
10013010620,"04","1",6,"0002730000"
10004004217,"01","2",12,"0010920000"
10004004220,"01","2",12,"0010920000"
10004004226,"01","2",12,"0010920000"
10004004229,"01","2",12,"0010920000"
10013010623,"01","4",12,"0021840000"
10006006823,"01","2",12,"0010920000"
10006006820,"01","4",12,"0021840000"
10006006813,"01","3",12,"0016380000"
10006006826,"01","2",12,"0010920000"
10006006829,"01","2",12,"0010920000"
10002002826,"01","3",12,"0016380000"
10009008129,"01","12",4,"0021840000"
10006006816,"01","2",12,"0010920000"
10009008113,"01","3",12,"0016380000"
10004004216,"01","1",12,"0005460000"
10006005529,"01","2",12,"0010920000"
10002002820,"01","4",12,"0021840000"
10005005126,"01","3",12,"0016380000"
10005005114,"01","1",12,"0005460000"
10005005129,"01","2",12,"0010920000"
10005005124,"01","4",12,"0021840000"
10010008915,"01","4",12,"0021840000"
10012010120,"01","2",12,"0010920000"
10010008922,"01","3",12,"0016380000"
10010008917,"01","3",12,"0016380000"
10012010115,"01","4",12,"0021840000"
10010008926,"01","3",12,"0016380000"
10005005119,"01","2",12,"0010920000"
10006006329,"01","3",12,"0016380000"
10004003823,"01","3",12,"0016380000"
10007007718,"01","4",12,"0021840000"
10007007726,"01","4",12,"0021840000"
10001001120,"01","1",12,"0005460000"
10012010114,"01","2",12,"0010920000"
10004003814,"01","3",12,"0016380000"
10001000214,"01","5",12,"0027300000"
10009008524,"01","2",12,"0010920000"
10001001129,"01","3",12,"0016380000"
10001001126,"01","4",12,"0021840000"
10012010126,"01","5",12,"0027300000"
10007007729,"01","3",12,"0016380000"
10001002414,"01","3",12,"0016380000"
10001002429,"01","4",12,"0021840000"
10001002426,"01","4",12,"0021840000"
10001002419,"01","5",12,"0027300000"
10001002424,"01","3",12,"0016380000"
10005004619,"01","1",12,"0005460000"
10007007723,"01","1",12,"0005460000"
10007007229,"01","4",12,"0021840000"
10005004623,"01","2",12,"0010920000"
10012010123,"01","3",12,"0016380000"
10001001520,"01","4",12,"0021840000"
10001002413,"01","3",12,"0016380000"
10001001916,"01","4",12,"0021840000"
10001001113,"01","2",12,"0010920000"
10005005118,"01","4",12,"0021840000"
10006006315,"01","3",12,"0016380000"
10007007724,"01","5",12,"0027300000"
10009008521,"01","4",12,"0021840000"
10006006324,"01","3",12,"0016380000"
10004004223,"01","2",12,"0010920000"
10010008923,"01","5",12,"0027300000"
10003003226,"01","3",12,"0016380000"
10010008929,"01","2",12,"0010920000"
10011009729,"01","2",12,"0010920000"
10006005523,"01","2",12,"0010920000"
10002002816,"01","3",12,"0016380000"
10001001119,"01","2",12,"0010920000"
10007007217,"01","3",12,"0016380000"
10001000220,"01","1",12,"0005460000"
10003003229,"01","4",12,"0021840000"
10001001914,"01","3",12,"0016380000"
10006005924,"01","5",12,"0027300000"
10001001114,"01","3",12,"0016380000"
10012010129,"01","3",12,"0016380000"
10006005517,"01","3",12,"0016380000"
10010009318,"01","3",12,"0016380000"
10001000226,"01","4",12,"0021840000"
10004003826,"01","6",12,"0032760000"
10108020421,"01","2",12,"0010920000"
10106018020,"01","1",12,"0005460000"
10101010822,"01","1",12,"0005460000"
10101011218,"01","3",12,"0016380000"
10103013614,"01","3",12,"0016380000"
10106018419,"01","4",12,"0021840000"
